id,             [Fe/H], [C/Fe], [C/H],  log eps_C,  [O/Fe], [O/H],  log eps_O,  [Ba/Fe],[Ba/H], log eps_Ba, ref
HD 15096,       -0.14,  0.29,   0.15,   8.67,       0.14,   0.00,   8.83,       1.14,   1.00,   3.13,       roriz2024
HD 37792,       -0.55,  0.46,   -0.09,  8.43,       0.27,   -0.28,  8.55,       1.45,   0.90,   3.03,       roriz2024
HD 141804,      -0.41,  0.62,   0.21,   8.73,       0.16,   -0.25,  8.58,       1.71,   1.30,   3.43,       roriz2024
HD 207585,      -0.34,  0.66,   0.32,   8.84,       0.06,   -0.40,  8.55,       1.74,   1.40,   3.53,       roriz2024
HD 4395,        -0.33,  ,       ,       8.65,       ,       ,       8.65,       0.56,   0.23,   ,           smith1993
HD 11377,       -0.05,  ,       ,       8.71,       ,       ,       9.06,       0.03,   -0.02,  ,           smith1993
HD 88446,       -0.36,  ,       ,       8.41,       ,       ,       8.86,       0.64,   0.28,   ,           smith1993
HD 89948,       -0.27,  ,       ,       8.86,       ,       ,       8.77,       0.83,   0.56,   ,           smith1993
HD 125079,      -0.16,  ,       ,       9.05,       ,       ,       8.73,       0.75,   0.59,   ,           smith1993
HD 182274,      -0.18,  ,       ,       8.92,       ,       ,       9.03,       0.59,   0.41,   ,           smith1993
HD 204613,      -0.35,  ,       ,       8.91,       ,       ,       8.95,       0.56,   0.21,   ,           smith1993
HD 216219,      -0.32,  ,       ,       9.02,       ,       ,       8.93,       0.89,   0.57,   ,           smith1993
HD 219116,      -0.34,  ,       ,       8.73,       ,       ,       8.48,       0.90,   0.56,   ,           smith1993
HR 6094,        0.04,   -0.18,  -0.14,  ,           ,       ,       ,           0.37,   0.41,   ,           portodemello1996
HD 50264,       -0.34,  0.59,   0.25,   8.80,       ,       ,       ,           1.25,   0.91,   3.04,       pereira2002
HD 87080,       -0.51,  0.61,   0.10,   8.65,       ,       ,       ,           1.51,   1.00,   3.13,       pereira2002
HD 8270,        -0.53,  0.71,   0.18,   8.70,       ,       ,       ,           1.17,   0.64,   2.77,       pereira2005
HD 13551,       -0.28,  0.46,   0.18,   8.70,       ,       ,       ,           1.38,   1.10,   3.23,       pereira2005
HD 22589,       -0.16,  0.64,   0.48,   9.00,       ,       ,       ,           0.75,   0.59,   2.72,       pereira2005
HD 55496,       -1.55,  -0.35,  -1.90,  6.62,       0.15,   -1.40,  7.43,       0.62,   -0.93,  1.20,       pereira2018
BD-03.3668,     -0.55,  0.59,   0.04,   8.60,       0.35,   -0.20,  8.73,       1.64,   1.09,   3.22,       pereira2011
BD+68.1027,     -0.31,  0.11,   -0.20,  ,           0.07,   -0.24,  ,           0.62,   0.31,   ,           kong2017
BD+80.670,      -0.06,  -0.13,  -0.19,  ,           -0.20,  -0.26,  ,           0.31,   0.25,   ,           kong2017
REJ0702+129,    0.13,   0.16,   0.29,   ,           0.17,   0.30,   ,           0.56,   0.69,   ,           kong2017
HD 147609,      -0.28,  0.38,   0.10,   8.53,       0.64,   0.36,   9.05,       1.40,   1.12,   3.30,       shejeelammal2020
HD 154276,      -0.10,  ,       ,       ,           0.32,   0.22,   8.91,       0.22,   0.12,   2.30,       shejeelammal2020
HD 2946,        -0.27,  -0.03,  -0.30,  ,           0.13,   -0.14,  ,           0.48,   0.21,   ,           liu2021
