Z = 0.007

Minit  Mfinal Expelled mass    Notes
1.00   0.606     0.3940
1.25   0.629     0.6210
1.50   0.655     0.8450     No overshoot
1.50   0.646     0.8540     Overshoot, reduces final core mass
1.75   0.671     1.0790     No overshoot
1.75   0.641     1.1090     Overshoot, reduces final core mass
1.90   0.657     1.2430
2.10   0.659     1.4410
2.25   0.663     1.5870
2.50   0.668     1.8320
2.75   0.679     2.0710 
3.00   0.698     2.3020
3.25   0.728     2.5220
3.50   0.766     2.7340
3.75   0.802     2.9480
4.00   0.849     3.1510
4.25   0.859     3.3910
4.50   0.873     3.6270
4.75   0.883     3.8670
5.00   0.895     4.1050
5.50   0.921     4.5790
6.00   0.956     5.0440
7.00   1.040     5.9600
7.50   1.116     6.3840   

Z = 0.014

Minit  Mfinal Expelled mass    Notes
1.00   0.585     0.4150
1.25   0.605     0.6450
1.50   0.631     0.8690     No overshoot
1.50   0.616     0.8840     Overshoot, reduces final core mass
1.75   0.655     1.0950     No overshoot
1.75   0.638     1.1120     Overshoot, reduces final core mass
2.00   0.660     1.3400
2.25   0.675     1.5750
2.50   0.679     1.8210
2.75   0.684     2.0660
3.00   0.694     2.3060
3.25   0.708     2.5420
3.50   0.730     2.7700
3.75   0.766     2.9840
4.00   0.813     3.1870
4.25   0.853     3.3970
4.50   0.862     3.6380
4.75   0.870     3.8800
5.00   0.879     4.1210
5.50   0.900     4.6000
6.00   0.921     5.0790
7.00   0.976     6.0240
8.00   1.062     6.9380

Z = 0.03

Minit  Mfinal Expelled mass    Notes
1.00   0.573     0.4270
1.25   0.590     0.6600
1.50   0.607     0.8930
1.75   0.625     1.1250  
2.00   0.643     1.3570
2.25   0.661     1.5890
2.50   0.684     1.8160       No overshoot
2.50   0.650     1.8500       Overshoot, reduces final core mass
2.75   0.693     2.0570       No overshoot
2.75   0.670     2.0800       Overshoot, reduces final core mass
3.00   0.703     2.2970       No overshoot
3.00   0.691     2.3090       Overshoot, reduces final core mass
3.25   0.713     2.5370
3.50   0.727     2.7730
3.75   0.744     3.0060
4.00   0.774     3.2260
4.25   0.806     3.4440
4.50   0.848     3.6520
4.75   0.858     3.8920
5.00   0.867     4.1330
5.50   0.886     4.6140
6.00   0.907     5.0930
7.00   0.963     6.0370
8.00   1.053     6.9470

