# Initial mass = 2.500, Z =  0.0070, Y =  0.260, M_mix = 1.00E-03
# Final mass = 0.668, Mass expelled =   1.8320
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.4160089E-02  1.2584767E+00  1.3426368E+00  6.8694144E-01  7.3292029E-01 -2.8137032E-02
      d      2   1.1401816E-17  1.1401816E-17  0.0000000E+00  6.2236987E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.5508800E-04  2.5508800E-04  0.0000000E+00  1.3924018E-04  0.0000000E+00  0.0000000E+00
    he4      4   6.5250218E-02  5.4149246E-01  4.7624224E-01  2.9557449E-01  2.5997174E-01  5.5740785E-02
    li7      7  -6.1954442E-09  2.1387949E-09  8.3342391E-09  1.1674645E-09  4.5495052E-09 -5.9072053E-01
    be7      7   6.9455453E-18  6.9455453E-18  0.0000000E+00  3.7912363E-18  0.0000000E+00  0.0000000E+00
     b8      8   2.0094125E-28  2.0094125E-28  0.0000000E+00  1.0968409E-28  0.0000000E+00  0.0000000E+00
    c12     12   1.5353903E-02  1.7648548E-02  2.2946452E-03  9.6334871E-03  1.2526038E-03  8.8596976E-01
    c13     13   3.6507074E-05  6.4313666E-05  2.7806593E-05  3.5105713E-05  1.5179100E-05  3.6413181E-01
    c14     14   4.1640731E-09  4.1640731E-09  0.0000000E+00  2.2729656E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.1673567E-03  1.8457895E-03  6.7843276E-04  1.0075270E-03  3.7034374E-04  4.3465167E-01
    n15     15  -8.4978950E-07  8.2127150E-07  1.6710610E-06  4.4829230E-07  9.1220090E-07 -3.0852923E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   8.6665154E-05  5.6276340E-03  5.5409689E-03  3.0718527E-03  3.0247113E-03  6.7164586E-03
    o17     17   2.4494271E-05  2.6730981E-05  2.2367085E-06  1.4591146E-05  1.2209773E-06  1.0773818E+00
    o18     18  -4.4403741E-06  8.0268055E-06  1.2467180E-05  4.3814439E-06  6.8055997E-06 -1.9124919E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.8895047E-06  3.2485254E-06  3.5902070E-07  1.7732126E-06  1.9598269E-07  9.5654309E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.2008124E-05  1.1486335E-03  1.1366254E-03  6.2698335E-04  6.2046252E-04  4.5404481E-03
   ne21     21   8.3694317E-07  3.6978311E-06  2.8608879E-06  2.0184668E-06  1.5617053E-06  1.1142255E-01
   ne22     22   1.9218647E-03  2.0137993E-03  9.1934533E-05  1.0992354E-03  5.0185346E-05  1.3405138E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.2298597E-23  2.2298597E-23  0.0000000E+00  1.2171723E-23  0.0000000E+00  0.0000000E+00
   na23     23   3.0620526E-05  6.1389532E-05  3.0769006E-05  3.3509568E-05  1.6796224E-05  2.9995716E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   5.4464326E-06  5.4763729E-04  5.4219086E-04  2.9892864E-04  2.9597184E-04  4.3171667E-03
   mg25     25   7.1119211E-06  7.8612371E-05  7.1500450E-05  4.2910684E-05  3.9030758E-05  4.1158482E-02
   mg26     26   1.3071258E-06  8.3177933E-05  8.1870807E-05  4.5402801E-05  4.4691740E-05  6.8554007E-03
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   5.7136349E-06  5.7921781E-05  5.2208146E-05  3.1616692E-05  2.8499451E-05  4.5079913E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   4.5791967E-07  6.0080522E-04  6.0034730E-04  3.2795043E-04  3.2771836E-04  3.0741649E-04
   si29     29   1.6367994E-07  3.1737807E-05  3.1574127E-05  1.7324130E-05  1.7235727E-05  2.2218463E-03
   si30     30   4.4127410E-07  2.1972186E-05  2.1530912E-05  1.1993551E-05  1.1753322E-05  8.7871617E-03
