# Initial mass = 2.750, Z =  0.0140, Y =  0.280, M_mix = 1.00E-03
# Final mass = 0.684, Mass expelled =   2.0660
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.74753E-01 -7.59058E-02  1.39404E+00
 he   2  11.061190  0.131189  0.103281  3.08503E-01  5.85790E-02  6.37367E-01
  c   6   9.029572  0.559571  0.531663  8.60667E-03  1.25435E-02  1.77814E-02
  n   7   8.310627  0.440627  0.412719  1.91715E-03  2.42645E-03  3.96083E-03
  o   8   8.737930  0.007931 -0.019978  5.85743E-03 -4.24253E-04  1.21015E-02
  f   9   5.144652  0.684652  0.656744  1.77437E-06  2.85623E-06  3.66585E-06
 ne  10   8.230192  0.260192  0.232284  2.29508E-03  1.95870E-03  4.74163E-03
 na  11   6.552054  0.242054  0.214146  5.48627E-05  4.39821E-05  1.13346E-04
 mg  12   7.672230  0.032230  0.004322  7.64910E-04  1.25582E-05  1.58030E-03
 al  13   6.531134  0.061134  0.033226  6.13610E-05  9.10329E-06  1.26772E-04
 si  14   7.579185  0.029184  0.001276  7.13442E-04  1.40059E-06  1.47397E-03
  p  15   5.522174  0.052175  0.024266  6.90011E-06  7.47872E-07  1.42556E-05
  s  16   7.188307  0.028307  0.000399  3.31149E-04 -7.28585E-07  6.84153E-04
 cl  17   5.275324  0.045324  0.017416  4.47364E-06  3.45687E-07  9.24254E-06
 ar  18   6.467722  0.027722 -0.000186  7.85058E-05 -3.89307E-07  1.62193E-04
  k  19   5.114337  0.034338  0.006429  3.40547E-06  9.88002E-08  7.03570E-06
 ca  20   6.317615  0.027615 -0.000293  5.57450E-05 -3.02694E-07  1.15169E-04
 sc  21   3.120625  0.070625  0.042716  3.97279E-08  7.54098E-09  8.20779E-08
 ti  22   4.944425  0.034425  0.006516  2.81933E-06  7.53503E-08  5.82473E-06
  v  23   3.983417  0.023417 -0.004492  3.28229E-07 -6.69246E-09  6.78122E-07
 cr  24   5.649037  0.009037 -0.018871  1.55129E-05 -3.26036E-08  3.20496E-05
 mn  25   5.520528  0.040528  0.012620  1.21923E-05  6.72519E-07  2.51893E-05
 fe  26   7.567908  0.027908  0.000000  1.38222E-03 -5.66640E-06  2.85566E-03
 co  27   4.947939  0.077940  0.050031  3.49931E-06  7.73915E-07  7.22957E-06
 ni  28   6.229868  0.029868  0.001960  6.67019E-05  3.47107E-07  1.37806E-04
 cu  29   4.343927  0.093927  0.066019  9.39075E-07  2.70296E-07  1.94013E-06
 zn  30   4.709407  0.079407  0.051499  2.24248E-06  5.09843E-07  4.63297E-06
 ga  31   3.360167  0.280167  0.252258  1.06961E-07  9.71138E-08  2.20982E-07
 ge  32   3.849904  0.269904  0.241996  3.44164E-07  3.34004E-07  7.11042E-07
 as  33   2.510539  0.210539  0.182631  1.62493E-08  1.14812E-08  3.35710E-08
 se  34   3.724834  0.384835  0.356926  2.80496E-07  3.48795E-07  5.79504E-07
 br  35   2.910001  0.370001  0.342093  4.34764E-08  4.88810E-08  8.98223E-08
 kr  36   3.752262  0.502262  0.474354  3.17089E-07  4.35701E-07  6.55105E-07
 rb  37   2.791142  0.431143  0.403234  3.53696E-08  4.41402E-08  7.30736E-08
 sr  38   4.021875  1.141875  1.113967  6.16827E-07  1.17670E-06  1.27436E-06
  y  39   3.375478  1.205478  1.177569  1.41284E-07  2.72460E-07  2.91893E-07
 zr  40   3.776546  1.246547  1.218638  3.65040E-07  7.08496E-07  7.54173E-07
 nb  41   2.559802  1.149802  1.121894  2.25699E-08  4.31006E-08  4.66295E-08
 mo  42   3.002068  1.062068  1.034159  6.45285E-08  1.23975E-07  1.33316E-07
 ru  44   2.742147  0.982147  0.954239  3.73641E-08  7.08371E-08  7.71942E-08
 rh  45   1.714516  0.654516  0.626607  3.56978E-09  5.62924E-09  7.37517E-09
 pd  46   2.735471  1.085471  1.057562  3.87417E-08  7.39108E-08  8.00403E-08
 ag  47   1.963764  0.763764  0.735856  6.64266E-09  1.11975E-08  1.37237E-08
 cd  48   2.893199  1.183199  1.155291  5.88427E-08  1.13794E-07  1.21569E-07
 in  49   1.757232  0.997232  0.969323  4.39468E-09  8.14496E-09  9.07940E-09
 sn  50   3.301601  1.231601  1.203693  1.59138E-07  3.10928E-07  3.28778E-07
 sb  51   1.789779  0.779779  0.751870  5.02306E-09  9.32434E-09  1.03776E-08
 te  52   2.898262  0.718262  0.690354  6.75767E-08  1.29885E-07  1.39614E-07
  i  53   1.913980  0.363981  0.336072  6.96852E-09  7.74341E-09  1.43970E-08
 xe  54   3.022838  0.782838  0.754929  9.26325E-08  1.60423E-07  1.91379E-07
 cs  55   1.831769  0.751769  0.723861  6.03941E-09  1.01163E-08  1.24774E-08
 ba  56   3.567656  1.387655  1.359747  3.39701E-07  6.71172E-07  7.01822E-07
 la  57   2.469586  1.299586  1.271678  2.74152E-08  5.36065E-08  5.66398E-08
 ce  58   2.836803  1.256803  1.228895  6.44133E-08  1.25241E-07  1.33078E-07
 pr  59   1.774668  1.014668  0.986759  5.61421E-09  1.04008E-08  1.15990E-08
 nd  60   2.525201  1.075201  1.047292  3.23572E-08  6.11790E-08  6.68501E-08
 sm  62   1.725361  0.785361  0.757453  5.34783E-09  9.61310E-09  1.10486E-08
 eu  63   0.830572  0.320572  0.292664  6.88648E-10  6.96093E-10  1.42275E-09
 gd  64   1.604883  0.554883  0.526975  4.23798E-09  6.14846E-09  8.75567E-09
 tb  65   0.695318  0.375318  0.347410  5.27467E-10  5.99085E-10  1.08975E-09
 dy  66   1.728358  0.598358  0.570450  5.81965E-09  8.78907E-09  1.20234E-08
 ho  67   0.820329  0.350329  0.322420  7.29984E-10  7.88887E-10  1.50815E-09
 er  68   1.522173  0.602173  0.574265  3.72604E-09  5.67799E-09  7.69800E-09
 tm  69   0.636933  0.516933  0.489025  4.90157E-10  6.83584E-10  1.01266E-09
 yb  70   1.772528  0.852528  0.824619  6.86056E-09  1.23259E-08  1.41739E-08
 lu  71   0.853816  0.763816  0.735908  8.36482E-10  1.41009E-09  1.72817E-09
 hf  72   1.703760  0.993760  0.965852  6.04031E-09  1.11288E-08  1.24793E-08
 ta  73   0.806850  0.926850  0.898942  7.76405E-10  1.40124E-09  1.60405E-09
  w  74   1.616549  0.966549  0.938640  5.08948E-09  9.30285E-09  1.05149E-08
 re  75   0.757517  0.497517  0.469609  7.13177E-10  9.72721E-10  1.47342E-09
