# Initial mass = 3.000, Z =  0.0140, Y =  0.280, M_mix = 1.00E-03
# Final mass = 0.694, Mass expelled =   2.3060
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.68038E-01 -1.00207E-01  1.54050E+00
 he   2  11.073051  0.143051  0.111012  3.13890E-01  7.78072E-02  7.23831E-01
  c   6   9.080812  0.610812  0.578773  9.58811E-03  1.62638E-02  2.21102E-02
  n   7   8.338959  0.468959  0.436920  2.02603E-03  2.95940E-03  4.67202E-03
  o   8   8.734451  0.004452 -0.027587  5.75288E-03 -7.14624E-04  1.32661E-02
  f   9   5.249796  0.789796  0.757758  2.23793E-06  4.25698E-06  5.16066E-06
 ne  10   8.274504  0.304504  0.272465  2.51632E-03  2.69642E-03  5.80264E-03
 na  11   6.586005  0.276005  0.243967  5.87334E-05  5.80171E-05  1.35439E-04
 mg  12   7.678817  0.038817  0.006778  7.68871E-04  2.31513E-05  1.77302E-03
 al  13   6.542379  0.072380  0.040341  6.23440E-05  1.24277E-05  1.43765E-04
 si  14   7.583687  0.033687  0.001648  7.13704E-04  2.16765E-06  1.64580E-03
  p  15   5.531871  0.061872  0.029833  6.98569E-06  1.03210E-06  1.61090E-05
  s  16   7.192500  0.032500  0.000461  3.31033E-04 -1.07911E-06  7.63363E-04
 cl  17   5.284024  0.054024  0.021985  4.51875E-06  4.89856E-07  1.04202E-05
 ar  18   6.471738  0.031738 -0.000300  7.84467E-05 -5.70857E-07  1.80898E-04
  k  19   5.120087  0.040087  0.008048  3.41651E-06  1.35738E-07  7.87847E-06
 ca  20   6.321572  0.031572 -0.000466  5.56954E-05 -4.52055E-07  1.28434E-04
 sc  21   3.137958  0.087958  0.055919  4.09342E-08  1.11987E-08  9.43943E-08
 ti  22   4.949764  0.039764  0.007726  2.82580E-06  9.90335E-08  6.51630E-06
  v  23   3.986305  0.026305 -0.005733  3.27132E-07 -1.00011E-08  7.54366E-07
 cr  24   5.653267  0.013267 -0.018772  1.55088E-05 -4.57621E-08  3.57633E-05
 mn  25   5.527857  0.047857  0.015819  1.22764E-05  9.44588E-07  2.83094E-05
 fe  26   7.572039  0.032039  0.000000  1.38154E-03 -7.88691E-06  3.18583E-03
 co  27   4.969168  0.099168  0.067129  3.63804E-06  1.18373E-06  8.38932E-06
 ni  28   6.234559  0.034559  0.002521  6.67554E-05  5.10772E-07  1.53938E-04
 cu  29   4.365806  0.115806  0.083767  9.77767E-07  3.90920E-07  2.25473E-06
 zn  30   4.726222  0.096222  0.064183  2.30781E-06  7.19721E-07  5.32182E-06
 ga  31   3.407900  0.327900  0.295861  1.18200E-07  1.34311E-07  2.72569E-07
 ge  32   3.903161  0.323161  0.291122  3.85193E-07  4.67417E-07  8.88255E-07
 as  33   2.551862  0.251862  0.219823  1.76934E-08  1.61452E-08  4.08011E-08
 se  34   3.791050  0.451050  0.419011  3.23444E-07  4.88352E-07  7.45862E-07
 br  35   2.971766  0.431766  0.399727  4.96221E-08  6.87312E-08  1.14428E-07
 kr  36   3.824990  0.574990  0.542952  3.71164E-07  6.11012E-07  8.55904E-07
 rb  37   2.890420  0.530420  0.498381  4.40113E-08  6.91955E-08  1.01490E-07
 sr  38   4.110200  1.230200  1.198162  7.48420E-07  1.61684E-06  1.72586E-06
  y  39   3.466180  1.296180  1.264141  1.72366E-07  3.75786E-07  3.97477E-07
 zr  40   3.856222  1.326222  1.294183  4.34183E-07  9.50244E-07  1.00123E-06
 nb  41   2.641698  1.231698  1.199659  2.69825E-08  5.82829E-08  6.22217E-08
 mo  42   3.072975  1.132975  1.100936  7.52170E-08  1.63024E-07  1.73450E-07
 ru  44   2.805145  1.045145  1.013107  4.27669E-08  9.15250E-08  9.86206E-08
 rh  45   1.768595  0.708595  0.676556  4.00292E-09  7.28199E-09  9.23073E-09
 pd  46   2.798061  1.148061  1.116023  4.43022E-08  9.53195E-08  1.02161E-07
 ag  47   2.019279  0.819279  0.787241  7.47333E-09  1.44138E-08  1.72335E-08
 cd  48   2.956431  1.246431  1.214393  6.73878E-08  1.46719E-07  1.55396E-07
 in  49   1.816875  1.056875  1.024837  4.99145E-09  1.04673E-08  1.15103E-08
 sn  50   3.358794  1.288794  1.256756  1.79731E-07  3.94535E-07  4.14459E-07
 sb  51   1.838534  0.828534  0.796496  5.56392E-09  1.16547E-08  1.28304E-08
 te  52   2.945959  0.765959  0.733920  7.46707E-08  1.61332E-07  1.72191E-07
  i  53   1.943185  0.393185  0.361146  7.37907E-09  9.58966E-09  1.70161E-08
 xe  54   3.063609  0.823609  0.791570  1.00738E-07  1.97749E-07  2.32301E-07
 cs  55   1.872045  0.792045  0.760006  6.56035E-09  1.24927E-08  1.51282E-08
 ba  56   3.610289  1.430289  1.398250  3.71011E-07  8.21339E-07  8.55550E-07
 la  57   2.513636  1.343636  1.311597  3.00399E-08  6.58863E-08  6.92719E-08
 ce  58   2.887395  1.307395  1.275356  7.16513E-08  1.56480E-07  1.65228E-07
 pr  59   1.828690  1.068690  1.036651  6.29458E-09  1.31779E-08  1.45153E-08
 nd  60   2.579731  1.129731  1.097692  3.63211E-08  7.74264E-08  8.37563E-08
