 #pulse    Mcore         M_csh         t_csh         Ddredge       lambda        DMh           THeshell       Tbce       THshell     interpulse       Mtot         MaxL          MaxLHe       maxR	   Mbol		Teff
   1   5.800719E-01  1.937622E-02  3.445878E+02  0.000000E+00  0.000000E+00  2.176028E-02  1.841809E+08  2.771065E+06  5.078736E+07  0.000000E+00  2.999976E+00  3.502969E+03  2.455208E+04  1.661087E+02 -4.141091E+00  3.478638E+03
   2   5.819380E-01  2.181238E-02  2.693060E+02  0.000000E+00  0.000000E+00  1.807690E-03  1.921660E+08  2.849720E+06  5.174678E+07  4.837183E+04  2.999975E+00  3.849246E+03  5.776893E+04  1.781975E+02 -4.243439E+00  3.439850E+03
   3   5.840583E-01  2.177924E-02  2.386874E+02  0.000000E+00  0.000000E+00  2.058387E-03  1.970394E+08  2.919039E+06  5.255421E+07  5.227234E+04  2.999974E+00  4.150912E+03  7.952768E+04  1.885842E+02 -4.325359E+00  3.409259E+03
   4   5.864916E-01  2.137977E-02  2.487392E+02  0.000000E+00  0.000000E+00  2.376199E-03  2.018833E+08  2.992110E+06  5.340753E+07  5.511160E+04  2.999972E+00  4.484590E+03  1.119051E+05  1.997899E+02 -4.409307E+00  3.378276E+03
   5   5.894021E-01  2.180260E-02  2.357389E+02  0.000000E+00  0.000000E+00  2.866268E-03  2.082027E+08  3.085334E+06  5.440556E+07  5.920138E+04  2.999970E+00  4.881918E+03  1.860598E+05  2.133113E+02 -4.501477E+00  3.341926E+03
   6   5.925902E-01  2.167541E-02  2.064045E+02  0.000000E+00  0.000000E+00  3.145218E-03  2.123090E+08  3.162375E+06  5.515137E+07  6.107177E+04  2.999966E+00  5.198531E+03  2.447439E+05  2.235421E+02 -4.569702E+00  3.318550E+03
   7   5.961088E-01  2.142370E-02  2.017357E+02  0.000000E+00  0.000000E+00  3.462911E-03  2.170280E+08  3.246782E+06  5.592850E+07  6.213375E+04  2.999962E+00  5.548136E+03  3.462496E+05  2.352269E+02 -4.640368E+00  3.290380E+03
   8   5.998799E-01  2.111739E-02  1.853706E+02  0.000000E+00  0.000000E+00  3.723502E-03  2.209167E+08  0.000000E+00  0.000000E+00  6.246547E+04  2.999956E+00  0.000000E+00  4.519858E+05  0.000000E+00  9.999900E+04  9.999900E+04
   9   6.038677E-01  2.067161E-02  1.722764E+02  0.000000E+00  0.000000E+00  3.953993E-03  2.246435E+08  0.000000E+00  0.000000E+00  6.203305E+04  2.999949E+00  0.000000E+00  5.946278E+05  0.000000E+00  9.999900E+04  9.999900E+04
  10   6.080769E-01  2.024585E-02  1.693071E+02  0.000000E+00  0.000000E+00  4.173517E-03  2.281276E+08  0.000000E+00  0.000000E+00  6.163631E+04  2.999938E+00  0.000000E+00  7.615703E+05  0.000000E+00  9.999900E+04  9.999900E+04
  11   6.124650E-01  1.975554E-02  1.685662E+02  0.000000E+00  0.000000E+00  4.347980E-03  2.313842E+08  0.000000E+00  0.000000E+00  6.076385E+04  2.999925E+00  0.000000E+00  9.540838E+05  0.000000E+00  9.999900E+04  9.999900E+04
  12   6.169841E-01  1.924247E-02  1.362193E+02  0.000000E+00  0.000000E+00  4.474819E-03  2.344366E+08  0.000000E+00  0.000000E+00  5.947183E+04  2.999906E+00  0.000000E+00  1.176980E+06  0.000000E+00  9.999900E+04  9.999900E+04
  13   6.216375E-01  1.873815E-02  1.487597E+02  0.000000E+00  0.000000E+00  4.603088E-03  2.372031E+08  0.000000E+00  0.000000E+00  5.817000E+04  2.999880E+00  0.000000E+00  1.434602E+06  0.000000E+00  9.999900E+04  9.999900E+04
  14   6.263782E-01  1.828116E-02  1.355061E+02  0.000000E+00  0.000000E+00  4.686594E-03  2.401764E+08  0.000000E+00  0.000000E+00  5.658263E+04  2.999844E+00  0.000000E+00  1.770145E+06  0.000000E+00  9.999900E+04  9.999900E+04
  15   6.312098E-01  1.775509E-02  1.396930E+02  0.000000E+00  0.000000E+00  4.787087E-03  2.428744E+08  0.000000E+00  0.000000E+00  5.495615E+04  2.999792E+00  0.000000E+00  2.120877E+06  0.000000E+00  9.999900E+04  9.999900E+04
