# Initial mass = 2.750, Z =  0.0300, Y =  0.300, M_mix = 1.00E-03
# Final mass = 0.670, Mass expelled =   2.0800
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.40110E-01 -7.44005E-02  1.33143E+00
 he   2  11.111222  0.181222 -0.171054  3.28399E-01  5.64815E-02  6.83070E-01
  c   6   9.120848  0.650847  0.298572  1.00745E-02  1.03982E-02  2.09549E-02
  n   7   8.611992  0.741992  0.389716  3.64025E-03  4.47966E-03  7.57173E-03
  o   8   9.065524  0.335525 -0.016751  1.18144E-02 -1.01426E-03  2.45739E-02
  f   9   5.360149  0.900149  0.547873  2.76472E-06  4.11886E-06  5.75062E-06
 ne  10   8.507833  0.537834  0.185558  4.12619E-03  2.97358E-03  8.58247E-03
 na  11   6.875858  0.565858  0.213582  1.09696E-04  8.83762E-05  2.28168E-04
 mg  12   7.994323  0.354323  0.002048  1.52340E-03  8.97725E-06  3.16867E-03
 al  13   6.845610  0.375610  0.023334  1.20082E-04  1.26222E-05  2.49771E-04
 si  14   7.903345  0.353345  0.001069  1.42768E-03  1.75554E-06  2.96957E-03
  p  15   5.843509  0.373509  0.021233  1.37183E-05  1.31061E-06  2.85341E-05
  s  16   7.512671  0.352672  0.000396  6.62975E-04 -1.33493E-06  1.37899E-03
 cl  17   5.599650  0.369650  0.017374  8.95565E-06  6.97282E-07  1.86278E-05
 ar  18   6.792151  0.352151 -0.000124  1.57196E-04 -7.08562E-07  3.26968E-04
  k  19   5.438734  0.358734  0.006458  6.81841E-06  2.01392E-07  1.41823E-05
 ca  20   6.642006  0.352006 -0.000270  1.11611E-04 -5.79312E-07  2.32150E-04
 sc  21   3.436028  0.386028  0.033752  7.79130E-08  1.18358E-08  1.62059E-07
 ti  22   5.266490  0.356490  0.004214  5.61462E-06  9.11614E-08  1.16784E-05
  v  23   4.307788  0.347788 -0.004488  6.57141E-07 -1.32776E-08  1.36685E-06
