#
# Initial mass = 3.000, Z =  0.0300, Y =  0.300, M_mix = 1.00E-03
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.476E+02 2.632E+03 4.988E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.938E+01 2.607E+03 3.490E+02 6.956E+02 7.931E+00 7.149E+00 9.404E-07 1.969E+01 2.988E+01 3.287E-17 3.198E-01 8.004E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.246E-04 7.219E-02 6.674E-03 1.392E-03 2.152E-02 4.129E-05 1.929E-03 1.119E-01 1.009E-01 7.340E-02 7.027E-02 1.134E-01 2.825E-02 6.370E-02 2.310E-02 3.075E-03 4.179E-27 3.852E-01 1.675E-02 5.337E-02
  1.938E+01 2.607E+03 3.490E+02 6.956E+02 7.931E+00 7.149E+00 8.947E-07 1.969E+01 2.988E+01 3.238E-12 3.198E-01 8.004E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.246E-04 7.219E-02 6.674E-03 1.392E-03 2.152E-02 4.129E-05 1.929E-03 1.119E-01 1.009E-01 7.340E-02 7.027E-02 1.134E-01 2.825E-02 6.370E-02 2.310E-02 3.075E-03 1.358E-23 3.852E-01 1.675E-02 5.337E-02
  1.938E+01 2.607E+03 3.490E+02 6.955E+02 7.931E+00 7.149E+00 8.498E-07 1.969E+01 2.988E+01 1.682E-09 3.198E-01 8.004E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.246E-04 7.219E-02 6.674E-03 1.392E-03 2.152E-02 4.129E-05 1.929E-03 1.119E-01 1.009E-01 7.340E-02 7.027E-02 1.134E-01 2.825E-02 6.370E-02 2.310E-02 3.075E-03 2.582E-17 3.852E-01 1.675E-02 5.337E-02
  1.938E+01 2.606E+03 3.490E+02 6.955E+02 7.931E+00 7.149E+00 8.037E-07 1.969E+01 2.988E+01 2.338E-09 3.198E-01 8.004E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.246E-04 7.219E-02 6.674E-03 1.392E-03 2.152E-02 4.129E-05 1.929E-03 1.119E-01 1.009E-01 7.340E-02 7.027E-02 1.134E-01 2.825E-02 6.370E-02 2.310E-02 3.075E-03 3.910E-17 3.852E-01 1.675E-02 5.337E-02
  1.940E+01 2.604E+03 3.491E+02 6.954E+02 7.931E+00 7.149E+00 7.578E-07 1.969E+01 2.988E+01 2.195E-09 3.198E-01 8.004E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.246E-04 7.219E-02 6.674E-03 1.392E-03 2.152E-02 4.129E-05 1.929E-03 1.119E-01 1.009E-01 7.340E-02 7.027E-02 1.134E-01 2.825E-02 6.370E-02 2.310E-02 3.075E-03 4.011E-17 3.852E-01 1.675E-02 5.337E-02
  1.963E+01 2.563E+03 3.521E+02 6.928E+02 7.930E+00 7.149E+00 7.067E-07 1.969E+01 2.988E+01 2.526E-09 3.198E-01 8.004E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.245E-04 7.219E-02 6.674E-03 1.392E-03 2.152E-02 4.129E-05 1.929E-03 1.119E-01 1.009E-01 7.340E-02 7.027E-02 1.134E-01 2.825E-02 6.370E-02 2.310E-02 3.075E-03 5.012E-17 3.852E-01 1.675E-02 5.337E-02
