# Initial mass = 2.750, Z =  0.0300, Y =  0.300, M_mix = 1.00E-03
# Final mass = 0.670, Mass expelled =   2.0800
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -7.3650360E-02  1.3208559E+00  1.3945062E+00  6.3502681E-01  6.7046791E-01 -2.3585916E-02
      d      2  -1.8536547E-04  1.3087342E-05  1.9845281E-04  6.2919912E-06  9.5414587E-05 -1.1808268E+00
    he3      3  -4.0799729E-04  8.5430138E-04  1.2622987E-03  4.1072181E-04  6.0690352E-04 -1.6957191E-01
    he4      4   5.7013333E-02  6.8141913E-01  6.2440580E-01  3.2760534E-01  3.0020952E-01  3.7926514E-02
    li7      7  -2.4800348E-08  1.0253791E-08  3.5054139E-08  4.9297069E-09  1.6853761E-08 -5.3387576E-01
    be7      7   2.0825652E-17  2.0825652E-17  0.0000000E+00  1.0012332E-17  0.0000000E+00  0.0000000E+00
     b8      8   5.7529400E-28  5.7529400E-28  0.0000000E+00  2.7658364E-28  0.0000000E+00  0.0000000E+00
    c12     12   1.0224156E-02  2.0653980E-02  1.0429824E-02  9.9297976E-03  5.0145797E-03  2.9670584E-01
    c13     13   1.7878195E-04  3.0516792E-04  1.2638597E-04  1.4671535E-04  6.0765407E-05  3.8281912E-01
    c14     14   1.6465989E-08  1.6465989E-08  0.0000000E+00  7.9163405E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.4808006E-03  7.5642830E-03  3.0834822E-03  3.6366745E-03  1.4825147E-03  3.8970542E-01
    n15     15  -3.4563454E-06  3.9247548E-06  7.3811002E-06  1.8869013E-06  3.5487767E-06 -2.7432954E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.0538418E-03  2.4473865E-02  2.5527706E-02  1.1766281E-02  1.2273526E-02 -1.8330125E-02
    o17     17   5.9478236E-05  6.9782473E-05  1.0304236E-05  3.3549266E-05  4.9541977E-06  8.3070970E-01
    o18     18  -1.7137980E-05  4.0437226E-05  5.7575206E-05  1.9440973E-05  2.7681719E-05 -1.5347509E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   4.1193698E-06  5.7512229E-06  1.6318534E-06  2.7650110E-06  7.8458260E-07  5.4705822E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.7061830E-06  5.1680403E-03  5.1663341E-03  2.4846348E-03  2.4839337E-03  1.2252689E-04
   ne21     21   7.8039739E-07  1.3783648E-05  1.3003250E-05  6.6267535E-06  6.2518634E-06  2.5291335E-02
   ne22     22   3.2393646E-03  3.6572237E-03  4.1785903E-04  1.7582806E-03  2.0090342E-04  9.4210082E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   5.3844894E-23  5.3844894E-23  0.0000000E+00  2.5886968E-23  0.0000000E+00  0.0000000E+00
   na23     23   8.8421322E-05  2.2826719E-04  1.3984587E-04  1.0974384E-04  6.7236826E-05  2.1277294E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   5.9027225E-06  2.4703075E-03  2.4644048E-03  1.1876478E-03  1.1848669E-03  1.0181433E-03
   mg25     25   3.3853867E-06  3.2837296E-04  3.2498757E-04  1.5787160E-04  1.5625154E-04  4.4796807E-03
   mg26     26  -1.4979742E-07  3.7197315E-04  3.7212294E-04  1.7883324E-04  1.7891386E-04 -1.9574203E-04
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.2642020E-05  2.4993744E-04  2.3729542E-04  1.2016223E-04  1.1408982E-04  2.2521079E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   7.9651363E-07  2.7294832E-03  2.7286867E-03  1.3122514E-03  1.3119316E-03  1.0586072E-04
   si29     29   2.1704182E-07  1.4372109E-04  1.4350405E-04  6.9096677E-05  6.8995651E-05  6.3544960E-04
   si30     30   9.4957068E-07  9.8812685E-05  9.7863114E-05  4.7506099E-05  4.7051835E-05  4.1727945E-03
    p31     31   1.3130157E-06  2.8558046E-05  2.7245031E-05  1.3729829E-05  1.3099202E-05  2.0420255E-02
    p32     32   6.8670243E-26  6.8670243E-26  0.0000000E+00  3.3014538E-26  0.0000000E+00  0.0000000E+00
    p33     33   5.6308428E-25  5.6308428E-25  0.0000000E+00  2.7071359E-25  0.0000000E+00  0.0000000E+00
    s32     32  -1.7510029E-06  1.3058713E-03  1.3076223E-03  6.2782271E-04  6.2869478E-04 -6.0283649E-04
    s33     33   2.9362855E-07  1.1089480E-05  1.0795851E-05  5.3314807E-06  5.1905627E-06  1.1633432E-02
    s34     34   1.6573904E-07  6.2951447E-05  6.2785708E-05  3.0265119E-05  3.0186888E-05  1.1240144E-03
    s35     35   6.8283928E-20  6.8283928E-20  0.0000000E+00  3.2828811E-20  0.0000000E+00  0.0000000E+00
    s36     36   4.9939956E-08  3.5986750E-07  3.0992754E-07  1.7301322E-07  1.4901079E-07  6.4861566E-02
   cl35     35  -5.7784746E-08  1.3355597E-05  1.3413382E-05  6.4209598E-06  6.4490509E-06 -1.8958788E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   7.8969288E-07  5.3218109E-06  4.5321181E-06  2.5585630E-06  2.1790077E-06  6.9737382E-02
   ar36     36  -1.0513177E-06  2.4873848E-04  2.4978979E-04  1.1958581E-04  1.2009701E-04 -1.8525922E-03
   ar37     37   1.4400177E-19  1.4400177E-19  0.0000000E+00  6.9231618E-20  0.0000000E+00  0.0000000E+00
   ar38     38   3.9431325E-07  4.8333197E-05  4.7938884E-05  2.3237113E-05  2.3048646E-05  3.5367524E-03
   ar39     39   9.2593407E-12  9.2593407E-12  0.0000000E+00  4.4516062E-12  0.0000000E+00  0.0000000E+00
   ar40     40   5.9326332E-08  1.4003453E-07  8.0708197E-08  6.7324294E-08  3.8803879E-08  2.3929666E-01
    k39     39   8.6663931E-08  1.3091350E-05  1.3004686E-05  6.2939184E-06  6.2525537E-06  2.8636735E-03
    k40     40  -2.1052466E-09  0.0000000E+00  2.1052466E-09  0.0000000E+00  1.0121863E-09  0.0000000E+00
    k41     41   1.2294322E-07  1.1095065E-06  9.8656324E-07  5.3341654E-07  4.7433201E-07  5.0984059E-02
   ca40     40  -7.1317481E-07  2.2444756E-04  2.2516074E-04  1.0790748E-04  1.0825555E-04 -1.3986424E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   5.9017907E-08  1.6368912E-06  1.5778733E-06  7.8696689E-07  7.5862943E-07  1.5926784E-02
