# Initial mass = 2.250, Z =  0.0001, Y =  0.240, M_mix = 2.00E-03
# Final mass = 0.713, Mass expelled =   1.5370
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000 6.33681E-01 9.73967E-01
 he   2  11.121974  0.191974  2.318530 3.33250E-01 5.12205E-01
  c   6   9.587601  1.117600  3.244156 2.92139E-02 4.49018E-02
  n   7   6.773464 -1.096536  1.030020 5.22660E-05 8.03328E-05
  o   8   7.924706 -0.805293  1.321263 8.45686E-04 1.29982E-03
  f   9   5.997897  1.577897  3.704453 1.18854E-05 1.82679E-05
 ne  10   8.740053  0.770053  2.896609 6.97243E-03 1.07166E-02
 na  11   7.140513  0.900513  3.027069 1.99738E-04 3.06998E-04
 mg  12   7.419343 -0.220656  1.905900 4.01281E-04 6.16769E-04
 al  13   5.590430 -0.859570  1.266986 6.60562E-06 1.01528E-05
 si  14   5.702296 -1.847704  0.278852 8.89602E-06 1.36732E-05
  p  15   4.236819 -1.173181  0.953375 3.35912E-07 5.16297E-07
  s  16   5.063809 -2.086191  0.040365 2.33480E-06 3.58859E-06
 cl  17   3.249804 -1.980196  0.146360 3.96157E-08 6.08893E-08
 ar  18   4.312373 -2.127627 -0.001071 5.15559E-07 7.92414E-07
  k  19   3.033262 -2.046738  0.079818 2.65354E-08 4.07850E-08
 ca  20   4.149273 -2.140727 -0.014171 3.55295E-07 5.46088E-07
 sc  21   1.390372 -1.659628  0.466928 6.94336E-10 1.06719E-09
 ti  22   2.858076 -2.051924  0.074632 2.17031E-08 3.33577E-08
  v  23   1.828918 -2.131082 -0.004526 2.15975E-09 3.31954E-09
 cr  24   3.502486 -2.137514 -0.010958 1.03960E-07 1.59787E-07
 mn  25   3.346501 -2.133499 -0.006943 7.66979E-08 1.17885E-07
 fe  26   5.413444 -2.126556  0.000000 9.09574E-06 1.39802E-05
 co  27   3.501740 -1.368260  0.758296 1.17627E-07 1.80793E-07
 ni  28   4.180722 -2.019278  0.107278 5.59395E-07 8.59790E-07
 cu  29   2.887020 -1.362980  0.763576 3.07977E-08 4.73361E-08
 zn  30   2.871058 -1.758942  0.367614 3.05567E-08 4.69656E-08
 ga  31   1.848942 -1.231058  0.895498 3.09548E-09 4.75775E-09
 ge  32   2.309630 -1.270370  0.856186 9.31571E-09 1.43182E-08
 as  33   0.873453 -1.426547  0.700009 3.51943E-10 5.40937E-10
 se  34   2.255839 -1.084161  1.042395 8.94657E-09 1.37509E-08
 br  35   1.306922 -1.233078  0.893478 1.01836E-09 1.56521E-09
 kr  36   2.783408 -0.466592  1.659964 3.19928E-08 4.91729E-08
 rb  37   2.021253 -0.498747  1.627809 5.64243E-09 8.67242E-09
 sr  38   2.535561 -0.344440  1.782116 1.89049E-08 2.90568E-08
  y  39   2.002046 -0.207954  1.918602 5.61547E-09 8.63098E-09
 zr  40   2.466857 -0.063143  2.063413 1.68026E-08 2.58255E-08
 nb  41   1.289931 -0.120069  2.006487 1.13864E-09 1.75008E-09
 mo  42   1.600723 -0.339277  1.787279 2.40510E-09 3.69663E-09
 ru  44   1.116800 -0.643200  1.483356 8.31443E-10 1.27793E-09
 rh  45   0.011650 -1.048350  1.078206 6.64509E-11 1.02135E-10
 pd  46   1.104548 -0.545452  1.581103 8.51100E-10 1.30814E-09
 ag  47   0.314108 -0.885892  1.240664 1.39769E-10 2.14825E-10
