# Minitial =  0.900 msun, Z = 0.0001, Mfinal = 0.775 msun, no c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -3.3373535E-03  9.1615766E-02  9.4953120E-02  7.3292613E-01  7.5989997E-01 -1.5696233E-02
      d      2  -1.9902766E-08  2.0785839E-08  4.0688604E-08  1.6628671E-07  3.2562667E-07 -2.9186243E-01
    he3      3   2.9209239E-05  2.9468045E-05  2.5880630E-07  2.3574436E-04  2.0712000E-06  2.0562193E+00
    he4      4   2.7665012E-03  3.2755643E-02  2.9989142E-02  2.6204515E-01  2.3999999E-01  3.8164895E-02
    li7      7   7.9619762E-11  8.6806742E-11  7.1869810E-12  6.9445394E-10  5.7516669E-11  1.0818497E+00
    be7      7   5.6110624E-12  5.6110624E-12  0.0000000E+00  4.4888499E-11  0.0000000E+00  0.0000000E+00
     b8      8   1.4531902E-27  1.4531902E-27  0.0000000E+00  1.1625522E-26  0.0000000E+00  0.0000000E+00
    c12     12   4.9302605E-04  4.9516535E-04  2.1393255E-06  3.9613228E-03  1.7120799E-05  2.3643162E+00
    c13     13   5.7543036E-07  6.0134300E-07  2.5912620E-08  4.8107440E-06  2.0737600E-07  1.3654537E+00
    c14     14  -4.3881114E-11 -4.3881114E-11  0.0000000E+00 -3.5104891E-10  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.6970165E-05  1.7602386E-05  6.3222109E-07  1.4081909E-04  5.0596000E-06  1.4445454E+00
    n15     15   2.0030060E-09  3.5163330E-09  1.5133270E-09  2.8130664E-08  1.2110999E-08  3.6600000E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.4841034E-05  2.0074873E-05  5.2338382E-06  1.6059898E-04  4.1885865E-05  5.8367527E-01
    o17     17   3.1517001E-08  3.3629618E-08  2.1126185E-09  2.6903695E-07  1.6907066E-08  1.2017437E+00
