# Minitial =  0.900 msun, Z = 0.0001, Mfinal = 0.775 msun, c13 pocket included (pmz = 2e-3msun)
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -3.3594072E-03  9.1593713E-02  9.4953120E-02  7.3274970E-01  7.5989997E-01 -1.5800783E-02
      d      2  -1.9894177E-08  2.0794428E-08  4.0688604E-08  1.6635542E-07  3.2562667E-07 -2.9168305E-01
    he3      3   2.9203824E-05  2.9462630E-05  2.5880630E-07  2.3570104E-04  2.0712000E-06  2.0561395E+00
    he4      4   2.7765371E-03  3.2765679E-02  2.9989142E-02  2.6212543E-01  2.3999999E-01  3.8297921E-02
    li7      7   7.9861930E-11  8.7048910E-11  7.1869810E-12  6.9639128E-10  5.7516669E-11  1.0830597E+00
    be7      7   5.6143809E-12  5.6143809E-12  0.0000000E+00  4.4915047E-11  0.0000000E+00  0.0000000E+00
     b8      8   1.4522540E-27  1.4522540E-27  0.0000000E+00  1.1618032E-26  0.0000000E+00  0.0000000E+00
    c12     12   4.5710875E-04  4.5924808E-04  2.1393255E-06  3.6739847E-03  1.7120799E-05  2.3316133E+00
    c13     13   5.4058523E-07  5.6649787E-07  2.5912620E-08  4.5319830E-06  2.0737600E-07  1.3395298E+00
    c14     14  -5.0097082E-10 -5.0097082E-10  0.0000000E+00 -4.0077666E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.6244003E-05  1.6876224E-05  6.3222109E-07  1.3500979E-04  5.0596000E-06  1.4262490E+00
    n15     15   4.6429189E-09  6.1562462E-09  1.5133270E-09  4.9249969E-08  1.2110999E-08  6.0922599E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
