# Minitial =  1.50 msun, Z = 0.0001, Mfinal = 0.661 msun
# Initial abundances up to Ge from Kobayashi, Karakas, Umeda (2010); the rest scaled solar from Sneden, Cowan & Gallino (2008)
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.9670329E-02  5.8614063E-01  6.4581096E-01  6.9861817E-01  7.6980817E-01 -4.2142630E-02
      d      2  -3.3594857E-05  8.5107731E-06  4.2105632E-05  1.0143949E-05  5.0190014E-05 -6.9441026E-01
    he3      3   1.6325981E-04  1.8226422E-04  1.9004408E-05  2.1723984E-04  2.2653297E-05  9.8180801E-01
    he4      4   4.6669126E-02  2.3959877E-01  1.9292964E-01  2.8557661E-01  2.2997259E-01  9.4046555E-02
    li7      7  -2.3526689E-10  2.9837147E-10  5.3363836E-10  3.5562750E-10  6.3609817E-10 -2.5252882E-01
    be7      7   5.6533326E-13  5.6533326E-13  0.0000000E+00  6.7381799E-13  0.0000000E+00  0.0000000E+00
     b8      8   4.0630046E-27  4.0630046E-27  0.0000000E+00  4.8426753E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.0761742E-02  1.0770645E-02  8.9024779E-06  1.2837479E-02  1.0611775E-05  3.0826917E+00
    c13     13   8.6176613E-07  8.6708786E-07  5.3217208E-09  1.0334778E-06  6.3435039E-09  2.2119720E+00
    c14     14   3.2665748E-09  3.2665748E-09  0.0000000E+00  3.8934145E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.1951724E-05  4.2341551E-05  3.8982694E-07  5.0466690E-05  4.6467460E-07  2.0358558E+00
    n15     15   8.3632393E-08  8.3750841E-08  1.1844915E-10  9.9822216E-08  1.4119167E-10  2.8494182E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
