# Minitial =  2.00 msun, Z = 0.0001, Mfinal = 0.685 msun, c13 pocket included (pmz = 2e-3msun)
# Initial abundances up to Ge from Kobayashi, Karakas, Umeda (2010) 
# [r/Fe] = 0.4, [s/Fe] = 0.0 rom Sneden, Cowan & Gallino (2008)
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.7560017E-01  8.3662021E-01  1.0122204E+00  6.3621306E-01  7.6980817E-01 -8.2779944E-02
      d      2  -6.5771186E-05  2.2363487E-07  6.5994820E-05  1.7006454E-07  5.0190014E-05 -2.4700036E+00
    he3      3   1.9448179E-04  2.2426860E-04  2.9786810E-05  1.7054645E-04  2.2653297E-05  8.7671125E-01
    he4      4   1.3210404E-01  4.3449485E-01  3.0239081E-01  3.3041432E-01  2.2997259E-01  1.5738280E-01
    li7      7  -7.3590112E-10  1.0050406E-10  8.3640517E-10  7.6428940E-11  6.3609817E-10 -9.2026633E-01
    be7      7   1.6484307E-13  1.6484307E-13  0.0000000E+00  1.2535594E-13  0.0000000E+00  0.0000000E+00
     b8      8   9.4969538E-29  9.4969538E-29  0.0000000E+00  7.2220176E-29  0.0000000E+00  0.0000000E+00
    c12     12   3.3985581E-02  3.3999536E-02  1.3953416E-05  2.5855159E-02  1.0611775E-05  3.3867593E+00
    c13     13   1.5295359E-06  1.5378770E-06  8.3410692E-09  1.1694882E-06  6.3435031E-09  2.2656667E+00
    c14     14   3.9486615E-08  3.9486615E-08  0.0000000E+00  3.0027842E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   7.1463270E-05  7.2074268E-05  6.1100036E-07  5.4809327E-05  4.6467460E-07  2.0717056E+00
    n15     15   3.4644753E-08  3.4830407E-08  1.8565285E-10  2.6487001E-08  1.4119167E-10  2.2732236E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
