# Minitial =  5.00 msun, Z = 0.0001, Mfinal = 0.929 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -3.9875245E-01  2.7353172E+00  3.1340697E+00  6.7190301E-01  7.6990002E-01 -5.9127741E-02
      d      2  -1.3249800E-06  5.6436905E-10  1.3255443E-06  1.3863155E-10  3.2562664E-07 -3.3708580E+00
    he3      3  -6.0488233E-06  2.3825110E-06  8.4313342E-06  5.8523972E-07  2.0712000E-06 -5.4888827E-01
    he4      4   3.6428922E-01  1.3005614E+00  9.3627220E-01  3.1946975E-01  2.2999999E-01  1.4270192E-01
    li7      7   1.6762119E-10  4.0175707E-10  2.3413588E-10  9.8687558E-11  5.7516662E-11  2.3446874E-01
    be7      7   1.4281442E-09  1.4281442E-09  0.0000000E+00  3.5080916E-10  0.0000000E+00  0.0000000E+00
     b8      8   2.0830338E-25  2.0830338E-25  0.0000000E+00  5.1167620E-26  0.0000000E+00  0.0000000E+00
    c12     12   2.7404102E-03  2.8101045E-03  6.9694470E-05  6.9027377E-04  1.7120798E-05  1.6054974E+00
    c13     13   4.4322756E-04  4.4407175E-04  8.4417553E-07  1.0908173E-04  2.0737599E-07  2.7209935E+00
    c14     14   9.7324913E-09  9.7324913E-09  0.0000000E+00  2.3906881E-09  0.0000000E+00  0.0000000E+00
    n13     13   2.5851459E-37  2.5851459E-37  0.0000000E+00  6.3501493E-38  0.0000000E+00  0.0000000E+00
    n14     14   2.9836681E-02  2.9857278E-02  2.0596359E-05  7.3341383E-03  5.0595995E-06  3.1612329E+00
    n15     15   7.8674509E-07  8.3604596E-07  4.9300837E-08  2.0536623E-07  1.2110999E-08  1.2293490E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   4.4545974E-04  6.1596656E-04  1.7050684E-04  1.5130595E-04  4.1885865E-05  5.5778855E-01
    o17     17   1.6938889E-06  1.7627133E-06  6.8824413E-08  4.3299269E-07  1.6907064E-08  1.4084123E+00
    o18     18  -3.8240850E-07  2.1453164E-09  3.8455383E-07  5.2697524E-10  9.4467595E-08 -2.2534926E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   2.9672656E-30  2.9672656E-30  0.0000000E+00  7.2887877E-31  0.0000000E+00  0.0000000E+00
    f19     19   3.7701442E-09  1.3710940E-08  9.9407957E-09  3.3679537E-09  2.4420066E-09  1.3961929E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.9084164E-05  5.3591088E-05  3.4506924E-05  1.3164109E-05  8.4767998E-06  1.9115955E-01
   ne21     21   1.4947084E-07  2.3632433E-07  8.6853490E-08  5.8050681E-08  2.1336000E-08  4.3469435E-01
   ne22     22   6.2335440E-04  6.2614540E-04  2.7909973E-06  1.5380628E-04  6.8562258E-07  2.3508890E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.5276380E-10  1.5276380E-10  0.0000000E+00  3.7524883E-11  0.0000000E+00  0.0000000E+00
   na23     23   1.5161955E-05  1.5956975E-05  7.9501996E-07  3.9196698E-06  1.9530066E-07  1.3025458E+00
   na24     24   1.2067998E-30  1.2067998E-30  0.0000000E+00  2.9643816E-31  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -7.5183916E-06  8.9417617E-06  1.6460153E-05  2.1964534E-06  4.0435198E-06 -2.6503760E-01
   mg25     25   8.1984930E-05  8.4155588E-05  2.1706589E-06  2.0671969E-05  5.3323333E-07  1.5884646E+00
   mg26     26   2.4185491E-04  2.4434045E-04  2.4855340E-06  6.0019760E-05  6.1058398E-07  1.9925488E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   3.0816407E-06  3.0816407E-06  0.0000000E+00  7.5697386E-07  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   8.2861015E-06  9.7997117E-06  1.5136103E-06  2.4072001E-06  3.7182599E-07  8.1117243E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   5.8170081E-06  2.4042565E-05  1.8225557E-05  5.9058129E-06  4.4772000E-06  1.2027317E-01
   si29     29   9.5960013E-07  1.9181014E-06  9.5850123E-07  4.7116220E-07  2.3546065E-07  3.0125210E-01
   si30     30   1.6070261E-06  2.2606744E-06  6.5364827E-07  5.5531177E-07  1.6057200E-07  5.3886706E-01
    p31     31   5.6916110E-07  7.2765977E-07  1.5849866E-07  1.7874227E-07  3.8935998E-08  6.6187596E-01
