# Initial mass = 2.360, Z =  0.0006, Y =  0.350, M_mix = 2.00E-03
# Final mass = 0.818, Mass expelled =   1.5420
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -3.9053798E-02  9.6224380E-01  1.0012976E+00  6.2402326E-01  6.4939988E-01 -1.7311431E-02
      d      2  -3.0123861E-06  7.9493315E-11  3.0124656E-06  5.1552089E-11  1.9537597E-06 -4.5786247E+00
    he3      3   1.4264896E-04  1.6181023E-04  1.9161265E-05  1.0493530E-04  1.2427199E-05  9.2654836E-01
    he4      4   2.8026998E-02  5.6768543E-01  5.3965843E-01  3.6814880E-01  3.4999996E-01  2.1955419E-02
    li7      7   2.8732670E-09  4.9916205E-09  2.1183535E-09  3.2371081E-09  1.3738758E-09  3.7220976E-01
    be7      7   6.2904931E-10  6.2904931E-10  0.0000000E+00  4.0794382E-10  0.0000000E+00  0.0000000E+00
     b8      8   7.7774339E-25  7.7774339E-25  0.0000000E+00  5.0437321E-25  0.0000000E+00  0.0000000E+00
    c12     12   9.2736343E-03  9.4320234E-03  1.5838943E-04  6.1167474E-03  1.0272479E-04  1.7748454E+00
    c13     13   1.7777878E-05  1.9696374E-05  1.9184949E-06  1.2773266E-05  1.2442558E-06  1.0113922E+00
    c14     14   5.5657614E-07  5.5657614E-07  0.0000000E+00  3.6094434E-07  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.0189146E-04  1.4869927E-04  4.6807811E-05  9.6432741E-05  3.0357596E-05  5.0195712E-01
    n15     15  -7.8263383E-08  3.3778949E-08  1.1204234E-07  2.1905935E-08  7.2665991E-08 -5.2076948E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   3.8692440E-04  7.7442254E-04  3.8749815E-04  5.0221960E-04  2.5131516E-04  3.0067497E-01
    o17     17   8.3848937E-07  9.9490148E-07  1.5641213E-07  6.4520208E-07  1.0144239E-07  8.0347633E-01
    o18     18  -2.7643625E-07  5.9751062E-07  8.7394687E-07  3.8749070E-07  5.6680557E-07 -1.6517285E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.5471243E-06  1.5697160E-06  2.2591705E-08  1.0179741E-06  1.4652039E-08  1.8418387E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.6047939E-05  9.4469244E-05  7.8421304E-05  6.1264109E-05  5.0860795E-05  8.0822997E-02
   ne21     21   1.2053115E-06  1.4026970E-06  1.9738545E-07  9.0966091E-07  1.2801598E-07  8.5161531E-01
   ne22     22   1.0075996E-03  1.0139425E-03  6.3428915E-06  6.5755035E-04  4.1137355E-06  2.2036929E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   6.4264157E-16  6.4264157E-16  0.0000000E+00  4.1675850E-16  0.0000000E+00  0.0000000E+00
   na23     23   1.0613509E-05  1.2420292E-05  1.8067824E-06  8.0546642E-06  1.1718038E-06  8.3719254E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.0454558E-05  4.7862322E-05  3.7407764E-05  3.1039122E-05  2.4261117E-05  1.0699866E-01
   mg25     25   2.4214964E-05  2.9148057E-05  4.9330943E-06  1.8902763E-05  3.1993995E-06  7.7145684E-01
   mg26     26   2.6925098E-05  3.2573786E-05  5.6486874E-06  2.1124377E-05  3.6635033E-06  7.6088732E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.8218620E-06  5.2617311E-06  3.4398690E-06  3.4122772E-06  2.2309557E-06  1.8455335E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   2.9283729E-06  4.4348239E-05  4.1419866E-05  2.8760209E-05  2.6863197E-05  2.9634362E-02
   si29     29   3.4131904E-07  2.5196332E-06  2.1783142E-06  1.6340035E-06  1.4127638E-06  6.3183412E-02
   si30     30   5.1652148E-07  2.0020191E-06  1.4854976E-06  1.2983263E-06  9.6343194E-07  1.2956280E-01
    p31     31   6.0695197E-07  9.6716008E-07  3.6020811E-07  6.2721153E-07  2.3361598E-07  4.2891148E-01
    p32     32   8.3126905E-32  8.3126905E-32  0.0000000E+00  5.3908506E-32  0.0000000E+00  0.0000000E+00
    p33     33   4.0573457E-31  4.0573457E-31  0.0000000E+00  2.6312230E-31  0.0000000E+00  0.0000000E+00
    s32     32   7.5333446E-08  1.9923908E-05  1.9848574E-05  1.2920823E-05  1.2872958E-05  1.6117722E-03
    s33     33   8.0157889E-09  1.7189068E-07  1.6387489E-07  1.1147256E-07  1.0628242E-07  2.0706497E-02
    s34     34   8.7864692E-08  1.0409323E-06  9.5306757E-07  6.7505340E-07  6.1811994E-07  3.8265355E-02
    s35     35   1.9539934E-26  1.9539934E-26  0.0000000E+00  1.2671812E-26  0.0000000E+00  0.0000000E+00
    s36     36   1.7539586E-08  2.2244198E-08  4.7046123E-09  1.4425551E-08  3.0512155E-09  6.7465955E-01
   cl35     35  -1.9509372E-09  2.0166434E-07  2.0361527E-07  1.3078103E-07  1.3205639E-07 -4.2146626E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   1.7756108E-08  8.6551083E-08  6.8794975E-08  5.6129110E-08  4.4617554E-08  9.9682376E-02
   ar36     36  -7.4587206E-08  3.7170339E-06  3.7916211E-06  2.4105279E-06  2.4590877E-06 -8.6618550E-03
   ar37     37   8.0704674E-26  8.0704674E-26  0.0000000E+00  5.2337667E-26  0.0000000E+00  0.0000000E+00
   ar38     38   2.2729864E-08  7.5041265E-07  7.2768279E-07  4.8664896E-07  4.7194476E-07  1.3324651E-02
   ar39     39   1.4654181E-11  1.4654181E-11  0.0000000E+00  9.5033608E-12  0.0000000E+00  0.0000000E+00
   ar40     40   9.5714228E-09  1.0796540E-08  1.2251171E-09  7.0016477E-09  7.9455992E-10  9.4507360E-01
    k39     39   3.7856722E-09  2.0118667E-07  1.9740099E-07  1.3047126E-07  1.2802607E-07  8.2164248E-03
    k40     40  -3.1957589E-11  0.0000000E+00  3.1957589E-11  0.0000000E+00  2.0726362E-11  0.0000000E+00
    k41     41   1.9228743E-09  1.6899012E-08  1.4976138E-08  1.0959153E-08  9.7128989E-09  5.2428104E-02
   ca40     40  -6.0231059E-08  3.3575641E-06  3.4177951E-06  2.1774088E-06  2.2166396E-06 -7.7551259E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   2.7376608E-09  2.6689428E-08  2.3951767E-08  1.7308320E-08  1.5534118E-08  4.6968311E-02
   ca43     43   7.8922424E-10  5.9057967E-09  5.1165725E-09  3.8299595E-09  3.3183956E-09  6.2266029E-02
   ca44     44   1.9954030E-09  8.2896548E-08  8.0901145E-08  5.3759116E-08  5.2469115E-08  1.0548402E-02
   ca45     45   5.2174009E-26  5.2174009E-26  0.0000000E+00  3.3835289E-26  0.0000000E+00  0.0000000E+00
   ca46     46   2.6150784E-09  2.7772618E-09  1.6218345E-10  1.8010778E-09  1.0518542E-10  1.2335770E+00
   ca47     47   5.3522830E-38  5.3522830E-38  0.0000000E+00  3.4710009E-38  0.0000000E+00  0.0000000E+00
   ca48     48   4.8706816E-11  7.9604074E-09  7.9117006E-09  5.1623918E-09  5.1311995E-09  2.6320147E-03
   sc45     45   9.4497254E-10  3.2273946E-09  2.2824220E-09  2.0929927E-09  1.4802839E-09  1.5042265E-01
   sc46     46   9.0953573E-28  9.0953573E-28  0.0000000E+00  5.8984166E-28  0.0000000E+00  0.0000000E+00
   sc47     47   1.9364949E-37  1.9364949E-37  0.0000000E+00  1.2558334E-37  0.0000000E+00  0.0000000E+00
   sc48     48   8.8664247E-33  1.4484090E-30  1.4395425E-30  9.3930547E-31  9.3362736E-31  0.0000000E+00
   ti46     46   4.3775650E-11  1.3988215E-08  1.3944439E-08  9.0714760E-09  9.0437826E-09  1.3278339E-03
   ti47     47   2.4813041E-11  1.2873462E-08  1.2848649E-08  8.3485494E-09  8.3330987E-09  8.0446340E-04
   ti48     48  -2.7395686E-09  1.2728171E-07  1.3002128E-07  8.2543266E-08  8.4326388E-08 -9.2818420E-03
   ti49     49   1.3876882E-09  1.1128177E-08  9.7404884E-09  7.2167170E-09  6.3172751E-09  5.7809867E-02
   ti50     50   8.8920853E-09  1.8408883E-08  9.5167980E-09  1.1938317E-08  6.1721988E-09  2.8650323E-01
    v51     51   7.1581852E-11  2.1045043E-08  2.0973461E-08  1.3647889E-08  1.3602514E-08  1.4462715E-03
   cr52     52  -1.3406122E-08  8.4635667E-07  8.5976279E-07  5.4886948E-07  5.5760631E-07 -6.8586217E-03
   cr53     53  -1.3476154E-09  9.8017004E-08  9.9364620E-08  6.3564862E-08  6.4443753E-08 -5.9637027E-03
   cr54     54   9.2007291E-09  3.4401346E-08  2.5200617E-08  2.2309564E-08  1.6344071E-08  1.3513084E-01
   mn55     55  -1.4074317E-08  7.3677552E-07  7.5084984E-07  4.7780520E-07  4.8696990E-07 -8.2512544E-03
   fe54     54  -1.3167391E-07  4.8157290E-06  4.9474029E-06  3.1230411E-06  3.2086796E-06 -1.1748685E-02
   fe55     55  -1.9053741E-17 -1.9053741E-17  0.0000000E+00 -1.2356513E-17  0.0000000E+00  0.0000000E+00
   fe56     56  -1.6177801E-06  7.8918252E-05  8.0536032E-05  5.1179155E-05  5.2232313E-05 -8.8461647E-03
   fe57     57   1.2272062E-07  2.0158818E-06  1.8931612E-06  1.3073164E-06  1.2278255E-06  2.7244082E-02
   fe58     58   5.4095585E-07  7.9732405E-07  2.5636820E-07  5.1707144E-07  1.6626973E-07  4.9273735E-01
   fe59     59   1.4014964E-26  1.4014964E-26  0.0000000E+00  9.0888232E-27  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   1.6350462E-07  3.6121733E-07  1.9771271E-07  2.3425251E-07  1.2822822E-07  2.6170063E-01
   co60     60   2.4759852E-13  2.4759852E-13  0.0000000E+00  1.6056975E-13  0.0000000E+00  0.0000000E+00
   ni58     58  -7.6062861E-08  2.7527944E-06  2.8288573E-06  1.7852105E-06  1.8346790E-06 -1.1870670E-02
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   1.7937464E-07  1.3066253E-06  1.1272507E-06  8.4735763E-07  7.3108788E-07  6.4097166E-02
   ni61     61   5.2468131E-08  1.0228705E-07  4.9818915E-08  6.6334017E-08  3.2310474E-08  3.1239298E-01
   ni62     62   1.4186692E-07  3.0331051E-07  1.6144359E-07  1.9669945E-07  1.0470558E-07  2.7383330E-01
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   7.8528785E-08  1.2096925E-07  4.2440462E-08  7.8449581E-08  2.7525116E-08  4.5486143E-01
   cu63     63   3.9806711E-08  7.4837189E-08  3.5030478E-08  4.8532552E-08  2.2719309E-08  3.2963800E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   1.5667146E-08  3.1776473E-08  1.6109327E-08  2.0607313E-08  1.0447839E-08  2.9499489E-01
   zn64     64  -1.3836612E-09  5.8633752E-08  6.0017413E-08  3.8024485E-08  3.8924796E-08 -1.0163016E-02
