# Initial mass = 2.360, Z =  0.0006, Y =  0.400, M_mix = 1.00E-03
# Final mass = 0.879, Mass expelled =   1.4810
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.3848753E-03  8.8325536E-01  8.8764024E-01  5.9639120E-01  5.9939992E-01 -2.1854506E-03
      d      2  -2.8926220E-06  6.6465466E-10  2.8932866E-06  4.4878778E-10  1.9537597E-06 -3.6388302E+00
    he3      3   1.0364845E-04  1.2205165E-04  1.8403207E-05  8.2411651E-05  1.2427197E-05  8.2161540E-01
    he4      4   6.7364275E-02  6.5971678E-01  5.9235251E-01  4.4545361E-01  3.9999995E-01  4.6742573E-02
    li7      7   7.5956823E-09  9.6302291E-09  2.0345472E-09  6.5025181E-09  1.3738757E-09  6.7513412E-01
    be7      7   4.4145025E-09  4.4145025E-09  0.0000000E+00  2.9807581E-09  0.0000000E+00  0.0000000E+00
     b8      8   7.7184922E-25  7.7184922E-25  0.0000000E+00  5.2116761E-25  0.0000000E+00  0.0000000E+00
    c12     12   5.9074359E-03  6.0595591E-03  1.5212322E-04  4.0915324E-03  1.0272479E-04  1.6002108E+00
    c13     13   6.3016661E-05  6.4859254E-05  1.8425953E-06  4.3794233E-05  1.2442558E-06  1.5465072E+00
    c14     14   1.8210890E-06  1.8210890E-06  0.0000000E+00  1.2296347E-06  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.1885889E-04  1.6381490E-04  4.4955999E-05  1.1061101E-04  3.0357594E-05  5.6153107E-01
    n15     15  -8.7393119E-08  2.0216596E-08  1.0760971E-07  1.3650640E-08  7.2665983E-08 -7.2617817E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   2.5445173E-04  6.2661967E-04  3.7216794E-04  4.2310581E-04  2.5131516E-04  2.2623032E-01
    o17     17   5.0316396E-07  6.5338810E-07  1.5022412E-07  4.4118036E-07  1.0144238E-07  6.3839674E-01
    o18     18  -2.8985016E-07  5.4952153E-07  8.3937169E-07  3.7104763E-07  5.6680551E-07 -1.8400441E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   7.1640619E-07  7.3810412E-07  2.1697931E-08  4.9838229E-07  1.4652037E-08  1.5316646E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
