# Initial mass = 3.000, Z =  0.0006, Y =  0.300, M_mix = 1.00E-03
# Final mass = 0.858, Mass expelled =   2.1420
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.3477855E-02  1.4145311E+00  1.4980090E+00  6.6037869E-01  6.9939989E-01 -2.4932504E-02
      d      2  -4.1845947E-06  6.3758269E-11  4.1846583E-06  2.9765766E-11  1.9537597E-06 -4.8171544E+00
    he3      3   4.5508114E-05  7.2125295E-05  2.6617181E-05  3.3671939E-05  1.2427197E-05  4.3289495E-01
    he4      4   6.5508008E-02  7.0806271E-01  6.4255470E-01  3.3056149E-01  2.9999998E-01  4.2131040E-02
    li7      7   8.0368530E-08  8.3311164E-08  2.9426346E-09  3.8894100E-08  1.3738758E-09  1.4519364E+00
    be7      7   1.2685527E-08  1.2685527E-08  0.0000000E+00  5.9222818E-09  0.0000000E+00  0.0000000E+00
     b8      8   2.5625149E-24  2.5625149E-24  0.0000000E+00  1.1963188E-24  0.0000000E+00  0.0000000E+00
    c12     12   1.1311797E-02  1.1531819E-02  2.2002099E-04  5.3836689E-03  1.0272479E-04  1.7194031E+00
    c13     13   1.8804513E-03  1.8831163E-03  2.6650080E-06  8.7913929E-04  1.2442558E-06  2.8491480E+00
    c14     14   4.4644946E-07  4.4644946E-07  0.0000000E+00  2.0842646E-07  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.8281140E-03  1.8931354E-03  6.5021391E-05  8.8381668E-04  3.0357596E-05  1.4640949E+00
    n15     15  -1.1749952E-07  3.8140044E-08  1.5563957E-07  1.7805810E-08  7.2665983E-08 -6.1076945E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
