# Initial mass = 3.000, Z =  0.0006, Y =  0.350, M_mix = 1.00E-03
# Final mass = 0.880, Mass expelled =   2.1200
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.0855067E-01  1.2680792E+00  1.3766298E+00  5.9815055E-01  6.4939988E-01 -3.5701696E-02
      d      2  -4.1416156E-06  6.0500917E-11  4.1416761E-06  2.8538168E-11  1.9537597E-06 -4.8354454E+00
    he3      3  -6.3351017E-06  2.0008685E-05  2.6343787E-05  9.4380584E-06  1.2427199E-05 -1.1949065E-01
    he4      4   9.3919039E-02  8.3586621E-01  7.4194717E-01  3.9427650E-01  3.4999996E-01  5.1732901E-02
    li7      7   2.2132593E-08  2.5045003E-08  2.9124096E-09  1.1813680E-08  1.3738758E-09  9.3443775E-01
    be7      7   2.2665928E-08  2.2665928E-08  0.0000000E+00  1.0691475E-08  0.0000000E+00  0.0000000E+00
     b8      8   3.1430116E-24  3.1430116E-24  0.0000000E+00  1.4825526E-24  0.0000000E+00  0.0000000E+00
    c12     12   5.1499438E-03  5.3677047E-03  2.1776106E-04  2.5319362E-03  1.0272479E-04  1.3917776E+00
    c13     13   1.1609785E-03  1.1636161E-03  2.6376347E-06  5.4887548E-04  1.2442558E-06  2.6445642E+00
    c14     14   1.3952665E-06  1.3952665E-06  0.0000000E+00  6.5814459E-07  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   5.7149106E-03  5.7792640E-03  6.4353524E-05  2.7260678E-03  3.0357596E-05  1.9532692E+00
    n15     15  -4.4933287E-08  1.0910766E-07  1.5404095E-07  5.1465875E-08  7.2665991E-08 -1.4981185E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   5.0711940E-04  1.0398696E-03  5.3275021E-04  4.9050455E-04  2.5131516E-04  2.9042435E-01
    o17     17   1.1700134E-06  1.3850560E-06  2.1504256E-07  6.5332824E-07  1.0144239E-07  8.0891198E-01
    o18     18  -1.1932358E-06  8.3065412E-09  1.2015423E-06  3.9181796E-09  5.6680557E-07 -2.1603501E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.3447143E-06  1.3757744E-06  3.1060111E-08  6.4895022E-07  1.4652039E-08  1.6463134E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.0550167E-05  1.3836738E-04  1.0781721E-04  6.5267632E-05  5.0860795E-05  1.0831474E-01
   ne21     21   1.6764550E-06  1.9478296E-06  2.7137457E-07  9.1878752E-07  1.2801598E-07  8.5595089E-01
   ne22     22   1.8560850E-03  1.8648056E-03  8.7204990E-06  8.7962527E-04  4.1137355E-06  2.3300614E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   4.5123211E-12  4.5123211E-12  0.0000000E+00  2.1284532E-12  0.0000000E+00  0.0000000E+00
   na23     23   2.7251564E-05  2.9735613E-05  2.4840474E-06  1.4026232E-05  1.1718038E-06  1.0780861E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.2864384E-05  6.4294290E-05  5.1429906E-05  3.0327496E-05  2.4261117E-05  9.6925758E-02
   mg25     25   6.7767738E-05  7.4549986E-05  6.7822448E-06  3.5165085E-05  3.1993995E-06  1.0410433E+00
   mg26     26   9.2443508E-05  1.0020958E-04  7.7660752E-06  4.7268670E-05  3.6635033E-06  1.1106769E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   3.4559594E-06  8.1852495E-06  4.7292901E-06  3.8609669E-06  2.2309557E-06  2.3820512E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   7.7357690E-06  6.4681699E-05  5.6945930E-05  3.0510235E-05  2.6863197E-05  5.5287872E-02
   si29     29   1.1431214E-06  4.1379676E-06  2.9948462E-06  1.9518716E-06  1.4127638E-06  1.4038166E-01
   si30     30   1.8761618E-06  3.9184920E-06  2.0423302E-06  1.8483453E-06  9.6343194E-07  2.8296205E-01
    p31     31   1.4453427E-06  1.9405734E-06  4.9523067E-07  9.1536481E-07  2.3361598E-07  5.9309167E-01
    p32     32   6.0624555E-31  6.0624555E-31  0.0000000E+00  2.8596489E-31  0.0000000E+00  0.0000000E+00
    p33     33   5.7132317E-32  5.7132317E-32  0.0000000E+00  2.6949204E-32  0.0000000E+00  0.0000000E+00
    s32     32   2.1721280E-07  2.7505943E-05  2.7288730E-05  1.2974501E-05  1.2872958E-05  3.4123084E-03
    s33     33   1.4047771E-08  2.3935047E-07  2.2530270E-07  1.1290116E-07  1.0628242E-07  2.6236933E-02
    s34     34   6.4373558E-07  1.9540566E-06  1.3103211E-06  9.2172479E-07  6.1811994E-07  1.7352851E-01
    s35     35   6.0270472E-25  6.0270472E-25  0.0000000E+00  2.8429467E-25  0.0000000E+00  0.0000000E+00
    s36     36   1.5580221E-07  1.6227033E-07  6.4681172E-09  7.6542605E-08  3.0512155E-09  1.3994305E+00
   cl35     35   1.2105488E-08  2.9204512E-07  2.7993963E-07  1.3775713E-07  1.3205639E-07  1.8354632E-02
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   3.3695343E-08  1.2827783E-07  9.4582489E-08  6.0508413E-08  4.4617554E-08  1.3230999E-01
   ar36     36  -1.0440363E-07  5.1084917E-06  5.2128953E-06  2.4096657E-06  2.4590877E-06 -8.8172108E-03
   ar37     37   4.6408095E-26  4.6408095E-26  0.0000000E+00  2.1890611E-26  0.0000000E+00  0.0000000E+00
   ar38     38   4.0982968E-08  1.0414346E-06  1.0004517E-06  4.9124276E-07  4.7194476E-07  1.7405028E-02
   ar39     39   2.0384729E-10  2.0384729E-10  0.0000000E+00  9.6154376E-11  0.0000000E+00  0.0000000E+00
   ar40     40   2.0250249E-08  2.1934596E-08  1.6843472E-09  1.0346508E-08  7.9455992E-10  1.1146672E+00
    k39     39   9.7195425E-09  2.8111549E-07  2.7139595E-07  1.3260164E-07  1.2802607E-07  1.5250457E-02
    k40     40  -4.3936813E-11  0.0000000E+00  4.3936813E-11  0.0000000E+00  2.0726386E-11  0.0000000E+00
    k41     41   2.6364297E-09  2.3226312E-08  2.0589882E-08  1.0955807E-08  9.7128989E-09  5.2295476E-02
   ca40     40  -8.6800810E-08  4.6121409E-06  4.6989417E-06  2.1755382E-06  2.2166396E-06 -8.1284093E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   4.0619241E-09  3.6991914E-08  3.2929989E-08  1.7449015E-08  1.5534118E-08  5.0484315E-02
   ca43     43   1.2329506E-09  8.2674489E-09  7.0344983E-09  3.8997401E-09  3.3183956E-09  7.0107549E-02
   ca44     44   4.3632014E-09  1.1558981E-07  1.1122661E-07  5.4523497E-08  5.2469115E-08  1.6679985E-02
