# Initial mass = 5.000, Z =  0.0006, Y =  0.350, M_mix = 0.00E+00
# Final mass = 1.025, Mass expelled =   3.9750
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.4379902E-01  2.1374023E+00  2.5812013E+00  5.3771132E-01  6.4939988E-01 -8.1963032E-02
      d      2  -7.7656796E-06  2.3784722E-11  7.7657032E-06  5.9835782E-12  1.9537597E-06 -5.5139103E+00
    he3      3  -4.9380516E-05  1.4475406E-08  4.9394992E-05  3.6416117E-09  1.2427199E-05 -3.5330796E+00
    he4      4   4.2208207E-01  1.8132440E+00  1.3911619E+00  4.5616204E-01  3.4999996E-01  1.1505117E-01
    li7      7  -5.4506160E-09  1.0195025E-11  5.4608109E-09  2.5647865E-12  1.3738758E-09 -2.7288964E+00
    be7      7   4.3703461E-11  4.3703461E-11  0.0000000E+00  1.0994582E-11  0.0000000E+00  0.0000000E+00
     b8      8   1.2402416E-27  1.2402416E-27  0.0000000E+00  3.1201047E-28  0.0000000E+00  0.0000000E+00
    c12     12   1.8137685E-03  2.2220737E-03  4.0830520E-04  5.5901229E-04  1.0272479E-04  7.3574615E-01
    c13     13   2.7371291E-04  2.7865852E-04  4.9456044E-06  7.0102775E-05  1.2442558E-06  1.7508255E+00
    c14     14   9.4041290E-09  9.4041290E-09  0.0000000E+00  2.3658187E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.9958720E-02  2.0079384E-02  1.2066381E-04  5.0514177E-03  3.0357596E-05  2.2211461E+00
    n15     15   5.0600738E-07  7.9483647E-07  2.8882906E-07  1.9995888E-07  7.2665991E-08  4.3960947E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -6.4253598E-04  3.5637862E-04  9.9891459E-04  8.9655005E-05  2.5131516E-04 -4.4764417E-01
    o17     17   1.0241026E-06  1.4273106E-06  4.0320799E-07  3.5907186E-07  1.0144239E-07  5.4896194E-01
    o18     18  -2.2523591E-06  5.5071708E-10  2.2529098E-06  1.3854519E-10  5.6680557E-07 -3.6118426E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19  -2.0232871E-08  3.8005297E-08  5.8238168E-08  9.5610817E-09  1.4652039E-08 -1.8539104E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.0704913E-05  2.1286379E-04  2.0215887E-04  5.3550641E-05  5.0860795E-05  2.2381552E-02
   ne21     21  -3.8598449E-07  1.2284688E-07  5.0883136E-07  3.0904879E-08  1.2801598E-07 -6.1723721E-01
   ne22     22   2.5173349E-04  2.6808455E-04  1.6351065E-05  6.7442656E-05  4.1137355E-06  1.2146983E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.1576425E-10  2.1576425E-10  0.0000000E+00  5.4280320E-11  0.0000000E+00  0.0000000E+00
   na23     23   1.6567606E-06  6.3143862E-06  4.6576256E-06  1.5885249E-06  1.1718038E-06  1.3213912E-01
   na24     24  -5.8229909E-35 -5.8229909E-35  0.0000000E+00 -1.4649034E-35  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -9.5307332E-05  1.1244966E-06  9.6431831E-05  2.8289224E-07  2.4261117E-05 -1.9332898E+00
   mg25     25   8.2703285E-05  9.5420095E-05  1.2716810E-05  2.4005056E-05  3.1993995E-06  8.7523425E-01
   mg26     26   5.6848250E-05  7.1409755E-05  1.4561506E-05  1.7964720E-05  3.6635033E-06  6.9052392E-01
