# Initial mass = 1.700, Z =  0.0006, Y =  0.240, M_mix = 2.00E-03
# Final mass = 0.662, Mass expelled =   1.0380  
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -6.9761276E-02  7.1801251E-01  7.8777379E-01  6.9172686E-01  7.5899678E-01 -4.0305309E-02
      d      2  -1.8475889E-06  1.7917027E-07  2.0267591E-06  1.7261104E-07  1.9527226E-06 -1.0535721E+00
    he3      3   1.9147937E-04  2.0437090E-04  1.2891523E-05  1.9688910E-04  1.2420602E-05  1.2000791E+00
    he4      4   5.5008471E-02  3.0397570E-01  2.4896723E-01  2.9284748E-01  2.3987257E-01  8.6660907E-02
    li7      7  -8.2756252E-10  5.9764621E-10  1.4252087E-09  5.7576705E-10  1.3731466E-09 -3.7747014E-01
    be7      7   4.8202539E-13  4.8202539E-13  0.0000000E+00  4.6437897E-13  0.0000000E+00  0.0000000E+00
     b8      8   1.2783349E-27  1.2783349E-27  0.0000000E+00  1.2315365E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.2991508E-02  1.3098071E-02  1.0656295E-04  1.2618565E-02  1.0267026E-04  2.0895655E+00
    c13     13   2.2220031E-06  3.5127487E-06  1.2907456E-06  3.3841507E-06  1.2435953E-06  4.3477064E-01
    c14     14   1.9183477E-09  1.9183477E-09  0.0000000E+00  1.8481190E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   8.1956969E-05  1.1344883E-04  3.1491865E-05  1.0929559E-04  3.0341484E-05  5.5656582E-01
    n15     15   2.7062256E-08  1.0244330E-07  7.5381045E-08  9.8692965E-08  7.2627415E-08  1.3318561E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   3.7174037E-04  1.0235034E-03  6.5176300E-04  9.8603405E-04  6.2795443E-04  1.9596377E-01
