# Initial mass = 1.700, Z =  0.0006, Y =  0.240, M_mix = 4.00E-03
# Final mass = 0.662, Mass expelled =   1.0380
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -6.9886088E-02  7.1788770E-01  7.8777379E-01  6.9160658E-01  7.5899678E-01 -4.0380843E-02
      d      2  -1.8975873E-06  1.2917191E-07  2.0267591E-06  1.2444306E-07  1.9527226E-06 -1.1956699E+00
    he3      3   1.9151923E-04  2.0441075E-04  1.2891523E-05  1.9692749E-04  1.2420602E-05  1.2001638E+00
    he4      4   5.4976672E-02  3.0394390E-01  2.4896723E-01  2.9281685E-01  2.3987257E-01  8.6615443E-02
    li7      7  -8.2775259E-10  5.9745614E-10  1.4252087E-09  5.7558391E-10  1.3731466E-09 -3.7760830E-01
    be7      7   4.8144046E-13  4.8144046E-13  0.0000000E+00  4.6381546E-13  0.0000000E+00  0.0000000E+00
     b8      8   1.1677052E-27  1.1677052E-27  0.0000000E+00  1.1249568E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.2542626E-02  1.2649189E-02  1.0656295E-04  1.2186116E-02  1.0267026E-04  2.0744207E+00
    c13     13   2.2032511E-06  3.4939967E-06  1.2907456E-06  3.3660851E-06  1.2435953E-06  4.3244606E-01
    c14     14   1.8874753E-09  1.8874753E-09  0.0000000E+00  1.8183768E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   8.1724240E-05  1.1321611E-04  3.1491865E-05  1.0907138E-04  3.0341484E-05  5.5567402E-01
    n15     15   4.8036846E-08  1.2341789E-07  7.5381045E-08  1.1889969E-07  7.2627415E-08  2.1408015E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   4.9537275E-04  1.1471357E-03  6.5176300E-04  1.1051403E-03  6.2795443E-04  2.4548930E-01
    o17     17   6.1043779E-06  6.2096105E-06  1.0523264E-07  5.9822833E-06  1.0138854E-07  1.7708781E+00
    o18     18  -1.9481263E-07  3.9317081E-07  5.8798344E-07  3.7877723E-07  5.6650470E-07 -1.7481969E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.6908924E-06  2.7060919E-06  1.5199491E-08  2.6070247E-06  1.4644261E-08  2.2504778E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.8422288E-05  1.5032513E-04  1.3190284E-04  1.4482188E-04  1.2708448E-04  5.6741644E-02
   ne21     21   1.0558902E-06  1.1886892E-06  1.3279912E-07  1.1451726E-06  1.2794803E-07  9.5183736E-01
   ne22     22   1.5138423E-03  1.5181097E-03  4.2674392E-06  1.4625334E-03  4.1115518E-06  2.5511003E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.5915026E-27  2.5915026E-27  0.0000000E+00  2.4966306E-27  0.0000000E+00  0.0000000E+00
   na23     23   2.0466588E-05  2.1682175E-05  1.2155866E-06  2.0888414E-05  1.1711818E-06  1.2512813E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   2.2299668E-05  8.6351967E-05  6.4052299E-05  8.3190716E-05  6.1712497E-05  1.2970173E-01
   mg25     25   5.7605666E-06  9.0795074E-06  3.3189406E-06  8.7471162E-06  3.1977013E-06  4.3702704E-01
   mg26     26   5.0922163E-06  8.8926017E-06  3.8003852E-06  8.5670526E-06  3.6615588E-06  3.6916542E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
