# Initial mass = 2.360, Z =  0.0006, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.693, Mass expelled =   1.6670
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.2756991E-01  1.1375878E+00  1.2651577E+00  6.8241626E-01  7.5899678E-01 -4.6190590E-02
      d      2  -3.2549165E-06  4.0624712E-11  3.2549572E-06  2.4369956E-11  1.9527226E-06 -4.9037862E+00
    he3      3   2.4433321E-04  2.6503688E-04  2.0703668E-05  1.5899035E-04  1.2420602E-05  1.1072282E+00
    he4      4   9.6077204E-02  4.9591634E-01  3.9983913E-01  2.9749033E-01  2.3987257E-01  9.3492247E-02
    li7      7  -2.2471067E-09  4.1765660E-11  2.2888724E-09  2.5054389E-11  1.3731466E-09 -1.7388332E+00
    be7      7   6.8157096E-14  6.8157096E-14  0.0000000E+00  4.0886084E-14  0.0000000E+00  0.0000000E+00
     b8      8   1.1885742E-28  1.1885742E-28  0.0000000E+00  7.1300202E-29  0.0000000E+00  0.0000000E+00
    c12     12   2.8539849E-02  2.8710989E-02  1.7113914E-04  1.7223151E-02  1.0267026E-04  2.2246680E+00
    c13     13   3.6372508E-06  5.7101765E-06  2.0729258E-06  3.4254213E-06  1.2435953E-06  4.4003493E-01
    c14     14   1.8159842E-08  1.8159842E-08  0.0000000E+00  1.0893728E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.1424686E-04  1.6482252E-04  5.0575654E-05  9.8873745E-05  3.0341484E-05  5.1304418E-01
    n15     15  -7.0157341E-08  5.0903953E-08  1.2106129E-07  3.0536267E-08  7.2627415E-08 -3.7628466E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   2.4242094E-04  1.2891465E-03  1.0467255E-03  7.7333330E-04  6.2795443E-04  9.0438545E-02
    o17     17   4.3341283E-06  4.5031311E-06  1.6900267E-07  2.7013386E-06  1.0138854E-07  1.4255903E+00
    o18     18  -3.9478539E-07  5.4951073E-07  9.4429612E-07  3.2964056E-07  5.6650470E-07 -2.3516291E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   6.3289272E-06  6.3533375E-06  2.4410248E-08  3.8112407E-06  1.4644261E-08  2.4153991E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   2.5849004E-05  2.3768378E-04  2.1183478E-04  1.4258178E-04  1.2708448E-04  4.9971487E-02
   ne21     21   1.8296275E-06  2.0429018E-06  2.1327418E-07  1.2254961E-06  1.2794803E-07  9.8127836E-01
   ne22     22   2.2478218E-03  2.2546751E-03  6.8534691E-06  1.3525347E-03  4.1115518E-06  2.5171428E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   5.9175625E-22  5.9175625E-22  0.0000000E+00  3.5498279E-22  0.0000000E+00  0.0000000E+00
   na23     23   1.8678145E-05  2.0630367E-05  1.9522213E-06  1.2375746E-05  1.1711818E-06  1.0239471E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.5665501E-06  1.0443397E-04  1.0286742E-04  6.2647858E-05  6.1712497E-05  6.5331049E-03
