# Initial mass = 2.360, Z =  0.0006, Y =  0.240, M_mix = 1.00E-04
# Final mass = 0.693, Mass expelled =   1.6670
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.2755513E-01  1.1376026E+00  1.2651577E+00  6.8242514E-01  7.5899678E-01 -4.6184920E-02
      d      2  -3.2549169E-06  4.0306532E-11  3.2549572E-06  2.4179086E-11  1.9527226E-06 -4.9072008E+00
    he3      3   2.4433580E-04  2.6503947E-04  2.0703668E-05  1.5899191E-04  1.2420602E-05  1.1072325E+00
    he4      4   9.6031189E-02  4.9587032E-01  3.9983913E-01  2.9746273E-01  2.3987257E-01  9.3451962E-02
    li7      7  -2.2468414E-09  4.2031073E-11  2.2888724E-09  2.5213604E-11  1.3731466E-09 -1.7360820E+00
    be7      7   6.8128452E-14  6.8128452E-14  0.0000000E+00  4.0868903E-14  0.0000000E+00  0.0000000E+00
     b8      8   1.2616124E-28  1.2616124E-28  0.0000000E+00  7.5681620E-29  0.0000000E+00  0.0000000E+00
    c12     12   2.8564833E-02  2.8735973E-02  1.7113914E-04  1.7238138E-02  1.0267026E-04  2.2250459E+00
    c13     13   3.6384836E-06  5.7114094E-06  2.0729258E-06  3.4261609E-06  1.2435953E-06  4.4012868E-01
    c14     14   1.7868526E-08  1.7868526E-08  0.0000000E+00  1.0718973E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.1428048E-04  1.6485613E-04  5.0575654E-05  9.8893914E-05  3.0341484E-05  5.1313275E-01
    n15     15  -7.0594012E-08  5.0467278E-08  1.2106129E-07  3.0274315E-08  7.2627415E-08 -3.8002628E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   2.4440489E-04  1.2911304E-03  1.0467255E-03  7.7452348E-04  6.2795443E-04  9.1106422E-02
    o17     17   4.3342402E-06  4.5032430E-06  1.6900267E-07  2.7014059E-06  1.0138854E-07  1.4256010E+00
    o18     18  -3.9499616E-07  5.4929995E-07  9.4429612E-07  3.2951411E-07  5.6650470E-07 -2.3532954E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   6.8154218E-06  6.8398322E-06  2.4410248E-08  4.1030794E-06  1.4644261E-08  2.4474425E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   2.5963702E-05  2.3779848E-04  2.1183478E-04  1.4265058E-04  1.2708448E-04  5.0180979E-02
   ne21     21   1.8332184E-06  2.0464927E-06  2.1327418E-07  1.2276503E-06  1.2794803E-07  9.8204106E-01
   ne22     22   2.2512944E-03  2.2581478E-03  6.8534691E-06  1.3546179E-03  4.1115518E-06  2.5178111E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   5.6629328E-22  5.6629328E-22  0.0000000E+00  3.3970807E-22  0.0000000E+00  0.0000000E+00
   na23     23   1.8511033E-05  2.0463254E-05  1.9522213E-06  1.2275499E-05  1.1711818E-06  1.0204148E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.7645070E-06  1.0463192E-04  1.0286742E-04  6.2766609E-05  6.1712497E-05  7.3555512E-03
   mg25     25   2.9520506E-05  3.4850695E-05  5.3301887E-06  2.0906238E-05  3.1977013E-06  8.1543803E-01
   mg26     26   1.1093771E-05  1.7197155E-05  6.1033843E-06  1.0316231E-05  3.6615588E-06  4.4985506E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   3.8810435E-06  7.5978082E-06  3.7167647E-06  4.5577740E-06  2.2297716E-06  3.1049243E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   4.0249870E-07  1.1235745E-04  1.1195495E-04  6.7400993E-05  6.7164321E-05  1.5276368E-03
   si29     29   3.7857740E-07  2.7322371E-06  2.3536597E-06  1.6390147E-06  1.4120138E-06  6.4743929E-02
   si30     30   3.0229205E-07  1.9073664E-06  1.6050743E-06  1.1441912E-06  9.6292047E-07  7.4908115E-02
    p31     31   4.7279656E-08  4.3648308E-07  3.8920342E-07  2.6183750E-07  2.3349197E-07  4.9759906E-02
    p32     32   1.8768699E-30  1.8768699E-30  0.0000000E+00  1.1258969E-30  0.0000000E+00  0.0000000E+00
    p33     33   9.0807529E-30  9.0807529E-30  0.0000000E+00  5.4473631E-30  0.0000000E+00  0.0000000E+00
    s32     32  -2.0602238E-07  2.1240283E-05  2.1446305E-05  1.2741623E-05  1.2866125E-05 -4.2230268E-03
    s33     33   1.4969743E-08  1.9203590E-07  1.7706616E-07  1.1519851E-07  1.0622601E-07  3.5216030E-02
    s34     34   7.1926365E-08  1.1017121E-06  1.0297857E-06  6.6089518E-07  6.1779178E-07  2.9290456E-02
    s35     35   4.2047124E-25  4.2047124E-25  0.0000000E+00  2.5223233E-25  0.0000000E+00  0.0000000E+00
    s36     36   5.7713541E-09  1.0854669E-08  5.0833151E-09  6.5115002E-09  3.0495961E-09  3.2943878E-01
   cl35     35  -5.4240274E-09  2.1458148E-07  2.2000550E-07  1.2872316E-07  1.3198628E-07 -1.0872068E-02
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   4.8251515E-08  1.2258421E-07  7.4332696E-08  7.3535830E-08  4.4593872E-08  2.1722382E-01
   ar36     36  -1.1404154E-07  3.9827901E-06  4.0968316E-06  2.3891964E-06  2.4577823E-06 -1.2291606E-02
   ar37     37   1.8708619E-24  1.8708619E-24  0.0000000E+00  1.1222929E-24  0.0000000E+00  0.0000000E+00
   ar38     38   5.5504984E-08  8.4176327E-07  7.8625828E-07  5.0495703E-07  4.7169422E-07  2.9593837E-02
   ar39     39   4.1750032E-12  4.1750032E-12  0.0000000E+00  2.5045014E-12  0.0000000E+00  0.0000000E+00
   ar40     40   2.8764553E-09  4.2001895E-09  1.3237342E-09  2.5196101E-09  7.9413814E-10  5.0143731E-01
    k39     39   4.8162008E-09  2.1810720E-07  2.1329100E-07  1.3083817E-07  1.2795810E-07  9.6666748E-03
    k40     40  -3.4530087E-11  0.0000000E+00  3.4530087E-11  0.0000000E+00  2.0715383E-11  0.0000000E+00
    k41     41   6.5107404E-09  2.2692397E-08  1.6181657E-08  1.3612717E-08  9.7077431E-09  1.4682655E-01
   ca40     40  -8.0980044E-08  3.6119343E-06  3.6929143E-06  2.1667274E-06  2.2154629E-06 -9.6602263E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   5.3795830E-09  3.1259372E-08  2.5879789E-08  1.8751875E-08  1.5525872E-08  8.1988655E-02
   ca43     43   1.2127965E-09  6.7412320E-09  5.5284355E-09  4.0439310E-09  3.3166341E-09  8.6106174E-02
   ca44     44   4.0062531E-10  8.7813987E-08  8.7413362E-08  5.2677862E-08  5.2441262E-08  1.9549539E-03
   ca45     45   1.7741677E-25  1.7741677E-25  0.0000000E+00  1.0642879E-25  0.0000000E+00  0.0000000E+00
   ca46     46   1.1710595E-09  1.3462981E-09  1.7523857E-10  8.0761742E-10  1.0512959E-10  8.8548070E-01
   ca47     47   2.1069502E-36  2.1069502E-36  0.0000000E+00  1.2639175E-36  0.0000000E+00  0.0000000E+00
   ca48     48  -2.8260949E-11  8.5203000E-09  8.5485610E-09  5.1111586E-09  5.1284754E-09 -1.4689475E-03
   sc45     45   1.2388448E-09  3.7049928E-09  2.4661480E-09  2.2225515E-09  1.4794981E-09  1.7673743E-01
   sc46     46   2.0378100E-26  2.0378100E-26  0.0000000E+00  1.2224417E-26  0.0000000E+00  0.0000000E+00
   sc47     47   5.7857410E-36  5.7857410E-36  0.0000000E+00  3.4707507E-36  0.0000000E+00  0.0000000E+00
   sc48     48  -5.1311739E-33  1.5502818E-30  1.5554130E-30  9.2998323E-31  9.3312754E-31  0.0000000E+00
   ti46     46  -4.2407589E-10  1.4642835E-08  1.5066911E-08  8.7839451E-09  9.0389820E-09 -1.2429886E-02
   ti47     47  -6.0605476E-10  1.3276860E-08  1.3882914E-08  7.9645242E-09  8.3286755E-09 -1.9416096E-02
   ti48     48  -7.5627469E-09  1.3292474E-07  1.4048749E-07  7.9738903E-08  8.4281623E-08 -2.4062630E-02
   ti49     49   4.9403326E-09  1.5464892E-08  1.0524559E-08  9.2770804E-09  6.3139218E-09  1.6711213E-01
   ti50     50   5.1618345E-09  1.5444698E-08  1.0282863E-08  9.2649666E-09  6.1689232E-09  1.7663451E-01
    v51     51  -1.2443255E-09  2.1417419E-08  2.2661744E-08  1.2847884E-08  1.3595295E-08 -2.4557019E-02
   cr52     52  -2.1642506E-08  9.0732777E-07  9.2897028E-07  5.4428790E-07  5.5731039E-07 -1.0268467E-02
   cr53     53  -1.5397603E-09  1.0582332E-07  1.0736308E-07  6.3481302E-08  6.4409548E-08 -6.3044555E-03
   cr54     54   2.0393625E-08  4.7622791E-08  2.7229166E-08  2.8567964E-08  1.6335393E-08  2.4274966E-01
   mn55     55   2.8281249E-08  8.3957150E-07  8.1129025E-07  5.0364224E-07  4.8671143E-07  1.4850589E-02
   fe54     54  -3.2402249E-07  5.0216272E-06  5.3456497E-06  3.0123742E-06  3.2069763E-06 -2.7186859E-02
   fe55     55   1.0192768E-20  1.0192768E-20  0.0000000E+00  6.1144383E-21  0.0000000E+00  0.0000000E+00
   fe56     56  -2.4552428E-06  8.4563617E-05  8.7018860E-05  5.0728031E-05  5.2204588E-05 -1.2460679E-02
   fe57     57   8.6118939E-07  2.9067423E-06  2.0455529E-06  1.7436969E-06  1.2271737E-06  1.5256499E-01
   fe58     58   1.3929448E-06  1.6699496E-06  2.7700480E-07  1.0017695E-06  1.6618148E-07  7.8018522E-01
   fe59     59   3.0931601E-25  3.0931601E-25  0.0000000E+00  1.8555252E-25  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   3.0655650E-07  5.2018430E-07  2.1362779E-07  3.1204820E-07  1.2816015E-07  3.8646871E-01
   co60     60   1.4175064E-13  1.4175064E-13  0.0000000E+00  8.5033387E-14  0.0000000E+00  0.0000000E+00
   ni58     58  -1.9205640E-07  2.8645127E-06  3.0565691E-06  1.7183642E-06  1.8337051E-06 -2.8214315E-02
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   1.5948262E-07  1.3774726E-06  1.2179900E-06  8.2631840E-07  7.3069981E-07  5.3408422E-02
   ni61     61   7.7865550E-08  1.3169469E-07  5.3829140E-08  7.9001026E-08  3.2293322E-08  3.8852000E-01
   ni62     62   1.6621274E-07  3.4065189E-07  1.7443915E-07  2.0435029E-07  1.0465001E-07  2.9063606E-01
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   3.2619745E-08  7.8476496E-08  4.5856751E-08  4.7076487E-08  2.7510506E-08  2.3330548E-01
   cu63     63   3.3574928E-08  7.1425220E-08  3.7850292E-08  4.2846569E-08  2.2707249E-08  2.7575153E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   6.2513834E-09  2.3657448E-08  1.7406064E-08  1.4191632E-08  1.0442293E-08  1.3323644E-01
   zn64     64  -3.5660221E-09  6.1282556E-08  6.4848578E-08  3.6762184E-08  3.8904133E-08 -2.4594439E-02
   zn65     65   1.4449420E-23  1.4449420E-23  0.0000000E+00  8.6679192E-24  0.0000000E+00  0.0000000E+00
   zn66     66   5.2474931E-09  4.3614577E-08  3.8367084E-08  2.6163516E-08  2.3017284E-08  5.5642001E-02
   zn67     67   1.3682535E-09  7.0917707E-09  5.7235172E-09  4.2542121E-09  3.4336680E-09  9.3060844E-02
   zn68     68   6.9087882E-09  3.3474315E-08  2.6565527E-08  2.0080575E-08  1.5937262E-08  1.0036245E-01
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70  -1.0713264E-11  8.9355628E-10  9.0426955E-10  5.3602661E-10  5.4249183E-10 -5.2068327E-03
   ga69     69   1.0455325E-09  3.4810348E-09  2.4355022E-09  2.0882034E-09  1.4611130E-09  1.5508898E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   7.9974627E-10  2.4629858E-09  1.6632395E-09  1.4774961E-09  9.9781505E-10  1.7047632E-01
   ge70     70   1.5295538E-09  4.2385371E-09  2.7089833E-09  2.5426141E-09  1.6251807E-09  1.9437885E-01
   ge71     71   1.1393129E-29  1.1393129E-29  0.0000000E+00  6.8345115E-30  0.0000000E+00  0.0000000E+00
   ge72     72   1.2704853E-09  4.9526681E-09  3.6821828E-09  2.9710070E-09  2.2090250E-09  1.2870304E-01
   ge73     73   3.7675163E-10  1.4246100E-09  1.0478584E-09  8.5459517E-10  6.2863403E-10  1.3336255E-01
   ge74     74   1.6032033E-09  6.5887980E-09  4.9855946E-09  3.9524886E-09  2.9909712E-09  1.2105837E-01
   as75     75   1.2337481E-10  8.5428076E-10  7.3090595E-10  5.1246601E-10  4.3848708E-10  6.7708269E-02
   se76     76   5.8014832E-10  1.3411089E-09  7.6096057E-10  8.0450452E-10  4.5651749E-10  2.4607107E-01
   se77     77   2.0045066E-10  8.2826146E-10  6.2781080E-10  4.9685756E-10  3.7663792E-10  1.2030788E-01
   se78     78   1.4217978E-09  3.4030327E-09  1.9812350E-09  2.0414117E-09  1.1885878E-09  2.3489937E-01
   se79     79   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   se80     80   1.5985036E-09  5.8395173E-09  4.2410138E-09  3.5030103E-09  2.5442803E-09  1.3887645E-01
   br79     79   2.9331426E-10  9.7149344E-10  6.7817918E-10  5.8277960E-10  4.0685505E-10  1.5606464E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   2.0572677E-10  8.8218260E-10  6.7645584E-10  5.2920379E-10  4.0582124E-10  1.1528820E-01
   kr80     80  -1.1456544E-11  1.5016910E-10  1.6162564E-10  9.0083455E-11  9.6962889E-11 -3.1960510E-02
   kr81     81   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr82     82   8.6831126E-10  1.6984186E-09  8.3010737E-10  1.0188476E-09  4.9800025E-10  3.1087968E-01
   kr83     83   2.5554381E-10  1.0879203E-09  8.3237650E-10  6.5262173E-10  4.9936155E-10  1.1624642E-01
   kr84     84   1.9702617E-09  6.1219434E-09  4.1516817E-09  3.6724319E-09  2.4906881E-09  1.6863444E-01
   kr-5     85   8.4690995E-18  8.4690995E-18  0.0000000E+00  5.0804441E-18  0.0000000E+00  0.0000000E+00
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   1.5650536E-09  2.8504659E-09  1.2854122E-09  1.7099377E-09  7.7114798E-10  3.4584257E-01
   rb85     85   6.3814243E-10  1.6120772E-09  9.7393482E-10  9.6705310E-10  5.8428562E-10  2.1882513E-01
   rb86     86   5.2063053E-28  5.2063053E-28  0.0000000E+00  3.1231590E-28  0.0000000E+00  0.0000000E+00
   rb87     87   6.3005706E-10  1.0403116E-09  4.1025455E-10  6.2406225E-10  2.4612101E-10  4.0407920E-01
   sr86     86   4.6214826E-10  7.7658113E-10  3.1443287E-10  4.6585558E-10  1.8863540E-10  3.9262810E-01
   sr87     87   2.6392638E-10  4.8622056E-10  2.2229417E-10  2.9167405E-10  1.3335932E-10  3.3987442E-01
   sr88     88   6.0066325E-09  8.7023961E-09  2.6957636E-09  5.2203943E-09  1.6172497E-09  5.0892627E-01
   sr89     89   8.7273342E-28  8.7273342E-28  0.0000000E+00  5.2353541E-28  0.0000000E+00  0.0000000E+00
   sr90     90   3.5806809E-16  3.5806809E-16  0.0000000E+00  2.1479792E-16  0.0000000E+00  0.0000000E+00
    y89     89   1.7514992E-09  2.4565108E-09  7.0501166E-10  1.4736119E-09  4.2295251E-10  5.4209149E-01
    y90     90   9.0552657E-20  9.0552657E-20  0.0000000E+00  5.4320738E-20  0.0000000E+00  0.0000000E+00
    y91     91  -7.0308697E-33 -7.0308697E-33  0.0000000E+00 -4.2176789E-33  0.0000000E+00  0.0000000E+00
   zr90     90   1.5904427E-09  2.3568143E-09  7.6637163E-10  1.4138060E-09  4.5976375E-10  4.8785508E-01
   zr91     91   5.1831972E-10  6.8730549E-10  1.6898576E-10  4.1230089E-10  1.0137838E-10  6.0926890E-01
   zr92     92   9.8138764E-10  1.2425196E-09  2.6113200E-10  7.4536283E-10  1.5665902E-10  6.7741233E-01
   zr93     93   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zr94     94   1.0188110E-09  1.2891966E-09  2.7038563E-10  7.7336343E-10  1.6221047E-10  6.7830479E-01
   zr95     95   3.4736280E-27  3.4736280E-27  0.0000000E+00  2.0837603E-27  0.0000000E+00  0.0000000E+00
   zr96     96   4.3410642E-10  4.7859411E-10  4.4487698E-11  2.8709909E-10  2.6689182E-11  1.0316966E+00
   nb93     93   2.9427122E-10  4.1103224E-10  1.1676102E-10  2.4657007E-10  7.0047586E-11  5.4654723E-01
   nb94     94   1.7857670E-17  1.7857670E-17  0.0000000E+00  1.0712460E-17  0.0000000E+00  0.0000000E+00
   nb95     95   3.7315070E-27  3.7315070E-27  0.0000000E+00  2.2384568E-27  0.0000000E+00  0.0000000E+00
   mo94     94  -2.4897515E-12  3.4104140E-11  3.6593891E-11  2.0458395E-11  2.1953507E-11 -3.0632345E-02
   mo95     95   1.3492960E-10  1.9894017E-10  6.4010582E-11  1.1934025E-10  3.8401400E-11  4.9243987E-01
   mo96     96   2.0453497E-10  2.7262279E-10  6.8087813E-11  1.6354099E-10  4.0847423E-11  6.0246199E-01
   mo97     97   6.5323615E-11  1.0493412E-10  3.9610502E-11  6.2947890E-11  2.3763240E-11  4.2307556E-01
   mo98     98   1.7403576E-10  2.7572539E-10  1.0168963E-10  1.6540218E-10  6.1005916E-11  4.3316928E-01
   tc99     99   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ru99     99   1.9392567E-11  5.4898162E-11  3.5505595E-11  3.2932317E-11  2.1300612E-11  1.8923023E-01
  ru100    100   8.1315468E-11  1.1672989E-10  3.5414418E-11  7.0023938E-11  2.1245913E-11  5.1797116E-01
  ru101    101   1.3890257E-11  6.2319795E-11  4.8429538E-11  3.7384405E-11  2.9053981E-11  1.0948479E-01
  ru102    102   1.1838289E-10  2.0883410E-10  9.0451216E-11  1.2527543E-10  5.4263736E-11  3.6335617E-01
  rh103    103   1.6325871E-11  7.4088381E-11  5.7762510E-11  4.4444146E-11  3.4653041E-11  1.0807320E-01
  pd104    104   7.1316723E-11  9.6593809E-11  2.5277084E-11  5.7944705E-11  1.5164297E-11  5.8219147E-01
  pd105    105   1.4261189E-11  6.5416207E-11  5.1155018E-11  3.9241881E-11  3.0689055E-11  1.0676628E-01
