# Initial mass = 2.360, Z =  0.0006, Y =  0.240, M_mix = 2.00E-03
# Final mass = 0.693, Mass expelled =   1.6670
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -9.3674183E-02  1.1714835E+00  1.2651577E+00  7.0274961E-01  7.5899678E-01 -3.3439334E-02
      d      2  -3.2545365E-06  4.2063142E-10  3.2549572E-06  2.5232841E-10  1.9527226E-06 -3.8886745E+00
    he3      3   2.5225224E-04  2.7295592E-04  2.0703668E-05  1.6374083E-04  1.2420602E-05  1.1200143E+00
    he4      4   1.0821930E-01  5.0805843E-01  3.9983913E-01  3.0477414E-01  2.3987257E-01  1.0399751E-01
    li7      7  -2.2422453E-09  4.6627199E-11  2.2888724E-09  2.7970728E-11  1.3731466E-09 -1.6910131E+00
    be7      7   9.9335714E-14  9.9335714E-14  0.0000000E+00  5.9589520E-14  0.0000000E+00  0.0000000E+00
     b8      8   1.1780675E-28  1.1780675E-28  0.0000000E+00  7.0669923E-29  0.0000000E+00  0.0000000E+00
    c12     12   2.7865935E-02  2.8037075E-02  1.7113914E-04  1.6818883E-02  1.0267026E-04  2.2143526E+00
    c13     13   3.7771829E-06  5.8501087E-06  2.0729258E-06  3.5093638E-06  1.2435953E-06  4.5054930E-01
    c14     14   2.0991349E-08  2.0991349E-08  0.0000000E+00  1.2592293E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.1834875E-04  1.6892441E-04  5.0575654E-05  1.0133439E-04  3.0341484E-05  5.2372003E-01
    n15     15  -6.7523274E-08  5.3538013E-08  1.2106129E-07  3.2116390E-08  7.2627415E-08 -3.5437387E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   5.3207378E-04  1.5787993E-03  1.0467255E-03  9.4709027E-04  6.2795443E-04  1.7846324E-01
    o17     17   4.4963895E-06  4.6653922E-06  1.6900267E-07  2.7986760E-06  1.0138854E-07  1.4409637E+00
    o18     18  -3.7776840E-07  5.6652772E-07  9.4429612E-07  3.3984870E-07  5.6650470E-07 -2.2191790E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   8.4304747E-06  8.4548847E-06  2.4410248E-08  5.0719168E-06  1.4644261E-08  2.5395048E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   5.2776377E-05  2.6461115E-04  2.1183478E-04  1.5873497E-04  1.2708448E-04  9.6580081E-02
   ne21     21   2.7890324E-06  3.0023066E-06  2.1327418E-07  1.8010239E-06  1.2794803E-07  1.1484859E+00
   ne22     22   3.0739172E-03  3.0807706E-03  6.8534691E-06  1.8480930E-03  4.1115518E-06  2.6527181E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.0834541E-21  1.0834541E-21  0.0000000E+00  6.4994258E-22  0.0000000E+00  0.0000000E+00
   na23     23   3.0149249E-05  3.2101470E-05  1.9522213E-06  1.9257033E-05  1.1711818E-06  1.2159650E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   2.4293156E-05  1.2716057E-04  1.0286742E-04  7.6281096E-05  6.1712497E-05  9.2043795E-02
   mg25     25   3.8994829E-05  4.4325017E-05  5.3301887E-06  2.6589696E-05  3.1977013E-06  9.1987550E-01
   mg26     26   2.0021618E-05  2.6125002E-05  6.1033843E-06  1.5671869E-05  3.6615588E-06  6.3145477E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   4.2186321E-06  7.9353968E-06  3.7167647E-06  4.7602866E-06  2.2297716E-06  3.2937276E-01
