# Initial mass = 3.000, Z =  0.0006, Y =  0.240, M_mix = 1.00E-03
# Final mass = 0.801, Mass expelled =   2.1990
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.2819507E-01  1.4416108E+00  1.6698059E+00  6.5557563E-01  7.5939989E-01 -6.3847750E-02
      d      2  -4.2959741E-06  4.8662619E-11  4.2960228E-06  2.2129432E-11  1.9537597E-06 -4.9459009E+00
    he3      3  -2.6930693E-05  3.9484328E-07  2.7325535E-05  1.7955584E-07  1.2427199E-05 -1.8401738E+00
    he4      4   1.9332707E-01  7.2105080E-01  5.2772373E-01  3.2789943E-01  2.3999996E-01  1.3552944E-01
    li7      7  -3.0184040E-09  2.5417377E-12  3.0209457E-09  1.1558608E-12  1.3738758E-09 -3.0750422E+00
    be7      7   7.5413755E-12  7.5413755E-12  0.0000000E+00  3.4294570E-12  0.0000000E+00  0.0000000E+00
     b8      8   4.3531362E-20  4.3531362E-20  0.0000000E+00  1.9795981E-20  0.0000000E+00  0.0000000E+00
    c12     12   2.7969953E-02  2.8195828E-02  2.2587631E-04  1.2822114E-02  1.0272479E-04  2.0962846E+00
    c13     13   1.4173930E-03  1.4201289E-03  2.7359310E-06  6.4580666E-04  1.2442558E-06  2.7151928E+00
    c14     14   4.0950916E-08  4.0950916E-08  0.0000000E+00  1.8622519E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   8.9703710E-04  9.6378889E-04  6.6751774E-05  4.3828509E-04  3.0357596E-05  1.1594894E+00
    n15     15  -1.4196806E-07  1.7813498E-08  1.5978155E-07  8.1007272E-09  7.2665983E-08 -9.5280719E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   3.0381657E-04  8.5642072E-04  5.5260415E-04  3.8945919E-04  2.5131516E-04  1.9024327E-01
    o17     17  -1.0365916E-07  1.1939734E-07  2.2305650E-07  5.4296201E-08  1.0144239E-07 -2.7145004E-01
    o18     18  -1.2271832E-06  1.9136714E-08  1.2463199E-06  8.7024619E-09  5.6680557E-07 -1.8137920E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   5.7868842E-06  5.8191017E-06  3.2217624E-08  2.6462492E-06  1.4652039E-08  2.2567329E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   7.6129312E-05  1.8796453E-04  1.1183522E-04  8.5477281E-05  5.0860795E-05  2.2546759E-01
   ne21     21   6.3516391E-06  6.6331268E-06  2.8148784E-07  3.0164288E-06  1.2801598E-07  1.3722290E+00
   ne22     22   3.7152483E-03  3.7242938E-03  9.0454841E-06  1.6936307E-03  4.1137355E-06  2.6145823E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
