# Initial mass = 4.000, Z =  0.0006, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.886, Mass expelled =   3.1140
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.0900695E-01  1.9556116E+00  2.3646185E+00  6.2800628E-01  7.5939989E-01 -8.2506560E-02
      d      2  -6.0835891E-06  2.5449889E-11  6.0836146E-06  8.1727325E-12  1.9537597E-06 -5.3785038E+00
    he3      3  -3.8643055E-05  5.2744330E-08  3.8695798E-05  1.6937806E-08  1.2427199E-05 -2.8655164E+00
    he4      4   3.3019364E-01  1.0775052E+00  7.4731159E-01  3.4601966E-01  2.3999996E-01  1.5888956E-01
    li7      7  -4.2713593E-09  6.6133609E-12  4.2779726E-09  2.1237510E-12  1.3738758E-09 -2.8108439E+00
    be7      7   7.0050160E-11  7.0050160E-11  0.0000000E+00  2.2495233E-11  0.0000000E+00  0.0000000E+00
     b8      8   2.1559658E-26  2.1559658E-26  0.0000000E+00  6.9234608E-27  0.0000000E+00  0.0000000E+00
    c12     12   2.9196579E-03  3.2395222E-03  3.1986431E-04  1.0403090E-03  1.0272479E-04  1.0054871E+00
    c13     13   6.4868061E-04  6.5255497E-04  3.8743624E-06  2.0955522E-04  1.2442558E-06  2.2263889E+00
    c14     14   2.4160306E-08  2.4160306E-08  0.0000000E+00  7.7586080E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   6.9381073E-02  6.9475599E-02  9.4527451E-05  2.2310724E-02  3.0357596E-05  2.8662465E+00
    n15     15   1.2366318E-06  1.4628990E-06  2.2626728E-07  4.6978130E-07  7.2665983E-08  8.1056458E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   4.4171186E-04  1.2242567E-03  7.8254484E-04  3.9314601E-04  2.5131516E-04  1.9433516E-01
    o17     17   2.7792389E-06  3.0951101E-06  3.1587120E-07  9.9393378E-07  1.0144239E-07  9.9113804E-01
    o18     18  -1.7643076E-06  6.1082722E-10  1.7649185E-06  1.9615518E-10  5.6680557E-07 -3.4608345E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.8265396E-07  3.2827745E-07  4.5623498E-08  1.0541986E-07  1.4652039E-08  8.5702437E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.0331857E-04  2.6168884E-04  1.5837027E-04  8.4036234E-05  5.0860795E-05  2.1808346E-01
   ne21     21   1.4684477E-07  5.4546081E-07  3.9861604E-07  1.7516403E-07  1.2801598E-07  1.3618074E-01
   ne22     22   4.0291427E-03  4.0419521E-03  1.2809344E-05  1.2979936E-03  4.1137355E-06  2.4990363E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   8.2286629E-11  8.2286629E-11  0.0000000E+00  2.6424736E-11  0.0000000E+00  0.0000000E+00
   na23     23   1.1230152E-04  1.1595029E-04  3.6487613E-06  3.7235157E-05  1.1718038E-06  1.5020984E+00
   na24     24   5.3330566E-36  5.3330566E-36  0.0000000E+00  1.7126064E-36  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.4381512E-06  7.6982382E-05  7.5544231E-05  2.4721381E-05  2.4261117E-05  8.1619630E-03
   mg25     25   4.1761523E-04  4.2757753E-04  9.9622866E-06  1.3730813E-04  3.1993995E-06  1.6326278E+00
   mg26     26   6.5978209E-04  6.7118951E-04  1.1407413E-05  2.1553933E-04  3.6635033E-06  1.7696300E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   6.9517613E-05  7.6464363E-05  6.9467478E-06  2.4555029E-05  2.2309557E-06  1.0416495E+00
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   3.0214833E-05  1.1386142E-04  8.3646592E-05  3.6564361E-05  2.6863196E-05  1.3390028E-01
   si29     29   5.5787327E-06  9.9777953E-06  4.3990626E-06  3.2041730E-06  1.4127638E-06  3.5564637E-01
   si30     30   9.2222108E-06  1.2222144E-05  2.9999330E-06  3.9249016E-06  9.6343194E-07  6.1000776E-01
    p31     31   2.8927261E-06  3.6201591E-06  7.2743308E-07  1.1625430E-06  2.3361595E-07  6.9690651E-01
    p32     32   1.0130685E-28  1.0130685E-28  0.0000000E+00  3.2532706E-29  0.0000000E+00  0.0000000E+00
    p33     33  -1.5874201E-29 -1.5874201E-29  0.0000000E+00 -5.0976879E-30  0.0000000E+00  0.0000000E+00
    s32     32  -1.5707337E-06  3.8513070E-05  4.0083803E-05  1.2367716E-05  1.2872958E-05 -1.7388860E-02
    s33     33   1.8943012E-08  3.4988508E-07  3.3094207E-07  1.1235873E-07  1.0628242E-07  2.4145335E-02
    s34     34   5.7409648E-07  2.4987976E-06  1.9247011E-06  8.0243979E-07  6.1811994E-07  1.1333966E-01
    s35     35  -1.7731793E-22 -1.7731793E-22  0.0000000E+00 -5.6942170E-23  0.0000000E+00  0.0000000E+00
    s36     36   8.7666365E-08  9.7167238E-08  9.5008712E-09  3.1203349E-08  3.0512155E-09  1.0097283E+00
   cl35     35  -1.0324072E-08  4.0087295E-07  4.1119702E-07  1.2873248E-07  1.3205639E-07 -1.1071286E-02
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   1.0966126E-07  2.4859133E-07  1.3893008E-07  7.9830222E-08  4.4617554E-08  2.5266159E-01
   ar36     36  -5.7831767E-07  7.0787864E-06  7.6571041E-06  2.2732133E-06  2.4590877E-06 -3.4133833E-02
   ar37     37   1.7383132E-23  1.7383132E-23  0.0000000E+00  5.5822515E-24  0.0000000E+00  0.0000000E+00
   ar38     38   1.9513141E-07  1.6646724E-06  1.4695410E-06  5.3457683E-07  4.7194470E-07  5.4119051E-02
   ar39     39   7.9970093E-11  7.9970093E-11  0.0000000E+00  2.5680826E-11  0.0000000E+00  0.0000000E+00
   ar40     40   1.2414777E-07  1.2662187E-07  2.4740998E-09  4.0662126E-08  7.9455992E-10  1.7090635E+00
    k39     39   6.0399373E-08  4.5904679E-07  3.9864742E-07  1.4741386E-07  1.2802606E-07  6.1239932E-02
    k40     40  -6.4537722E-11  0.0000000E+00  6.4537722E-11  0.0000000E+00  2.0726362E-11  0.0000000E+00
    k41     41   1.2950611E-08  4.3194625E-08  3.0244014E-08  1.3871106E-08  9.7128989E-09  1.5476221E-01
   ca40     40  -4.8734955E-07  6.4148203E-06  6.9021698E-06  2.0599937E-06  2.2166396E-06 -3.1829212E-02
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   1.7790459E-08  6.6160581E-08  4.8370122E-08  2.1246171E-08  1.5534118E-08  1.3599406E-01
   ca43     43   5.4775660E-09  1.5810382E-08  1.0332816E-08  5.0771938E-09  3.3183956E-09  1.8469563E-01
   ca44     44   1.8543830E-08  1.8192209E-07  1.6337826E-07  5.8420706E-08  5.2469112E-08  4.6663068E-02
   ca45     45  -2.4378980E-19 -2.4378980E-19  0.0000000E+00 -7.8288309E-20  0.0000000E+00  0.0000000E+00
   ca46     46   3.1514304E-08  3.1841829E-08  3.2752623E-10  1.0225378E-08  1.0518542E-10  1.9877241E+00
   ca47     47   3.0759811E-33  3.0759811E-33  0.0000000E+00  9.8779095E-34  0.0000000E+00  0.0000000E+00
   ca48     48   3.5402170E-09  1.9517739E-08  1.5977522E-08  6.2677383E-09  5.1311990E-09  8.6892009E-02
   sc45     45   9.7093373E-09  1.4318644E-08  4.6093063E-09  4.5981512E-09  1.4802839E-09  4.9223822E-01
   sc46     46   9.0115179E-27  9.0115179E-27  0.0000000E+00  2.8938721E-27  0.0000000E+00  0.0000000E+00
   sc47     47   8.4673200E-31  8.4673200E-31  0.0000000E+00  2.7191136E-31  0.0000000E+00  0.0000000E+00
   sc48     48   6.4417391E-31  3.5513020E-30  2.9071281E-30  1.1404309E-30  9.3362745E-31  0.0000000E+00
   ti46     46   6.6228445E-10  2.8822804E-08  2.8160519E-08  9.2558778E-09  9.0437826E-09  1.0067498E-02
   ti47     47   1.7683544E-09  2.7715950E-08  2.5947596E-08  8.9004333E-09  8.3330987E-09  2.8604588E-02
   ti48     48  -1.4977246E-08  2.4759817E-07  2.6257541E-07  7.9511288E-08  8.4326388E-08 -2.5534721E-02
   ti49     49   7.4843207E-09  2.7155044E-08  1.9670724E-08  8.7203089E-09  6.3172751E-09  1.4000209E-01
   ti50     50   2.4651376E-08  4.3870362E-08  1.9218986E-08  1.4088105E-08  6.1721988E-09  3.5841268E-01
    v51     51  -1.6263151E-09  4.0729176E-08  4.2355492E-08  1.3079375E-08  1.3602514E-08 -1.7032221E-02
   cr52     52  -1.2118221E-07  1.6150916E-06  1.7362738E-06  5.1865493E-07  5.5760631E-07 -3.1449195E-02
   cr53     53  -1.3279944E-08  1.8738493E-07  2.0066487E-07  6.0174990E-08  6.4443753E-08 -2.9764796E-02
   cr54     54   4.5458403E-08  9.6350547E-08  5.0892144E-08  3.0941088E-08  1.6344069E-08  2.7717537E-01
   mn55     55  -1.0906786E-07  1.4072585E-06  1.5163264E-06  4.5191345E-07  4.8696990E-07 -3.2446850E-02
   fe54     54  -8.4232579E-07  9.1488573E-06  9.9911831E-06  2.9379760E-06  3.2086796E-06 -3.8278129E-02
   fe55     55  -1.5813315E-15 -1.5813315E-15  0.0000000E+00 -5.0781356E-16  0.0000000E+00  0.0000000E+00
   fe56     56  -1.2664299E-05  1.4997661E-04  1.6264091E-04  4.8162045E-05  5.2232310E-05 -3.5234302E-02
   fe57     57   3.2369371E-08  3.8555709E-06  3.8232015E-06  1.2381408E-06  1.2278255E-06  3.6333860E-03
   fe58     58   1.9951583E-06  2.5128888E-06  5.1773048E-07  8.0696492E-07  1.6626973E-07  6.8604147E-01
   fe59     59  -3.1108564E-24 -3.1108564E-24  0.0000000E+00 -9.9899047E-25  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   9.1266986E-07  1.3119468E-06  3.9927690E-07  4.2130594E-07  1.2822822E-07  5.1661396E-01
   co60     60   3.5468492E-12  3.5468492E-12  0.0000000E+00  1.1390010E-12  0.0000000E+00  0.0000000E+00
   ni58     58  -4.8259653E-07  5.2302248E-06  5.7128213E-06  1.6795840E-06  1.8346790E-06 -3.8358402E-02
