# Initial mass = 2.250, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.685, Mass expelled =   1.5650
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.90226E-01 -1.01340E-01  1.08020E+00
 he   2  11.038473  0.108473  1.238682  2.99495E-01  7.71727E-02  4.68710E-01
  c   6   9.207153  0.737153  1.867362  1.32514E-02  2.04550E-02  2.07385E-02
  n   7   7.238560 -0.631440  0.498769  1.66125E-04  1.76948E-04  2.59986E-04
  o   8   7.814440 -0.915559  0.214650  7.14602E-04  4.40483E-04  1.11835E-03
  f   9   5.377654  0.917654  2.047863  3.10379E-06  4.81362E-06  4.85744E-06
 ne  10   8.015993  0.045993  1.176202  1.43366E-03  2.09307E-03  2.24367E-03
 na  11   6.006340 -0.303660  0.826549  1.59739E-05  2.12452E-05  2.49991E-05
 mg  12   6.672363 -0.967637  0.162572  7.82690E-05  3.76474E-05  1.22491E-04
 al  13   5.499687 -0.970313  0.159896  5.83838E-06  2.76906E-06  9.13707E-06
 si  14   6.429013 -1.120987  0.009222  5.16456E-05  1.13248E-06  8.08254E-05
  p  15   4.447124 -1.022876  0.107333  5.93816E-07  1.98306E-07  9.29322E-07
  s  16   6.030767 -1.129232  0.000977  2.35684E-05 -1.80051E-07  3.68846E-05
 cl  17   4.149967 -1.080033  0.050176  3.42887E-07  5.51365E-08  5.36619E-07
 ar  18   5.307709 -1.132291 -0.002082  5.55566E-06 -1.04063E-07  8.69460E-06
  k  19   3.966099 -1.113901  0.016308  2.47620E-07  1.21120E-08  3.87525E-07
 ca  20   5.156701 -1.133299 -0.003090  3.93675E-06 -8.81109E-08  6.16102E-06
 sc  21   2.068034 -0.981966  0.148243  3.60042E-09  1.60085E-09  5.63465E-09
 ti  22   3.797961 -1.112039  0.018170  2.05840E-07  1.09925E-08  3.22139E-07
  v  23   2.817831 -1.142169 -0.011960  2.29318E-08 -1.17271E-09  3.58882E-08
 cr  24   4.492355 -1.147645 -0.017436  1.10626E-06 -4.93549E-09  1.73129E-06
 mn  25   4.368037 -1.111963  0.018246  8.77891E-07  4.70963E-08  1.37390E-06
 fe  26   6.409791 -1.130209  0.000000  9.82441E-05 -1.09813E-06  1.53752E-04
 co  27   4.021783 -0.848217  0.281992  4.24300E-07  3.14660E-07  6.64029E-07
 ni  28   5.082168 -1.117832  0.012377  4.85608E-06  1.60715E-07  7.59976E-06
 cu  29   3.355119 -0.894881  0.235328  9.85685E-08  6.38913E-08  1.54260E-07
 zn  30   3.565426 -1.064574  0.065635  1.64663E-07  3.45605E-08  2.57697E-07
 ga  31   2.210252 -0.869748  0.260461  7.74747E-09  5.42124E-09  1.21248E-08
 ge  32   2.693191 -0.886809  0.243400  2.45413E-08  1.80025E-08  3.84071E-08
 as  33   1.353878 -0.946122  0.184087  1.15883E-09  6.18107E-10  1.81357E-09
 se  34   2.568081 -0.771919  0.358290  1.99995E-08  1.88136E-08  3.12992E-08
 br  35   1.754154 -0.785846  0.344363  3.10638E-09  2.64582E-09  4.86148E-09
 kr  36   2.728755 -0.521245  0.608964  3.07270E-08  3.62139E-08  4.80877E-08
 rb  37   1.978441 -0.381559  0.748650  5.56899E-09  7.14965E-09  8.71547E-09
 sr  38   2.854270 -0.025730  1.104479  4.28947E-08  6.18446E-08  6.71303E-08
  y  39   2.277221  0.107221  1.237430  1.15261E-08  1.69867E-08  1.80384E-08
 zr  40   2.677626  0.147626  1.277835  2.97348E-08  4.40631E-08  4.65350E-08
 nb  41   1.521325  0.111325  1.241534  2.11301E-09  3.11588E-09  3.30685E-09
 mo  42   1.933249 -0.006751  1.123458  5.63353E-09  8.31094E-09  8.81647E-09
 ru  44   1.559778 -0.200222  0.929987  2.51149E-09  3.58645E-09  3.93049E-09
 rh  45   0.553558 -0.506442  0.623767  2.52075E-10  3.00011E-10  3.94498E-10
 pd  46   1.594593 -0.055407  1.074802  2.86515E-09  4.15225E-09  4.48397E-09
 ag  47   0.829054 -0.370946  0.759263  4.98285E-10  6.43099E-10  7.79816E-10
 cd  48   1.798209  0.088209  1.218418  4.83671E-09  7.14871E-09  7.56945E-09
 in  49   0.679863 -0.080137  1.050072  3.76187E-10  5.38163E-10  5.88733E-10
 sn  50   2.267310  0.197310  1.327519  1.50428E-08  2.25760E-08  2.35420E-08
 sb  51   0.757632 -0.252368  0.877841  4.77165E-10  6.89759E-10  7.46763E-10
 te  52   1.861865 -0.318135  0.812074  6.35693E-09  9.42209E-09  9.94860E-09
