#
# Initial mass = 1.150, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  2.229E+01 1.712E+03 6.771E+02 6.395E+02 7.930E+00 7.151E+00 1.596E-06 1.969E+01 2.987E+01 1.448E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.430E+03 6.237E+02 1.529E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.225E+01 1.786E+03 6.049E+02 6.436E+02 7.954E+00 7.135E+00 3.229E-05 1.969E+01 2.987E+01 2.944E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.430E+03 6.237E+02 1.529E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.800E-31 3.852E-01 1.674E-02 5.339E-02
  2.223E+01 1.790E+03 6.031E+02 6.437E+02 7.955E+00 7.134E+00 2.930E-05 1.969E+01 2.987E+01 2.040E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.430E+03 6.237E+02 1.528E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.920E-31 3.852E-01 1.674E-02 5.339E-02
  2.224E+01 1.788E+03 6.060E+02 6.437E+02 7.955E+00 7.134E+00 2.359E-05 1.969E+01 2.987E+01 1.183E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.430E+03 6.237E+02 1.528E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.791E-31 3.852E-01 1.674E-02 5.339E-02
  2.221E+01 1.793E+03 6.063E+02 6.442E+02 7.955E+00 7.134E+00 7.190E-05 1.969E+01 2.987E+01 6.834E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.430E+03 6.237E+02 1.528E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.680E-31 3.852E-01 1.674E-02 5.339E-02
  9.774E+01 1.783E+03 6.375E+02 6.506E+02 7.983E+00 7.154E+00 1.176E-03 1.969E+01 2.987E+01 3.113E-05 3.211E-01 8.014E-03 4.519E-02 2.109E-04 3.426E+03 6.231E+02 9.883E-05 7.264E-02 6.679E-03 1.393E-03 2.152E-02 4.168E-05 1.929E-03 1.119E-01 1.009E-01 7.370E-02 7.033E-02 1.134E-01 2.831E-02 6.369E-02 2.315E-02 3.095E-03 1.370E-08 3.853E-01 1.683E-02 5.343E-02
  2.728E+02 1.347E+03 6.084E+02 5.871E+02 7.980E+00 7.144E+00 1.716E-03 1.966E+01 2.942E+01 1.239E-04 3.296E-01 8.041E-03 4.567E-02 2.858E-04 8.873E+02 1.623E+02 2.011E-04 7.375E-02 6.806E-03 1.424E-03 2.170E-02 2.186E-04 1.942E-03 1.126E-01 1.015E-01 7.555E-02 7.778E-02 1.134E-01 2.900E-02 6.365E-02 2.327E-02 3.374E-03 4.328E-04 3.879E-01 1.877E-02 5.829E-02
