#
# Initial mass = 1.000, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  2.263E+01 1.568E+03 6.134E+02 5.972E+02 8.017E+00 7.096E+00 1.617E-08 1.969E+01 2.987E+01 8.100E-20 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.711E-06 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.256E+01 1.649E+03 5.789E+02 6.009E+02 8.057E+00 7.072E+00 1.105E-06 1.969E+01 2.987E+01 5.674E-18 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.711E-06 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.253E+01 1.704E+03 5.592E+02 6.031E+02 8.086E+00 7.055E+00 1.011E-05 1.969E+01 2.987E+01 4.787E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.711E-06 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 2.227E-32 3.852E-01 1.674E-02 5.339E-02
  2.245E+01 1.710E+03 5.593E+02 6.037E+02 8.086E+00 7.055E+00 8.172E-06 1.969E+01 2.987E+01 2.650E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.710E-06 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 2.083E-32 3.852E-01 1.674E-02 5.339E-02
  2.243E+01 1.711E+03 5.620E+02 6.040E+02 8.085E+00 7.056E+00 8.933E-06 1.969E+01 2.987E+01 1.383E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.710E-06 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.922E-32 3.852E-01 1.674E-02 5.339E-02
  4.575E+01 1.739E+03 5.674E+02 5.967E+02 8.120E+00 7.079E+00 1.265E-03 1.969E+01 2.987E+01 1.973E-05 3.203E-01 8.010E-03 4.520E-02 2.111E-04 3.421E+03 6.222E+02 4.591E-05 7.232E-02 6.679E-03 1.393E-03 2.152E-02 4.165E-05 1.929E-03 1.119E-01 1.009E-01 7.357E-02 7.034E-02 1.134E-01 2.829E-02 6.369E-02 2.313E-02 3.097E-03 2.403E-07 3.853E-01 1.680E-02 5.344E-02
  2.952E+02 1.140E+03 5.195E+02 3.861E+02 8.123E+00 7.073E+00 2.168E-03 1.965E+01 2.917E+01 1.527E-04 3.329E-01 8.048E-03 4.595E-02 3.194E-04 6.720E+02 1.234E+02 1.836E-04 7.381E-02 6.862E-03 1.437E-03 2.178E-02 3.075E-04 1.953E-03 1.129E-01 1.017E-01 7.607E-02 8.018E-02 1.134E-01 2.935E-02 6.365E-02 2.328E-02 3.552E-03 8.040E-04 3.901E-01 2.005E-02 6.122E-02
