# Initial mass = 1.500, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.639, Mass expelled =   0.8610
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.4352174E-02  6.0045195E-01  6.4480412E-01  6.9738901E-01  7.4898839E-01 -3.0999972E-02
      d      2   4.7744782E-18  4.7744782E-18  0.0000000E+00  5.5452708E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.0816196E-04  2.0816196E-04  0.0000000E+00  2.4176766E-04  0.0000000E+00  0.0000000E+00
    he4      4   3.5656571E-02  2.5087821E-01  2.1522164E-01  2.9138002E-01  2.4999611E-01  6.6526555E-02
    li7      7  -3.7211045E-10  1.8746581E-10  5.5957627E-10  2.1773031E-10  6.4998984E-10 -4.7498775E-01
    be7      7   3.4105993E-18  3.4105993E-18  0.0000000E+00  3.9612067E-18  0.0000000E+00  0.0000000E+00
     b8      8   1.9574522E-22  1.9574522E-22  0.0000000E+00  2.2734636E-22  0.0000000E+00  0.0000000E+00
    c12     12   7.5737038E-03  7.7277706E-03  1.5406673E-04  8.9753428E-03  1.7896006E-04  1.7002950E+00
    c13     13   2.9605380E-06  4.8275242E-06  1.8669863E-06  5.6068802E-06  2.1686449E-06  4.1253287E-01
    c14     14   9.4999812E-09  9.4999812E-09  0.0000000E+00  1.1033659E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   9.1459005E-05  1.3701024E-04  4.5551231E-05  1.5912919E-04  5.2911178E-05  4.7820249E-01
    n15     15   4.1181018E-08  1.5337913E-07  1.1219812E-07  1.7814068E-07  1.3032654E-07  1.3573022E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   2.9171366E-04  6.6374458E-04  3.7203092E-04  7.7089958E-04  4.3214185E-04  2.5137147E-01
    o17     17   1.7167332E-06  1.8669100E-06  1.5017675E-07  2.1683043E-06  1.7444158E-07  1.0944703E+00
    o18     18  -1.9431911E-07  6.4275036E-07  8.3706948E-07  7.4651609E-07  9.7231907E-07 -1.1476967E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
