# Initial mass = 2.000, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.668, Mass expelled =   1.3320
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -7.8037918E-02  9.1953963E-01  9.9757755E-01  6.9034511E-01  7.4898839E-01 -3.5408814E-02
      d      2   8.3366654E-18  8.3366654E-18  0.0000000E+00  6.2587579E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.4822794E-04  2.4822794E-04  0.0000000E+00  1.8635731E-04  0.0000000E+00  0.0000000E+00
    he4      4   6.0511649E-02  3.9348143E-01  3.3296978E-01  2.9540649E-01  2.4999611E-01  7.2486818E-02
    li7      7  -6.4048628E-10  2.2523512E-10  8.6572138E-10  1.6909545E-10  6.4998984E-10 -5.8477473E-01
    be7      7   1.4787584E-17  1.4787584E-17  0.0000000E+00  1.1101790E-17  0.0000000E+00  0.0000000E+00
     b8      8   2.2551609E-28  2.2551609E-28  0.0000000E+00  1.6930638E-28  0.0000000E+00  0.0000000E+00
    c12     12   1.5181832E-02  1.5420189E-02  2.3835691E-04  1.1576719E-02  1.7896006E-04  1.8108294E+00
    c13     13   4.3766713E-06  7.2650892E-06  2.8884178E-06  5.4542716E-06  2.1686449E-06  4.0054834E-01
    c14     14   5.6635452E-09  5.6635452E-09  0.0000000E+00  4.2519108E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.5146202E-04  2.2193442E-04  7.0472393E-05  1.6661744E-04  5.2911178E-05  4.9817306E-01
    n15     15  -8.0530938E-08  9.3050957E-08  1.7358190E-07  6.9858082E-08  1.3032654E-07 -2.7081627E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   3.9920531E-04  9.7477500E-04  5.7556969E-04  7.3181308E-04  4.3214185E-04  2.2877385E-01
