# Initial mass = 1.150, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.642, Mass expelled =   0.5080
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.25194E-01 -1.41989E-02  3.68399E-01
 he   2  10.982237  0.052237  0.754082  2.76450E-01  1.33467E-02  1.40436E-01
  c   6   8.268750 -0.201250  0.500595  1.60444E-03  5.57426E-04  8.15055E-04
  n   7   7.480154 -0.389846  0.311999  3.04434E-04  7.91830E-05  1.54652E-04
  o   8   8.041586 -0.688414  0.013432  1.26670E-03  2.73969E-05  6.43483E-04
  f   9   4.124158 -0.335842  0.366003  1.81912E-07  5.25890E-08  9.24111E-08
 ne  10   7.353020 -0.616980  0.084866  3.27292E-04  2.93837E-05  1.66264E-04
 na  11   5.660268 -0.649732  0.052113  7.56485E-06  4.31215E-07  3.84295E-06
 mg  12   6.938820 -0.701180  0.000666  1.51883E-04  4.60277E-08  7.71567E-05
 al  13   5.780957 -0.689043  0.012803  1.17226E-05  1.67496E-07  5.95510E-06
 si  14   6.848731 -0.701269  0.000576  1.42631E-04  2.73430E-08  7.24568E-05
  p  15   4.777772 -0.692227  0.009618  1.33587E-06  1.42330E-08  6.78621E-07
  s  16   6.458309 -0.701691  0.000154  6.62727E-05 -1.98779E-08  3.36665E-05
 cl  17   4.532750 -0.697250  0.004595  8.69755E-07  4.23714E-09  4.41835E-07
 ar  18   5.738115 -0.701885 -0.000040  1.57255E-05 -8.17090E-09  7.98855E-06
  k  19   4.379304 -0.700696  0.001149  6.73678E-07  1.03236E-09  3.42228E-07
 ca  20   5.587981 -0.702019 -0.000174  1.11656E-05 -7.44694E-09  5.67211E-06
 sc  21   2.358142 -0.691858  0.009987  7.37775E-09  8.17464E-11  3.74790E-09
 ti  22   4.209923 -0.700077  0.001768  5.58410E-07  8.85109E-10  2.83672E-07
  v  23   3.256597 -0.703403 -0.001558  6.61708E-08 -6.83116E-11  3.36148E-08
 cr  24   4.919013 -0.720987 -0.019142  3.10439E-06 -9.52809E-10  1.57703E-06
 mn  25   4.778937 -0.701063  0.000782  2.37577E-06  1.01522E-09  1.20689E-06
 fe  26   6.838155 -0.701845  0.000000  2.76779E-04 -1.32743E-07  1.40604E-04
 co  27   4.194775 -0.675225  0.026620  6.63939E-07  1.97547E-08  3.37281E-07
 ni  28   5.500957 -0.699043  0.002802  1.33825E-05  3.72861E-08  6.79831E-06
 cu  29   3.606113 -0.643887  0.057959  1.84585E-07  1.16374E-08  9.37692E-08
 zn  30   3.945171 -0.684829  0.017016  4.14766E-07  7.90224E-09  2.10701E-07
 ga  31   2.439151 -0.640849  0.060996  1.37886E-08  9.12067E-10  7.00463E-09
 ge  32   2.899697 -0.680303  0.021543  4.14827E-08  2.52834E-09  2.10732E-08
 as  33   1.627888 -0.672112  0.029733  2.28819E-09  7.59004E-11  1.16240E-09
 se  34   2.664837 -0.675163  0.026682  2.62566E-08  1.99077E-09  1.33384E-08
 br  35   1.893441 -0.646559  0.055286  4.49784E-09  2.71181E-10  2.28490E-09
 kr  36   2.640576 -0.609424  0.092422  2.63514E-08  2.59496E-09  1.33865E-08
 rb  37   1.742102 -0.617898  0.083947  3.39547E-09  3.01788E-10  1.72490E-09
 sr  38   2.430540 -0.449460  0.252385  1.69878E-08  3.82591E-09  8.62982E-09
  y  39   1.759241 -0.410759  0.291086  3.67424E-09  9.10697E-10  1.86651E-09
 zr  40   2.145495 -0.384505  0.317341  9.17484E-09  2.41418E-09  4.66082E-09
 nb  41   0.986958 -0.423042  0.278803  6.48628E-10  1.55932E-10  3.29503E-10
 mo  42   1.415697 -0.524303  0.177542  1.79759E-09  4.53726E-10  9.13178E-10
 ru  44   1.186094 -0.573906  0.127939  1.11612E-09  2.54310E-10  5.66989E-10
 rh  45   0.449954 -0.610046  0.091799  2.08636E-10  2.01123E-11  1.05987E-10
 pd  46   1.161777 -0.488223  0.213622  1.11120E-09  2.63009E-10  5.64492E-10
 ag  47   0.619968 -0.580032  0.121814  3.23486E-10  4.00755E-11  1.64331E-10
 cd  48   1.290154 -0.419846  0.282000  1.57745E-09  4.18953E-10  8.01347E-10
 in  49   0.261914 -0.498086  0.203759  1.50980E-10  3.07365E-11  7.66978E-11
 sn  50   1.702274 -0.367726  0.334120  4.30285E-09  1.30788E-09  2.18585E-09
 sb  51   0.321733 -0.688267  0.013578  1.83752E-10  4.15379E-11  9.33458E-11
 te  52   1.359567 -0.820433 -0.118588  2.10093E-09  5.88753E-10  1.06727E-09
  i  53   0.893332 -0.656667  0.045178  7.14170E-10  3.55382E-11  3.62798E-10
 xe  54   1.686640 -0.553360  0.148485  4.59067E-09  8.09472E-10  2.33206E-09
 cs  55   0.539468 -0.540532  0.161313  3.31134E-10  5.20804E-11  1.68216E-10
 ba  56   2.251333  0.071333  0.773178  1.76232E-08  7.44498E-09  8.95256E-09
 la  57   1.267920  0.097921  0.799766  1.85198E-09  7.91610E-10  9.40805E-10
 ce  58   1.766096  0.186096  0.887941  5.88272E-09  2.60294E-09  2.98842E-09
 pr  59   0.747130 -0.012870  0.688976  5.66317E-10  2.28756E-10  2.87689E-10
 nd  60   1.544775  0.094775  0.796620  3.63794E-09  1.56913E-09  1.84807E-09
 sm  62   0.797419 -0.142581  0.559264  6.78493E-10  2.74067E-10  3.44674E-10
 eu  63   0.007131 -0.502869  0.198976  1.11139E-10  2.07176E-11  5.64586E-11
 gd  64   0.732756 -0.317244  0.384601  6.11421E-10  1.82364E-10  3.10602E-10
 tb  65  -0.142488 -0.462488  0.239358  8.23567E-11  1.77037E-11  4.18372E-11
 dy  66   0.852702 -0.277298  0.424547  8.32817E-10  2.63988E-10  4.23071E-10
 ho  67  -0.003848 -0.473848  0.227997  1.17611E-10  2.43689E-11  5.97461E-11
 er  68   0.658031 -0.261970  0.439876  5.47538E-10  1.78794E-10  2.78150E-10
 tm  69  -0.214693 -0.334693  0.367152  7.41343E-11  2.14742E-11  3.76602E-11
 yb  70   0.904553 -0.015447  0.686399  9.99295E-10  4.16746E-10  5.07642E-10
 lu  71   0.004431 -0.085569  0.616276  1.27169E-10  4.89567E-11  6.46018E-11
 hf  72   0.862559  0.152559  0.854405  9.35767E-10  4.08945E-10  4.75369E-10
 ta  73  -0.042855  0.077145  0.778990  1.17949E-10  4.99427E-11  5.99179E-11
  w  74   0.808617  0.158617  0.860462  8.51237E-10  3.72815E-10  4.32428E-10
 re  75  -0.023106 -0.283106  0.418740  1.27024E-10  3.99006E-11  6.45280E-11
 os  76   1.005792 -0.344208  0.357637  1.38696E-09  3.95108E-10  7.04578E-10
 ir  77   0.689980 -0.630020  0.071825  6.77276E-10  5.21670E-11  3.44056E-10
 pt  78   1.105900 -0.514100  0.187745  1.79103E-09  3.61194E-10  9.09842E-10
 au  79   0.317436 -0.482564  0.219281  2.94323E-10  5.91884E-11  1.49516E-10
 hg  80   1.291227  0.121227  0.823073  2.82183E-09  1.23299E-09  1.43349E-09
 tl  81   0.965812  0.195812  0.897657  1.35910E-09  6.02950E-10  6.90422E-10
 pb  82   2.857885  0.817885  1.519731  1.07466E-07  5.29413E-08  5.45925E-08
 bi  83   0.944419  0.294419  0.996264  1.32287E-09  6.04172E-10  6.72019E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.2334   0.2869   0.8203   0.5334   0.6994
