# Initial mass = 2.750, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.706, Mass expelled =   2.0440
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.94627E-01 -1.19610E-01  1.41982E+00
 he   2  11.027156  0.097156  0.783077  2.93652E-01  8.88630E-02  6.00224E-01
  c   6   9.196696  0.726696  1.412617  1.30187E-02  2.55736E-02  2.66102E-02
  n   7   7.632080 -0.237920  0.448001  4.13729E-04  5.42002E-04  8.45663E-04
  o   8   8.100706 -0.629293  0.056628  1.39024E-03  3.62760E-04  2.84166E-03
  f   9   5.409122  0.949122  1.635044  3.35832E-06  6.70418E-06  6.86441E-06
 ne  10   8.095918  0.125918  0.811839  1.73432E-03  2.99420E-03  3.54496E-03
 na  11   6.157161 -0.152839  0.533082  2.27505E-05  3.27746E-05  4.65021E-05
 mg  12   7.045170 -0.594830  0.091092  1.85848E-04  6.96087E-05  3.79873E-04
 al  13   5.935085 -0.534914  0.151007  1.60122E-05  9.44182E-06  3.27290E-05
 si  14   6.872388 -0.677612  0.008309  1.44268E-04  3.45454E-06  2.94883E-04
  p  15   4.867897 -0.602103  0.083818  1.57465E-06  5.45343E-07  3.21859E-06
  s  16   6.474664 -0.685336  0.000586  6.59154E-05 -8.10309E-07  1.34731E-04
 cl  17   4.592581 -0.637419  0.048502  9.56148E-07  1.93637E-07  1.95437E-06
 ar  18   5.752252 -0.687748 -0.001827  1.55610E-05 -3.69055E-07  3.18067E-05
  k  19   4.411385 -0.668615  0.017306  6.94754E-07  4.72339E-08  1.42008E-06
 ca  20   5.601180 -0.688820 -0.002899  1.10250E-05 -3.17403E-07  2.25350E-05
 sc  21   2.535657 -0.514343  0.171578  1.06350E-08  6.98665E-09  2.17379E-08
 ti  22   4.244910 -0.665090  0.020831  5.79746E-07  4.71711E-08  1.18500E-06
  v  23   3.263928 -0.696072 -0.010150  6.44608E-08 -3.77017E-09  1.31758E-07
 cr  24   4.936760 -0.703239 -0.017318  3.09758E-06 -1.77661E-08  6.33144E-06
 mn  25   4.809875 -0.670125  0.015797  2.44365E-06  1.42849E-07  4.99483E-06
 fe  26   6.854079 -0.685921  0.000000  2.75014E-04 -4.14235E-06  5.62128E-04
 co  27   4.482737 -0.387263  0.298658  1.23420E-06  1.24511E-06  2.52271E-06
 ni  28   5.528324 -0.671676  0.014245  1.36522E-05  7.01210E-07  2.79050E-05
 cu  29   3.815821 -0.434179  0.251742  2.86550E-07  2.55241E-07  5.85709E-07
 zn  30   4.024860 -0.605140  0.080781  4.77297E-07  1.59609E-07  9.75596E-07
 ga  31   2.719433 -0.360567  0.325354  2.51826E-08  2.69591E-08  5.14732E-08
 ge  32   3.215998 -0.364002  0.321919  8.23123E-08  9.36288E-08  1.68246E-07
 as  33   1.867642 -0.432358  0.253564  3.80666E-09  3.40914E-09  7.78080E-09
 se  34   3.127494 -0.212506  0.473415  7.29781E-08  1.03509E-07  1.49167E-07
 br  35   2.306410 -0.233590  0.452331  1.11499E-08  1.46879E-08  2.27903E-08
 kr  36   3.287939  0.037939  0.723860  1.12063E-07  1.85636E-07  2.29058E-07
 rb  37   2.593115  0.233115  0.919036  2.30786E-08  4.14467E-08  4.71727E-08
 sr  38   3.435243  0.555243  1.241164  1.64490E-07  3.16888E-07  3.36217E-07
  y  39   2.866820  0.696820  1.382741  4.50861E-08  8.83101E-08  9.21559E-08
 zr  40   3.277111  0.747111  1.433032  1.18990E-07  2.34176E-07  2.43216E-07
 nb  41   2.130909  0.720909  1.406830  8.65455E-09  1.69915E-08  1.76899E-08
 mo  42   2.551844  0.611844  1.297765  2.35578E-08  4.63035E-08  4.81522E-08
 ru  44   2.123597  0.363597  1.049518  9.25788E-09  1.76650E-08  1.89231E-08
