# Initial mass = 2.750, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.706, Mass expelled =   2.0440
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.94631E-01 -1.19603E-01  1.41983E+00
 he   2  11.026986  0.096986  0.784299  2.93539E-01  8.86324E-02  5.99993E-01
  c   6   9.175307  0.705307  1.392621  1.23931E-02  2.42949E-02  2.53315E-02
  n   7   7.631666 -0.238334  0.448979  4.13337E-04  5.41201E-04  8.44862E-04
  o   8   8.125870 -0.604130  0.083184  1.47318E-03  5.32290E-04  3.01119E-03
  f   9   5.458893  0.998893  1.686207  3.76613E-06  7.53773E-06  7.69796E-06
 ne  10   8.219149  0.249149  0.936462  2.30337E-03  4.15733E-03  4.70809E-03
 na  11   6.320582  0.010582  0.697896  3.31448E-05  5.40204E-05  6.77480E-05
 mg  12   7.087886 -0.552114  0.135200  2.05057E-04  1.08873E-04  4.19137E-04
 al  13   5.945827 -0.524172  0.163141  1.64133E-05  1.02616E-05  3.35487E-05
 si  14   6.873894 -0.676106  0.011208  1.44770E-04  4.48071E-06  2.95909E-04
  p  15   4.922878 -0.547122  0.140192  1.78718E-06  9.79755E-07  3.65300E-06
  s  16   6.474293 -0.685707  0.001606  6.58594E-05 -9.24731E-07  1.34617E-04
 cl  17   4.594549 -0.635451  0.051863  9.60497E-07  2.02526E-07  1.96326E-06
 ar  18   5.751585 -0.688415 -0.001101  1.55373E-05 -4.17644E-07  3.17582E-05
  k  19   4.413175 -0.666825  0.020489  6.97627E-07  5.31059E-08  1.42595E-06
 ca  20   5.600159 -0.689841 -0.002528  1.09991E-05 -3.70188E-07  2.24822E-05
 sc  21   2.568130 -0.481869  0.205444  1.14607E-08  8.67452E-09  2.34257E-08
 ti  22   4.255838 -0.654162  0.033152  5.94522E-07  7.73738E-08  1.21520E-06
  v  23   3.268761 -0.691239 -0.003926  6.51824E-08 -2.29504E-09  1.33233E-07
 cr  24   4.936182 -0.703818 -0.016504  3.09347E-06 -2.61566E-08  6.32305E-06
 mn  25   4.806127 -0.673873  0.013440  2.42266E-06  9.99407E-08  4.95192E-06
 fe  26   6.852686 -0.687314  0.000000  2.74135E-04 -5.93840E-06  5.60332E-04
 co  27   4.489826 -0.380174  0.307140  1.25452E-06  1.28664E-06  2.56425E-06
 ni  28   5.531570 -0.668430  0.018884  1.37547E-05  9.10713E-07  2.81145E-05
 cu  29   3.865655 -0.384345  0.302969  3.21394E-07  3.26461E-07  6.56929E-07
 zn  30   4.085522 -0.544478  0.142835  5.48850E-07  3.05862E-07  1.12185E-06
 ga  31   2.881069 -0.198931  0.488383  3.65375E-08  5.01686E-08  7.46828E-08
 ge  32   3.388456 -0.191544  0.495770  1.22441E-07  1.75651E-07  2.50268E-07
 as  33   2.015274 -0.284726  0.402588  5.34783E-09  6.55929E-09  1.09310E-08
 se  34   3.333214 -0.006786  0.680527  1.17196E-07  1.93891E-07  2.39549E-07
 br  35   2.501096 -0.038904  0.648409  1.74566E-08  2.75787E-08  3.56812E-08
 kr  36   3.748602  0.498602  1.185915  3.23690E-07  6.18202E-07  6.61623E-07
 rb  37   2.947159  0.587159  1.274472  5.21502E-08  1.00869E-07  1.06595E-07
 sr  38   3.671917  0.791917  1.479230  2.83671E-07  5.60494E-07  5.79824E-07
  y  39   3.106500  0.936500  1.623813  7.82932E-08  1.56185E-07  1.60031E-07
 zr  40   3.514791  0.984791  1.672104  2.05681E-07  4.11372E-07  4.20412E-07
 nb  41   2.372519  0.962519  1.649832  1.50958E-08  3.01575E-08  3.08559E-08
 mo  42   2.793446  0.853446  1.540759  4.10903E-08  8.21399E-08  8.39885E-08
 ru  44   2.340094  0.580094  1.267407  1.52409E-08  2.98942E-08  3.11523E-08
 rh  45   1.287498  0.227499  0.914812  1.37478E-09  2.46452E-09  2.81005E-09
 pd  46   2.386177  0.736177  1.423491  1.78441E-08  3.52603E-08  3.64733E-08
 ag  47   1.601572  0.401572  1.088886  2.97002E-09  5.57076E-09  6.07072E-09
 cd  48   2.622478  0.912478  1.599792  3.24774E-08  6.48452E-08  6.63838E-08
 in  49   1.500993  0.740993  1.428306  2.50782E-09  4.94106E-09  5.12599E-09
 sn  50   3.114091  1.044091  1.731405  1.06383E-07  2.13914E-07  2.17447E-07
 sb  51   1.600851  0.590851  1.278165  3.34696E-09  6.63273E-09  6.84119E-09
 te  52   2.713622  0.533622  1.220936  4.54744E-08  9.10243E-08  9.29497E-08
  i  53   1.589892  0.039892  0.727206  3.40143E-09  5.63576E-09  6.95253E-09
 xe  54   2.887732  0.647732  1.335045  6.98662E-08  1.36680E-07  1.42807E-07
 cs  55   1.654102  0.574102  1.261416  4.12988E-09  7.97420E-09  8.44149E-09
 ba  56   3.695014  1.515014  2.202327  4.68883E-07  9.52331E-07  9.58397E-07
