# Initial mass = 2.000, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.659, Mass expelled =   1.3410
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.06606E-01 -6.24086E-02  9.47559E-01
 he   2  11.007096  0.077096  0.769786  2.85232E-01  4.70099E-02  3.82497E-01
  c   6   9.061618  0.591618  1.284307  9.70318E-03  1.23319E-02  1.30120E-02
  n   7   7.602188 -0.267812  0.424878  3.92871E-04  3.27618E-04  5.26840E-04
  o   8   8.145969 -0.584030  0.108660  1.56957E-03  4.78468E-04  2.10479E-03
  f   9   5.112539  0.652539  1.345229  1.72569E-06  2.20903E-06  2.31416E-06
 ne  10   8.015235  0.045235  0.737925  1.46512E-03  1.60339E-03  1.96473E-03
 na  11   6.157635 -0.152365  0.540325  2.31681E-05  2.20623E-05  3.10685E-05
 mg  12   6.991935 -0.648065  0.044625  1.67243E-04  2.07188E-05  2.24273E-04
 al  13   5.828186 -0.641814  0.050876  1.27343E-05  1.79885E-06  1.70768E-05
 si  14   6.861178 -0.688822  0.003868  1.43016E-04  5.88057E-07  1.91785E-04
  p  15   4.860697 -0.609303  0.083387  1.57547E-06  3.58882E-07  2.11271E-06
  s  16   6.468551 -0.691449  0.001241  6.61148E-05 -2.64190E-07  8.86599E-05
 cl  17   4.571251 -0.658749  0.033941  9.26021E-07  8.66386E-08  1.24179E-06
 ar  18   5.746913 -0.693087 -0.000397  1.56360E-05 -1.41628E-07  2.09678E-05
  k  19   4.399309 -0.680691  0.011999  6.87355E-07  2.10657E-08  9.21743E-07
 ca  20   5.596477 -0.693523 -0.000834  1.10943E-05 -1.15261E-07  1.48774E-05
 sc  21   2.448750 -0.601249  0.091440  8.85635E-09  2.19860E-09  1.18764E-08
 ti  22   4.242069 -0.667931  0.024759  5.85899E-07  3.91983E-08  7.85690E-07
  v  23   3.265142 -0.694858 -0.002168  6.57560E-08 -7.36541E-10  8.81788E-08
 cr  24   4.929758 -0.710242 -0.017552  3.10059E-06 -7.61020E-09  4.15789E-06
 mn  25   4.802764 -0.677236  0.015454  2.44542E-06  9.60922E-08  3.27931E-06
 fe  26   6.847310 -0.692690  0.000000  2.75430E-04 -2.15921E-06  3.69352E-04
 co  27   4.302352 -0.567647  0.125042  8.28759E-07  2.73171E-07  1.11137E-06
 ni  28   5.515285 -0.684714  0.007976  1.34769E-05  2.24976E-07  1.80725E-05
 cu  29   3.723302 -0.526698  0.165992  2.35563E-07  9.90814E-08  3.15890E-07
 zn  30   4.026024 -0.603976  0.088714  4.86832E-07  1.17501E-07  6.52842E-07
 ga  31   2.725253 -0.354747  0.337943  2.59625E-08  1.87328E-08  3.48157E-08
 ge  32   3.220879 -0.359121  0.333569  8.46782E-08  6.45993E-08  1.13553E-07
 as  33   1.861815 -0.438184  0.254505  3.82069E-09  2.25545E-09  5.12355E-09
 se  34   3.120102 -0.219898  0.472792  7.29837E-08  6.79161E-08  9.78711E-08
 br  35   2.299309 -0.240691  0.451999  1.11582E-08  9.64740E-09  1.49632E-08
 kr  36   3.223558 -0.026442  0.666248  9.82899E-08  1.03320E-07  1.31807E-07
