# Initial mass = 3.750, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.858, Mass expelled =   2.8920
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.15401E-01 -1.09155E-01  2.06894E+00
 he   2  10.994699  0.064698  0.767307  2.80655E-01  8.81442E-02  8.11655E-01
  c   6   8.818648  0.348648  1.051257  5.61457E-03  1.47707E-02  1.62373E-02
  n   7   7.941250  0.071250  0.773859  8.68330E-04  2.08157E-03  2.51121E-03
  o   8   8.077454 -0.652546  0.050063  1.35717E-03  4.17625E-04  3.92495E-03
  f   9   4.815227  0.355227  1.057835  8.81096E-07  2.32143E-06  2.54813E-06
 ne  10   7.840003 -0.129997  0.572612  9.90863E-04  2.08633E-03  2.86558E-03
 na  11   6.058004 -0.251996  0.450613  1.86480E-05  3.45074E-05  5.39301E-05
 mg  12   7.148600 -0.491400  0.211209  2.42876E-04  2.63414E-04  7.02398E-04
 al  13   5.873274 -0.596726  0.105883  1.43033E-05  8.41692E-06  4.13652E-05
 si  14   6.876435 -0.673565  0.029043  1.49973E-04  2.13885E-05  4.33723E-04
  p  15   4.993607 -0.476393  0.226216  2.16618E-06  2.48228E-06  6.26458E-06
  s  16   6.462962 -0.697038  0.005571  6.60819E-05 -6.64790E-07  1.91109E-04
 cl  17   4.562105 -0.667895  0.034713  9.18009E-07  1.63673E-07  2.65488E-06
 ar  18   5.740100 -0.699900  0.002708  1.55842E-05 -4.55169E-07  4.50695E-05
  k  19   4.399978 -0.680022  0.022586  6.96982E-07  7.32721E-08  2.01567E-06
 ca  20   5.587768 -0.702232  0.000377  1.10094E-05 -4.94092E-07  3.18392E-05
 sc  21   2.535706 -0.514294  0.188314  1.09542E-08  1.08086E-08  3.16797E-08
 ti  22   4.223953 -0.686047  0.016562  5.68957E-07  3.55384E-08  1.64542E-06
  v  23   3.261173 -0.698827  0.003782  6.59688E-08 -9.73145E-10  1.90782E-07
 cr  24   4.921422 -0.718578 -0.015969  3.07951E-06 -7.73916E-08  8.90593E-06
 mn  25   4.775307 -0.704693 -0.002084  2.32418E-06 -1.43417E-07  6.72152E-06
