# Initial mass = 4.000, Z =  0.0028, Y =  0.250, M_mix = 1.00E-04
# Final mass = 0.867, Mass expelled =   3.1330
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.04976E-01 -1.50915E-01  2.20869E+00
 he   2  11.018264  0.088264  0.780544  2.91987E-01  1.30991E-01  9.14795E-01
  c   6   8.831465  0.361465  1.053745  5.69846E-03  1.62644E-02  1.78533E-02
  n   7   7.835148 -0.034852  0.657428  6.70204E-04  1.63430E-03  2.09975E-03
  o   8   8.039518 -0.690481  0.001799  1.22553E-03  3.99915E-05  3.83959E-03
  f   9   4.585485  0.125485  0.817766  5.11573E-07  1.35716E-06  1.60276E-06
 ne  10   7.479532 -0.490468  0.201813  4.25762E-04  4.89725E-04  1.33391E-03
 na  11   5.900323 -0.409677  0.282603  1.27813E-05  1.90026E-05  4.00439E-05
 mg  12   7.006871 -0.633129  0.059152  1.72695E-04  6.54880E-05  5.41055E-04
 al  13   5.855301 -0.614699  0.077581  1.35235E-05  6.67511E-06  4.23691E-05
 si  14   6.872375 -0.677625  0.014655  1.46413E-04  1.20151E-05  4.58711E-04
  p  15   4.829335 -0.640665  0.051616  1.46233E-06  4.83991E-07  4.58149E-06
  s  16   6.468739 -0.691261  0.001019  6.59908E-05 -1.00568E-06  2.06749E-04
 cl  17   4.561052 -0.668948  0.023332  9.02440E-07  1.28537E-07  2.82735E-06
 ar  18   5.748168 -0.691833  0.000448  1.56450E-05 -3.02502E-07  4.90159E-05
  k  19   4.399732 -0.680268  0.012012  6.86436E-07  4.63378E-08  2.15060E-06
 ca  20   5.596934 -0.693066 -0.000785  1.10804E-05 -3.12913E-07  3.47148E-05
 sc  21   2.466475 -0.583525  0.108755  9.20399E-09  6.22578E-09  2.88361E-08
 ti  22   4.222403 -0.687597  0.004683  5.58667E-07  6.26153E-09  1.75030E-06
  v  23   3.264271 -0.695729 -0.003449  6.54727E-08 -2.60842E-09  2.05126E-07
 cr  24   4.929816 -0.710184 -0.017904  3.09385E-06 -3.88900E-08  9.69304E-06
 mn  25   4.787734 -0.692266  0.000014  2.35679E-06 -5.31995E-08  7.38381E-06
 fe  26   6.847720 -0.692280  0.000000  2.75054E-04 -6.22339E-06  8.61744E-04
 co  27   4.457309 -0.412691  0.279590  1.18136E-06  1.74291E-06  3.70119E-06
 ni  28   5.547747 -0.652253  0.040027  1.44893E-05  3.69747E-06  4.53949E-05
 cu  29   3.889889 -0.360111  0.332169  3.44899E-07  5.74034E-07  1.08057E-06
 zn  30   4.007788 -0.622212  0.070068  4.65736E-07  2.08424E-07  1.45915E-06
 ga  31   2.632100 -0.447900  0.244380  2.09021E-08  2.79115E-08  6.54862E-08
 ge  32   3.072287 -0.507713  0.184567  6.00034E-08  7.36184E-08  1.87991E-07
 as  33   1.733898 -0.566102  0.126179  2.83937E-09  2.19495E-09  8.89575E-09
 se  34   2.844083 -0.495917  0.196363  3.85659E-08  5.08429E-08  1.20827E-07
 br  35   2.041672 -0.498328  0.193952  6.15112E-09  6.85217E-09  1.92715E-08
 kr  36   2.915356 -0.334644  0.357636  4.82284E-08  8.45445E-08  1.51100E-07
 rb  37   2.145175 -0.214825  0.477455  8.35011E-09  1.73841E-08  2.61609E-08
 sr  38   2.565852 -0.314148  0.378132  2.25512E-08  4.10257E-08  7.06529E-08
  y  39   1.936848 -0.233152  0.459128  5.37642E-09  1.09495E-08  1.68443E-08
 zr  40   2.351882 -0.178118  0.514162  1.43451E-08  3.10876E-08  4.49433E-08
 nb  41   1.184122 -0.225878  0.466402  9.92841E-10  2.04010E-09  3.11057E-09
 mo  42   1.685293 -0.254707  0.437573  3.25092E-09  7.35156E-09  1.01851E-08
 ru  44   1.305593 -0.454406  0.237874  1.42866E-09  2.54760E-09  4.47599E-09
 rh  45   0.492414 -0.567585  0.124695  2.23650E-10  1.71079E-10  7.00696E-10
 pd  46   1.229903 -0.420097  0.272184  1.26369E-09  2.09979E-09  3.95913E-09
 ag  47   0.652049 -0.547951  0.144329  3.38576E-10  2.94435E-10  1.06076E-09
 cd  48   1.348419 -0.361581  0.330699  1.75365E-09  3.13583E-09  5.49417E-09
 in  49   0.307527 -0.452473  0.239807  1.63024E-10  2.27295E-10  5.10753E-10
 sn  50   1.794829 -0.275171  0.417110  5.17644E-09  1.08031E-08  1.62178E-08
 sb  51   0.401783 -0.608217  0.084063  2.14784E-10  3.53402E-10  6.72918E-10
 te  52   1.457868 -0.722132 -0.029852  2.56113E-09  5.07284E-09  8.02403E-09
  i  53   0.917123 -0.632877  0.059403  7.33352E-10  2.79273E-10  2.29759E-09
 xe  54   1.819195 -0.420805  0.271475  6.05551E-09  9.58160E-09  1.89719E-08
 cs  55   0.601117 -0.478883  0.213397  3.70999E-10  4.46094E-10  1.16234E-09
 ba  56   2.339947  0.159947  0.852227  2.10095E-08  5.65252E-08  6.58229E-08
 la  57   1.311365  0.141365  0.833645  1.98975E-09  5.31377E-09  6.23390E-09
 ce  58   1.850796  0.270796  0.963076  6.95020E-09  1.93976E-08  2.17750E-08
 pr  59   0.839655  0.079655  0.771935  6.81246E-10  1.77088E-09  2.13434E-09
 nd  60   1.539062  0.089061  0.781342  3.49030E-09  9.21480E-09  1.09351E-08
 sm  62   0.812692 -0.127308  0.564972  6.83184E-10  1.70496E-09  2.14042E-09
 eu  63   0.037299 -0.472701  0.219579  1.15812E-10  1.42413E-10  3.62839E-10
 gd  64   0.791280 -0.258720  0.433560  6.80118E-10  1.33993E-09  2.13081E-09
 tb  65  -0.104999 -0.424999  0.267282  8.72786E-11  1.24605E-10  2.73444E-10
 dy  66   0.898514 -0.231486  0.460794  8.99665E-10  1.83754E-09  2.81865E-09
 ho  67   0.028687 -0.441313  0.250968  1.23226E-10  1.67883E-10  3.86066E-10
 er  68   0.734276 -0.185724  0.506556  6.34424E-10  1.37489E-09  1.98765E-09
 tm  69  -0.169777 -0.289777  0.402503  7.99198E-11  1.50564E-10  2.50389E-10
 yb  70   0.993183  0.073183  0.765463  1.19136E-09  3.17195E-09  3.73253E-09
 lu  71   0.073099 -0.016901  0.675379  1.44800E-10  3.57170E-10  4.53659E-10
 hf  72   0.966601  0.256601  0.948882  1.15592E-09  3.21185E-09  3.62151E-09
 ta  73   0.030984  0.150984  0.843264  1.35910E-10  3.64286E-10  4.25806E-10
  w  74   0.902000  0.252000  0.944281  1.02602E-09  2.84685E-09  3.21451E-09
 re  75   0.096146 -0.163854  0.528426  1.62501E-10  3.57230E-10  5.09115E-10
 os  76   1.052837 -0.297163  0.395118  1.50255E-09  2.79890E-09  4.70750E-09
 ir  77   0.708139 -0.611861  0.080420  6.86507E-10  3.50654E-10  2.15083E-09
 pt  78   1.133660 -0.486340  0.205941  1.85602E-09  2.43122E-09  5.81491E-09
 au  79   0.346974 -0.453026  0.239255  3.06254E-10  4.02415E-10  9.59494E-10
 hg  80   1.333895  0.163895  0.856175  3.02635E-09  8.24498E-09  9.48154E-09
 tl  81   1.147189  0.377189  1.069469  2.00608E-09  5.74557E-09  6.28504E-09
 pb  82   3.027391  0.987391  1.679672  1.54346E-07  4.73381E-07  4.83565E-07
 bi  83   1.481435  0.831435  1.523715  4.42847E-09  1.34560E-08  1.38744E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.0367   0.4505   0.8830   0.4325   0.7967
