# Initial mass = 4.000, Z =  0.0028, Y =  0.250, M_mix = 5.00E-04
# Final mass = 0.867, Mass expelled =   3.1330
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.04954E-01 -1.50981E-01  2.20862E+00
 he   2  11.018202  0.088202  0.782525  2.91936E-01  1.30832E-01  9.14635E-01
  c   6   8.809126  0.339126  1.033449  5.41260E-03  1.53688E-02  1.69577E-02
  n   7   7.825239 -0.044761  0.649562  6.55065E-04  1.58687E-03  2.05232E-03
  o   8   8.055678 -0.674321  0.020002  1.27196E-03  1.85438E-04  3.98504E-03
  f   9   4.668303  0.208302  0.902626  6.19029E-07  1.69382E-06  1.93942E-06
 ne  10   7.687274 -0.282726  0.411597  6.86903E-04  1.30788E-03  2.15207E-03
 na  11   5.991695 -0.318305  0.376019  1.57737E-05  2.83779E-05  4.94191E-05
 mg  12   7.076773 -0.563227  0.131097  2.02847E-04  1.59954E-04  6.35520E-04
 al  13   5.856874 -0.613126  0.081197  1.35721E-05  6.82750E-06  4.25215E-05
 si  14   6.876265 -0.673736  0.020588  1.47725E-04  1.61281E-05  4.62824E-04
  p  15   4.903386 -0.566614  0.127710  1.73414E-06  1.33556E-06  5.43306E-06
  s  16   6.468235 -0.691765  0.002559  6.59124E-05 -1.25146E-06  2.06503E-04
 cl  17   4.562395 -0.667605  0.026719  9.05209E-07  1.37212E-07  2.83602E-06
 ar  18   5.747345 -0.692655  0.001669  1.56150E-05 -3.96692E-07  4.89217E-05
  k  19   4.402979 -0.677021  0.017303  6.91567E-07  6.24118E-08  2.16668E-06
 ca  20   5.595538 -0.694462 -0.000139  1.10445E-05 -4.25403E-07  3.46023E-05
 sc  21   2.503633 -0.546367  0.147956  1.00258E-08  8.80064E-09  3.14110E-08
 ti  22   4.227053 -0.682947  0.011377  5.64664E-07  2.50524E-08  1.76909E-06
  v  23   3.266846 -0.693154  0.001169  6.58600E-08 -1.39492E-09  2.06339E-07
 cr  24   4.928808 -0.711192 -0.016869  3.08659E-06 -6.16565E-08  9.67028E-06
 mn  25   4.783825 -0.696175 -0.001851  2.33560E-06 -1.19573E-07  7.31744E-06
 fe  26   6.845676 -0.694324  0.000000  2.73755E-04 -1.02941E-05  8.57673E-04
 co  27   4.475763 -0.394237  0.300087  1.23260E-06  1.90345E-06  3.86174E-06
 ni  28   5.569058 -0.630942  0.063382  1.52175E-05  5.97915E-06  4.76766E-05
 cu  29   4.014713 -0.235287  0.459037  4.59729E-07  9.33799E-07  1.44033E-06
 zn  30   4.072080 -0.557920  0.136403  5.40030E-07  4.41188E-07  1.69192E-06
 ga  31   2.820100 -0.259900  0.434423  3.22238E-08  6.33824E-08  1.00957E-07
 ge  32   3.267238 -0.312762  0.381561  9.39970E-08  1.80120E-07  2.94493E-07
 as  33   1.884060 -0.415940  0.278383  4.01208E-09  5.86906E-09  1.25699E-08
 se  34   3.106965 -0.233035  0.461289  7.06436E-08  1.51342E-07  2.21326E-07
 br  35   2.282289 -0.257711  0.436612  1.07043E-08  2.11172E-08  3.35365E-08
 kr  36   3.477253  0.227253  0.921576  1.75869E-07  4.84441E-07  5.50996E-07
 rb  37   2.733568  0.373568  1.067892  3.23647E-08  9.26219E-08  1.01399E-07
 sr  38   3.109226  0.229226  0.923550  7.88007E-08  2.17255E-07  2.46883E-07
  y  39   2.531135  0.361135  1.055458  2.11235E-08  6.02852E-08  6.61800E-08
 zr  40   2.972313  0.442313  1.136636  5.98581E-08  1.73680E-07  1.87535E-07
 nb  41   1.761125  0.351125  1.045448  3.74860E-09  1.06739E-08  1.17444E-08
 mo  42   2.315514  0.375514  1.069837  1.38744E-08  4.06349E-08  4.34685E-08
 ru  44   1.911768  0.151768  0.846092  5.76887E-09  1.61455E-08  1.80739E-08
 rh  45   0.864012 -0.195988  0.498335  5.26203E-10  1.11898E-09  1.64859E-09
