# Initial mass = 5.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.914, Mass expelled =   4.0860
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  6.72761E-01 -3.28449E-01  2.74890E+00
 he   2  11.085146  0.155146  0.826284  3.25036E-01  3.05876E-01  1.32810E+00
  c   6   7.978707 -0.491293  0.179845  7.63284E-04  1.04659E-03  3.11878E-03
  n   7   8.721766  0.851766  1.522904  4.92619E-03  1.95214E-02  2.01284E-02
  o   8   7.937415 -0.792584 -0.121446  9.24503E-04 -1.17785E-03  3.77752E-03
  f   9   3.706483 -0.753517 -0.082379  6.45047E-08 -5.67351E-08  2.63566E-07
 ne  10   7.420859 -0.549140  0.121998  3.54961E-04  3.49398E-04  1.45037E-03
 na  11   5.991353 -0.318647  0.352491  1.50415E-05  3.40182E-05  6.14598E-05
 mg  12   7.005051 -0.634949  0.036190  1.64115E-04  5.03475E-05  6.70573E-04
 al  13   5.894785 -0.575214  0.095924  1.41338E-05  1.11994E-05  5.77509E-05
 si  14   6.892396 -0.657604  0.013534  1.46314E-04  1.52672E-05  5.97839E-04
  p  15   4.834106 -0.635894  0.035244  1.41092E-06  4.21152E-07  5.76503E-06
  s  16   6.489565 -0.670434  0.000704  6.60689E-05 -9.92644E-07  2.69957E-04
 cl  17   4.577165 -0.652835  0.018303  8.93754E-07  1.32144E-07  3.65188E-06
 ar  18   5.769223 -0.670777  0.000361  1.56718E-05 -2.85159E-07  6.40349E-05
  k  19   4.418084 -0.661916  0.009222  6.83343E-07  4.77949E-08  2.79214E-06
 ca  20   5.618314 -0.671686 -0.000547  1.11076E-05 -2.96783E-07  4.53857E-05
 sc  21   2.456715 -0.593285  0.077853  8.58821E-09  5.60346E-09  3.50914E-08
 ti  22   4.241627 -0.668373  0.002766  5.57268E-07  2.44995E-09  2.27700E-06
  v  23   3.285422 -0.674578 -0.003439  6.55992E-08 -2.88509E-09  2.68038E-07
 cr  24   4.950559 -0.689441 -0.018302  3.09692E-06 -3.82079E-08  1.26540E-05
 mn  25   4.810011 -0.669989  0.001150  2.36747E-06 -2.57378E-08  9.67348E-06
 fe  26   6.868862 -0.671138  0.000000  2.75579E-04 -5.96954E-06  1.12602E-03
 co  27   4.416140 -0.453860  0.217278  1.02541E-06  1.63587E-06  4.18984E-06
 ni  28   5.559885 -0.640115  0.031024  1.42191E-05  3.71820E-06  5.80992E-05
 cu  29   3.864326 -0.385674  0.285465  3.10324E-07  6.07372E-07  1.26798E-06
 zn  30   4.017007 -0.612993  0.058145  4.53989E-07  2.23824E-07  1.85500E-06
 ga  31   2.618053 -0.461946  0.209192  1.93121E-08  2.99050E-08  7.89093E-08
 ge  32   3.058300 -0.521700  0.149438  5.54467E-08  7.73931E-08  2.26555E-07
 as  33   1.730360 -0.569640  0.101498  2.68763E-09  2.24262E-09  1.09817E-08
 se  34   2.818684 -0.521316  0.149822  3.47129E-08  5.05648E-08  1.41837E-07
 br  35   2.022030 -0.517970  0.153168  5.61047E-09  6.72736E-09  2.29244E-08
 kr  36   2.774397 -0.475603  0.195535  3.32683E-08  4.91345E-08  1.35934E-07
 rb  37   2.002567 -0.357433  0.313706  5.73815E-09  1.19996E-08  2.34461E-08
 sr  38   2.341420 -0.538580  0.132558  1.28358E-08  1.38080E-08  5.24472E-08
  y  39   1.609686 -0.560314  0.110824  2.41556E-09  2.18207E-09  9.86998E-09
 zr  40   1.932557 -0.597443  0.073695  5.21275E-09  3.22886E-09  2.12993E-08
 nb  41   0.796680 -0.613320  0.057819  3.88262E-10  1.90355E-10  1.58644E-09
 mo  42   1.208146 -0.731854 -0.060716  1.03406E-09  5.29662E-10  4.22518E-09
 ru  44   0.985299 -0.774701 -0.103563  6.52111E-10  1.49553E-10  2.66453E-09
 rh  45   0.389642 -0.670358  0.000780  1.68455E-10 -2.40963E-12  6.88306E-10
 pd  46   0.938168 -0.711832 -0.040694  6.16015E-10  9.21190E-11  2.51704E-09
