# Initial mass = 5.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.923, Mass expelled =   4.0770
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  6.42079E-01 -4.52815E-01  2.61776E+00
 he   2  11.133833  0.203833  0.863547  3.47014E-01  3.94806E-01  1.41478E+00
  c   6   8.108510 -0.361490  0.298224  9.82239E-04  1.93697E-03  4.00459E-03
  n   7   9.166532  1.296532  1.956246  1.30920E-02  5.27702E-02  5.33759E-02
  o   8   7.724393 -1.005606 -0.345892  5.40275E-04 -2.74175E-03  2.20270E-03
  f   9   3.566883 -0.893117 -0.233403  4.46396E-08 -1.37600E-07  1.81996E-07
 ne  10   7.715796 -0.254204  0.405510  6.68107E-04  1.62532E-03  2.72387E-03
 na  11   6.073568 -0.236432  0.423282  1.73474E-05  4.33444E-05  7.07255E-05
 mg  12   7.246678 -0.393322  0.266392  2.73213E-04  4.95032E-04  1.11389E-03
 al  13   6.161374 -0.308626  0.351088  2.49216E-05  5.51565E-05  1.01605E-04
 si  14   6.934907 -0.615093  0.044621  1.54002E-04  4.65766E-05  6.27866E-04
  p  15   5.019257 -0.450743  0.208972  2.06245E-06  3.07649E-06  8.40860E-06
  s  16   6.504996 -0.655004  0.004710  6.53364E-05 -3.97660E-06  2.66377E-04
 cl  17   4.621303 -0.608697  0.051017  9.44244E-07  3.37699E-07  3.84968E-06
 ar  18   5.785026 -0.654974  0.004740  1.55113E-05 -9.38686E-07  6.32397E-05
  k  19   4.459521 -0.620479  0.039236  7.17471E-07  1.86829E-07  2.92513E-06
 ca  20   5.630891 -0.659109  0.000605  1.09125E-05 -1.09147E-06  4.44904E-05
 sc  21   2.658977 -0.391023  0.268691  1.30585E-08  2.38164E-08  5.32394E-08
 ti  22   4.265770 -0.644230  0.015484  5.62257E-07  2.27856E-08  2.29232E-06
  v  23   3.299724 -0.660276 -0.000562  6.47035E-08 -6.53020E-09  2.63796E-07
 cr  24   4.965017 -0.674983 -0.015269  3.05573E-06 -2.06023E-07  1.24582E-05
 mn  25   4.819443 -0.660557 -0.000843  2.30911E-06 -2.63626E-07  9.41422E-06
 fe  26   6.880286 -0.659714  0.000000  2.70022E-04 -2.86150E-05  1.10088E-03
 co  27   4.636120 -0.233880  0.425835  1.62408E-06  4.07303E-06  6.62137E-06
 ni  28   5.684263 -0.515737  0.143977  1.80708E-05  1.94134E-05  7.36747E-05
 cu  29   4.376128  0.126128  0.785842  9.62376E-07  3.26445E-06  3.92361E-06
 zn  30   4.320103 -0.309897  0.349817  8.70701E-07  1.92226E-06  3.54985E-06
 ga  31   3.243048  0.163048  0.822762  7.77234E-08  2.67982E-07  3.16878E-07
 ge  32   3.676503  0.096503  0.756217  2.19689E-07  7.46839E-07  8.95672E-07
