# Initial mass = 6.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.987, Mass expelled =   5.0130
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.56923E-01 -4.82358E-01  3.29316E+00
 he   2  11.118997  0.188996  0.848702  3.43112E-01  4.65886E-01  1.72002E+00
  c   6   7.618643 -0.851357 -0.191652  3.25294E-04 -9.11612E-04  1.63070E-03
  n   7   8.577551  0.707551  1.367257  3.45105E-03  1.65554E-02  1.73001E-02
  o   8   7.741028 -0.988971 -0.329266  5.74349E-04 -3.20039E-03  2.87921E-03
  f   9   2.981546 -1.478454 -0.818748  1.18661E-08 -3.33484E-07  5.94849E-08
 ne  10   7.357808 -0.612192  0.047514  2.99767E-04  1.51979E-04  1.50273E-03
 na  11   5.761277 -0.548723  0.110982  8.64709E-06  9.68052E-06  4.33479E-05
 mg  12   6.984965 -0.655035  0.004671  1.53008E-04  6.09452E-06  7.67031E-04
 al  13   6.003699 -0.466301  0.193405  1.77349E-05  3.17921E-05  8.89048E-05
 si  14   6.899180 -0.650820  0.008886  1.45119E-04  1.27404E-05  7.27482E-04
  p  15   4.829461 -0.640539  0.019166  1.36305E-06  2.76718E-07  6.83298E-06
  s  16   6.500665 -0.659335  0.000371  6.61836E-05 -6.42758E-07  3.31778E-04
 cl  17   4.583190 -0.646810  0.012896  8.84908E-07  1.17776E-07  4.43604E-06
 ar  18   5.780375 -0.659625  0.000081  1.57009E-05 -2.03865E-07  7.87087E-05
  k  19   4.426106 -0.653893  0.005812  6.79697E-07  4.03613E-08  3.40732E-06
 ca  20   5.629950 -0.660050 -0.000344  1.11406E-05 -1.98459E-07  5.58481E-05
 sc  21   2.433599 -0.616400  0.043305  7.95137E-09  3.68225E-09  3.98602E-08
 ti  22   4.251765 -0.658235  0.001471  5.57001E-07  1.66733E-09  2.79224E-06
  v  23   3.296763 -0.663237 -0.003531  6.57497E-08 -2.78493E-09  3.29603E-07
 cr  24   4.961563 -0.678437 -0.018731  3.10161E-06 -2.33358E-08  1.55484E-05
 mn  25   4.824508 -0.655492  0.004213  2.39020E-06  8.23875E-08  1.19821E-05
 fe  26   6.880294 -0.659706  0.000000  2.76270E-04 -3.86382E-06  1.38494E-03
 co  27   4.337161 -0.532839  0.126867  8.34784E-07  1.05139E-06  4.18477E-06
 ni  28   5.556197 -0.643803  0.015903  1.37669E-05  2.29516E-06  6.90137E-05
 cu  29   3.766353 -0.483647  0.176058  2.41822E-07  4.01766E-07  1.21225E-06
 zn  30   4.000937 -0.629063  0.030643  4.27198E-07  1.40300E-07  2.14154E-06
 ga  31   2.540818 -0.539182  0.120524  1.57852E-08  1.90090E-08  7.91310E-08
 ge  32   2.989192 -0.590808  0.068898  4.61766E-08  4.84805E-08  2.31483E-07
 as  33   1.691724 -0.608276  0.051430  2.40098E-09  1.31439E-09  1.20361E-08
 se  34   2.745096 -0.594904  0.064802  2.86127E-08  3.14561E-08  1.43435E-07
 br  35   1.962464 -0.577536  0.082170  4.77626E-09  4.07171E-09  2.39434E-08
 kr  36   2.699327 -0.550673  0.109032  2.73284E-08  3.05051E-08  1.36997E-07
 rb  37   1.883882 -0.476118  0.183587  4.26324E-09  7.32820E-09  2.13716E-08
 sr  38   2.290801 -0.589199  0.070507  1.11547E-08  8.51319E-09  5.59186E-08
  y  39   1.567091 -0.602909  0.056797  2.13834E-09  1.28742E-09  1.07195E-08
 zr  40   1.905684 -0.624316  0.035389  4.78462E-09  1.81521E-09  2.39853E-08
 nb  41   0.775100 -0.634900  0.024805  3.60743E-10  9.55899E-11  1.80841E-09
 mo  42   1.188291 -0.751709 -0.092004  9.64595E-10  3.01589E-10  4.83551E-09
 ru  44   0.981162 -0.778838 -0.119132  6.30724E-10  7.62672E-11  3.16182E-09
 rh  45   0.394823 -0.665177 -0.005471  1.66463E-10 -1.29401E-11  8.34480E-10
 pd  46   0.940572 -0.709428 -0.049723  6.04852E-10  5.70595E-11  3.03212E-09
 ag  47   0.537281 -0.662719 -0.003013  2.42230E-10 -1.18661E-11  1.21430E-09
 cd  48   1.020027 -0.689973 -0.030267  7.67168E-10  7.23102E-11  3.84582E-09
 in  49   0.080475 -0.679525 -0.019819  9.00616E-11 -2.07215E-12  4.51479E-10
 sn  50   1.355487 -0.714513 -0.054807  1.75400E-09  1.28934E-10  8.79279E-09
 sb  51   0.107565 -0.902435 -0.242729  1.01654E-10 -1.65518E-12  5.09591E-10
 te  52   1.057427 -1.122573 -0.462867  9.49144E-10  3.59610E-11  4.75806E-09
  i  53   0.879939 -0.670061 -0.010355  6.27290E-10 -8.48335E-11  3.14461E-09
 xe  54   1.546592 -0.693408 -0.033703  3.01223E-09  7.52394E-11  1.51003E-08
 cs  55   0.416671 -0.663329 -0.003624  2.26082E-10 -1.26876E-11  1.13335E-09
 ba  56   1.530478 -0.649522  0.010184  3.03592E-09  3.42077E-10  1.52190E-08
 la  57   0.514532 -0.655468  0.004238  2.96011E-10  1.16342E-11  1.48390E-09
 ce  58   0.922789 -0.657211  0.002494  7.64419E-10  2.80038E-11  3.83203E-09
 pr  59   0.100128 -0.659872 -0.000166  1.15643E-10 -1.84114E-12  5.79718E-10
 nd  60   0.767024 -0.682976 -0.023270  5.49748E-10  3.30402E-12  2.75589E-09
 sm  62   0.151620 -0.788380 -0.128674  1.38934E-10 -2.82885E-13  6.96474E-10
 eu  63  -0.167008 -0.677008 -0.017303  6.74198E-11 -1.47205E-11  3.37975E-10
 gd  64   0.391286 -0.658714  0.000992  2.52308E-10 -6.42930E-13  1.26482E-09
 tb  65  -0.351938 -0.671938 -0.012233  4.60584E-11 -7.26179E-12  2.30891E-10
 dy  66   0.470866 -0.659134  0.000572  3.13166E-10  5.49560E-14  1.56990E-09
 ho  67  -0.201385 -0.671386 -0.011680  6.76036E-11 -1.02102E-11  3.38897E-10
 er  68   0.255261 -0.664739 -0.005033  1.96203E-10  3.11828E-12  9.83567E-10
 tm  69  -0.547705 -0.667705 -0.007999  3.11937E-11 -3.35150E-12  1.56374E-10
 yb  70   0.205111 -0.714889 -0.055184  1.80847E-10  9.62119E-12  9.06587E-10
 lu  71  -0.572495 -0.662495 -0.002789  3.05152E-11 -1.41538E-12  1.52973E-10
 hf  72   0.055623 -0.654377  0.005329  1.32219E-10  7.32758E-12  6.62811E-10
 ta  73  -0.783565 -0.663565 -0.003859  1.94108E-11 -1.13073E-12  9.73063E-11
  w  74  -0.005713 -0.655713  0.003992  1.18245E-10  4.49052E-12  5.92760E-10
 re  75  -0.410473 -0.670473 -0.010767  4.71605E-11 -6.61021E-12  2.36416E-10
 os  76   0.687116 -0.662884 -0.003179  6.03184E-10 -3.01201E-11  3.02376E-09
 ir  77   0.646894 -0.673106 -0.013400  5.55573E-10 -9.53078E-11  2.78509E-09
 pt  78   0.932625 -0.687375 -0.027670  1.08865E-09  4.32783E-11  5.45739E-09
 au  79   0.134965 -0.665035 -0.005329  1.75151E-10 -1.33285E-11  8.78034E-10
 hg  80   0.491032 -0.678968 -0.019263  4.04945E-10  5.14191E-11  2.02999E-09
 tl  81   0.123065 -0.646935  0.012771  1.76833E-10  2.32807E-11  8.86466E-10
 pb  82   1.385166 -0.654834  0.004872  3.27802E-09  1.38083E-10  1.64327E-08
 bi  83  -0.006968 -0.656968  0.002737  1.34027E-10  2.35229E-12  6.71876E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.1482   0.0542   0.0056  -0.0486  -0.0008
