#
# Initial mass = 3.500, Z =  0.0028, Y =  0.250, M_mix = 5.00E-04
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.876E+01 2.874E+03 2.023E+02 7.599E+02 8.021E+00 7.096E+00 1.700E-04 1.969E+01 2.987E+01 4.019E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.250E+02 1.391E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 2.564E-31 3.852E-01 1.674E-02 5.339E-02
  1.889E+01 2.846E+03 2.033E+02 7.579E+02 8.020E+00 7.097E+00 2.130E-04 1.969E+01 2.987E+01 3.945E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.250E+02 1.391E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 2.549E-31 3.852E-01 1.674E-02 5.339E-02
  1.993E+01 2.845E+03 2.034E+02 7.577E+02 8.020E+00 7.097E+00 3.574E-04 1.969E+01 2.988E+01 2.151E-06 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.250E+02 1.412E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.127E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.074E-03 5.679E-12 3.852E-01 1.675E-02 5.339E-02
  2.555E+01 2.847E+03 2.038E+02 7.583E+02 8.017E+00 7.096E+00 4.348E-04 1.970E+01 2.988E+01 2.349E-05 3.202E-01 8.009E-03 4.519E-02 2.116E-04 3.357E+03 6.104E+02 1.699E-04 7.219E-02 6.677E-03 1.393E-03 2.152E-02 4.355E-05 1.929E-03 1.119E-01 1.009E-01 7.350E-02 7.061E-02 1.134E-01 2.826E-02 6.370E-02 2.311E-02 3.081E-03 3.521E-09 3.852E-01 1.677E-02 5.341E-02
  3.571E+01 2.865E+03 2.046E+02 7.605E+02 7.996E+00 7.092E+00 4.717E-04 1.970E+01 2.988E+01 7.101E-05 3.218E-01 8.018E-03 4.520E-02 2.142E-04 3.181E+03 5.787E+02 2.424E-04 7.226E-02 6.685E-03 1.395E-03 2.153E-02 4.915E-05 1.929E-03 1.120E-01 1.009E-01 7.381E-02 7.149E-02 1.134E-01 2.835E-02 6.369E-02 2.317E-02 3.119E-03 7.664E-08 3.854E-01 1.686E-02 5.350E-02
  4.881E+01 2.891E+03 2.058E+02 7.640E+02 7.934E+00 7.078E+00 4.995E-04 1.970E+01 2.986E+01 1.292E-04 3.244E-01 8.030E-03 4.522E-02 2.188E-04 2.965E+03 5.398E+02 3.423E-04 7.239E-02 6.700E-03 1.398E-03 2.154E-02 5.744E-05 1.930E-03 1.121E-01 1.010E-01 7.425E-02 7.281E-02 1.134E-01 2.854E-02 6.367E-02 2.326E-02 3.219E-03 8.330E-07 3.858E-01 1.704E-02 5.376E-02
  6.410E+01 2.983E+03 2.073E+02 7.690E+02 7.802E+00 7.042E+00 5.207E-04 1.969E+01 2.981E+01 1.928E-04 3.279E-01 8.044E-03 4.526E-02 2.255E-04 2.729E+03 4.974E+02 4.603E-04 7.256E-02 6.721E-03 1.403E-03 2.156E-02 6.827E-05 1.930E-03 1.121E-01 1.010E-01 7.480E-02 7.451E-02 1.134E-01 2.883E-02 6.364E-02 2.338E-02 3.400E-03 4.634E-06 3.865E-01 1.737E-02 5.429E-02
