#
# Initial mass = 3.750, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.865E+01 3.110E+03 1.887E+02 7.655E+02 8.142E+00 7.041E+00 3.245E-04 1.969E+01 2.988E+01 1.420E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.420E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.663E-25 3.852E-01 1.674E-02 5.339E-02
  1.867E+01 3.104E+03 1.889E+02 7.652E+02 8.142E+00 7.041E+00 3.253E-04 1.969E+01 2.988E+01 1.394E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.420E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.660E-25 3.852E-01 1.674E-02 5.339E-02
  1.882E+01 3.106E+03 1.889E+02 7.649E+02 8.142E+00 7.041E+00 4.093E-04 1.969E+01 2.988E+01 4.337E-07 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.424E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.127E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.074E-03 6.508E-13 3.852E-01 1.675E-02 5.339E-02
  2.247E+01 3.109E+03 1.892E+02 7.654E+02 8.139E+00 7.040E+00 4.692E-04 1.970E+01 2.988E+01 1.620E-05 3.201E-01 8.008E-03 4.519E-02 2.120E-04 3.308E+03 6.016E+02 1.675E-04 7.219E-02 6.678E-03 1.393E-03 2.152E-02 4.444E-05 1.929E-03 1.119E-01 1.009E-01 7.349E-02 7.072E-02 1.134E-01 2.825E-02 6.370E-02 2.311E-02 3.081E-03 8.910E-09 3.853E-01 1.677E-02 5.342E-02
  2.942E+01 3.129E+03 1.898E+02 7.676E+02 8.117E+00 7.036E+00 5.055E-04 1.970E+01 2.987E+01 4.881E-05 3.215E-01 8.015E-03 4.520E-02 2.159E-04 3.030E+03 5.512E+02 2.271E-04 7.227E-02 6.687E-03 1.395E-03 2.153E-02 5.215E-05 1.929E-03 1.120E-01 1.010E-01 7.375E-02 7.192E-02 1.134E-01 2.834E-02 6.369E-02 2.315E-02 3.114E-03 1.171E-07 3.854E-01 1.685E-02 5.353E-02
  3.867E+01 3.210E+03 1.910E+02 7.726E+02 8.035E+00 7.015E+00 5.404E-04 1.970E+01 2.985E+01 9.096E-05 3.239E-01 8.024E-03 4.523E-02 2.227E-04 2.697E+03 4.910E+02 3.102E-04 7.240E-02 6.702E-03 1.399E-03 2.155E-02 6.360E-05 1.930E-03 1.121E-01 1.010E-01 7.414E-02 7.374E-02 1.134E-01 2.851E-02 6.368E-02 2.322E-02 3.199E-03 1.006E-06 3.858E-01 1.701E-02 5.379E-02
  4.908E+01 3.294E+03 1.925E+02 7.782E+02 7.867E+00 6.958E+00 5.621E-04 1.969E+01 2.980E+01 1.362E-04 3.267E-01 8.034E-03 4.527E-02 2.319E-04 2.398E+03 4.370E+02 4.006E-04 7.257E-02 6.722E-03 1.404E-03 2.157E-02 7.693E-05 1.930E-03 1.122E-01 1.011E-01 7.459E-02 7.577E-02 1.134E-01 2.875E-02 6.366E-02 2.330E-02 3.336E-03 4.667E-06 3.863E-01 1.730E-02 5.429E-02
