#
# Initial mass = 3.750, Z =  0.0028, Y =  0.250, M_mix = 5.00E-04
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.865E+01 3.110E+03 1.887E+02 7.655E+02 8.142E+00 7.041E+00 3.245E-04 1.969E+01 2.988E+01 1.420E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.420E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.663E-25 3.852E-01 1.674E-02 5.339E-02
  1.867E+01 3.104E+03 1.889E+02 7.652E+02 8.142E+00 7.041E+00 3.253E-04 1.969E+01 2.988E+01 1.394E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.420E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.660E-25 3.852E-01 1.674E-02 5.339E-02
  1.884E+01 3.106E+03 1.889E+02 7.649E+02 8.142E+00 7.041E+00 4.100E-04 1.969E+01 2.988E+01 4.765E-07 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.425E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.127E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.074E-03 7.150E-13 3.852E-01 1.675E-02 5.339E-02
  2.264E+01 3.110E+03 1.891E+02 7.654E+02 8.140E+00 7.040E+00 4.805E-04 1.970E+01 2.988E+01 1.436E-05 3.200E-01 8.008E-03 4.519E-02 2.113E-04 3.375E+03 6.137E+02 1.608E-04 7.218E-02 6.676E-03 1.393E-03 2.152E-02 4.293E-05 1.929E-03 1.119E-01 1.009E-01 7.346E-02 7.050E-02 1.134E-01 2.824E-02 6.370E-02 2.311E-02 3.078E-03 1.965E-09 3.852E-01 1.676E-02 5.340E-02
  3.009E+01 3.124E+03 1.896E+02 7.671E+02 8.128E+00 7.038E+00 5.170E-04 1.970E+01 2.988E+01 4.856E-05 3.211E-01 8.014E-03 4.520E-02 2.133E-04 3.231E+03 5.876E+02 2.125E-04 7.223E-02 6.682E-03 1.394E-03 2.153E-02 4.725E-05 1.929E-03 1.120E-01 1.009E-01 7.367E-02 7.117E-02 1.134E-01 2.831E-02 6.369E-02 2.314E-02 3.101E-03 3.597E-08 3.854E-01 1.682E-02 5.347E-02
  4.016E+01 3.207E+03 1.905E+02 7.711E+02 8.082E+00 7.028E+00 5.489E-04 1.970E+01 2.987E+01 9.662E-05 3.232E-01 8.023E-03 4.521E-02 2.171E-04 3.031E+03 5.516E+02 2.926E-04 7.233E-02 6.693E-03 1.396E-03 2.154E-02 5.423E-05 1.929E-03 1.120E-01 1.010E-01 7.403E-02 7.227E-02 1.134E-01 2.845E-02 6.368E-02 2.322E-02 3.173E-03 4.516E-07 3.856E-01 1.695E-02 5.364E-02
  5.093E+01 3.294E+03 1.916E+02 7.759E+02 7.990E+00 7.005E+00 5.691E-04 1.970E+01 2.984E+01 1.487E-04 3.259E-01 8.034E-03 4.524E-02 2.224E-04 2.824E+03 5.145E+02 3.879E-04 7.246E-02 6.709E-03 1.400E-03 2.155E-02 6.301E-05 1.930E-03 1.121E-01 1.010E-01 7.446E-02 7.369E-02 1.134E-01 2.866E-02 6.366E-02 2.331E-02 3.299E-03 2.346E-06 3.861E-01 1.719E-02 5.402E-02
