#
# Initial mass = 3.000, Z =  0.0028, Y =  0.250, M_mix = 5.00E-04
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.801E+01 3.066E+03 1.220E+02 7.993E+02 7.931E+00 7.149E+00 1.430E-05 1.969E+01 2.987E+01 2.373E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.437E+03 6.249E+02 1.309E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 4.507E-28 3.852E-01 1.674E-02 5.339E-02
  1.801E+01 3.065E+03 1.220E+02 7.993E+02 7.931E+00 7.149E+00 1.401E-05 1.969E+01 2.987E+01 2.268E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.437E+03 6.249E+02 1.309E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 4.504E-28 3.852E-01 1.674E-02 5.339E-02
  1.802E+01 3.065E+03 1.220E+02 7.992E+02 7.932E+00 7.150E+00 4.973E-05 1.969E+01 2.987E+01 2.151E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.437E+03 6.249E+02 1.308E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 4.519E-28 3.852E-01 1.674E-02 5.339E-02
  2.056E+01 3.044E+03 1.225E+02 7.976E+02 7.933E+00 7.151E+00 4.591E-04 1.969E+01 2.988E+01 4.952E-06 3.197E-01 8.006E-03 4.519E-02 2.107E-04 3.437E+03 6.249E+02 1.366E-04 7.218E-02 6.675E-03 1.393E-03 2.152E-02 4.128E-05 1.929E-03 1.119E-01 1.009E-01 7.340E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.074E-03 1.443E-11 3.852E-01 1.675E-02 5.339E-02
  3.412E+01 3.034E+03 1.230E+02 7.994E+02 7.932E+00 7.152E+00 7.357E-04 1.970E+01 2.987E+01 5.306E-05 3.208E-01 8.013E-03 4.520E-02 2.117E-04 3.377E+03 6.141E+02 2.009E-04 7.227E-02 6.680E-03 1.393E-03 2.152E-02 4.384E-05 1.929E-03 1.119E-01 1.009E-01 7.366E-02 7.070E-02 1.134E-01 2.831E-02 6.369E-02 2.314E-02 3.095E-03 7.100E-08 3.853E-01 1.682E-02 5.344E-02
  6.054E+01 3.011E+03 1.244E+02 8.035E+02 7.913E+00 7.147E+00 8.430E-04 1.970E+01 2.986E+01 1.463E-04 3.237E-01 8.032E-03 4.521E-02 2.147E-04 3.228E+03 5.874E+02 3.523E-04 7.249E-02 6.693E-03 1.396E-03 2.153E-02 5.086E-05 1.929E-03 1.120E-01 1.009E-01 7.424E-02 7.171E-02 1.134E-01 2.847E-02 6.366E-02 2.326E-02 3.155E-03 1.959E-07 3.856E-01 1.697E-02 5.358E-02
  9.607E+01 3.008E+03 1.259E+02 8.120E+02 7.847E+00 7.132E+00 8.934E-04 1.969E+01 2.982E+01 2.776E-04 3.284E-01 8.062E-03 4.524E-02 2.200E-04 3.027E+03 5.515E+02 5.913E-04 7.287E-02 6.716E-03 1.400E-03 2.155E-02 6.171E-05 1.930E-03 1.121E-01 1.010E-01 7.519E-02 7.332E-02 1.134E-01 2.878E-02 6.362E-02 2.347E-02 3.292E-03 6.620E-07 3.862E-01 1.726E-02 5.389E-02
