#
# Initial mass = 4.500, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.845E+01 3.767E+03 1.723E+02 7.740E+02 8.546E+00 6.916E+00 7.362E-04 1.969E+01 2.988E+01 5.417E-07 3.197E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.516E-04 7.220E-02 6.674E-03 1.393E-03 2.152E-02 4.127E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.074E-03 1.053E-17 3.852E-01 1.675E-02 5.339E-02
  1.848E+01 3.758E+03 1.725E+02 7.736E+02 8.545E+00 6.916E+00 7.318E-04 1.969E+01 2.988E+01 5.343E-07 3.197E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.515E-04 7.220E-02 6.674E-03 1.393E-03 2.152E-02 4.127E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.074E-03 1.049E-17 3.852E-01 1.675E-02 5.339E-02
  1.848E+01 3.761E+03 1.725E+02 7.736E+02 8.545E+00 6.916E+00 7.725E-04 1.970E+01 2.988E+01 5.283E-07 3.197E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.515E-04 7.220E-02 6.674E-03 1.393E-03 2.152E-02 4.127E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.074E-03 1.056E-17 3.852E-01 1.675E-02 5.339E-02
  2.016E+01 3.780E+03 1.726E+02 7.737E+02 8.545E+00 6.916E+00 8.184E-04 1.970E+01 2.988E+01 5.014E-06 3.197E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.559E-04 7.220E-02 6.675E-03 1.393E-03 2.152E-02 4.129E-05 1.929E-03 1.119E-01 1.009E-01 7.341E-02 7.027E-02 1.134E-01 2.824E-02 6.370E-02 2.310E-02 3.075E-03 2.237E-11 3.852E-01 1.675E-02 5.339E-02
  2.417E+01 3.837E+03 1.728E+02 7.743E+02 8.543E+00 6.916E+00 8.509E-04 1.970E+01 2.989E+01 1.654E-05 3.199E-01 8.008E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.675E-04 7.221E-02 6.675E-03 1.393E-03 2.152E-02 4.133E-05 1.929E-03 1.119E-01 1.009E-01 7.345E-02 7.028E-02 1.134E-01 2.825E-02 6.370E-02 2.311E-02 3.077E-03 2.136E-10 3.852E-01 1.676E-02 5.339E-02
  3.035E+01 3.940E+03 1.731E+02 7.757E+02 8.539E+00 6.915E+00 8.728E-04 1.971E+01 2.990E+01 3.753E-05 3.203E-01 8.011E-03 4.519E-02 2.108E-04 3.437E+03 6.250E+02 1.895E-04 7.222E-02 6.676E-03 1.393E-03 2.152E-02 4.144E-05 1.929E-03 1.119E-01 1.009E-01 7.353E-02 7.029E-02 1.134E-01 2.827E-02 6.370E-02 2.312E-02 3.083E-03 1.595E-09 3.852E-01 1.678E-02 5.341E-02
  3.799E+01 4.252E+03 1.734E+02 7.780E+02 8.531E+00 6.914E+00 8.868E-04 1.972E+01 2.991E+01 6.916E-05 3.210E-01 8.015E-03 4.519E-02 2.110E-04 3.435E+03 6.247E+02 2.241E-04 7.224E-02 6.678E-03 1.393E-03 2.152E-02 4.165E-05 1.929E-03 1.119E-01 1.009E-01 7.365E-02 7.033E-02 1.134E-01 2.830E-02 6.369E-02 2.315E-02 3.096E-03 1.044E-08 3.853E-01 1.682E-02 5.343E-02
