#
# Initial mass = 5.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.833E+01 4.097E+03 1.729E+02 7.741E+02 8.772E+00 6.902E+00 1.219E-03 1.970E+01 2.987E+01 3.350E-05 3.223E-01 8.002E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 3.029E-04 7.335E-02 6.677E-03 1.392E-03 2.152E-02 4.169E-05 1.929E-03 1.119E-01 1.009E-01 7.378E-02 7.031E-02 1.133E-01 2.843E-02 6.366E-02 2.315E-02 3.091E-03 1.601E-14 3.852E-01 1.689E-02 5.340E-02
  1.833E+01 4.119E+03 1.729E+02 7.742E+02 8.772E+00 6.902E+00 1.243E-03 1.970E+01 2.987E+01 3.318E-05 3.223E-01 8.002E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 3.029E-04 7.335E-02 6.677E-03 1.392E-03 2.152E-02 4.169E-05 1.929E-03 1.119E-01 1.009E-01 7.378E-02 7.031E-02 1.133E-01 2.843E-02 6.366E-02 2.315E-02 3.091E-03 1.599E-14 3.852E-01 1.689E-02 5.340E-02
  1.939E+01 4.360E+03 1.729E+02 7.745E+02 8.772E+00 6.902E+00 1.267E-03 1.970E+01 2.988E+01 3.627E-05 3.223E-01 8.003E-03 4.519E-02 2.107E-04 3.437E+03 6.251E+02 3.061E-04 7.335E-02 6.677E-03 1.392E-03 2.152E-02 4.170E-05 1.929E-03 1.119E-01 1.009E-01 7.379E-02 7.031E-02 1.133E-01 2.843E-02 6.366E-02 2.316E-02 3.092E-03 2.142E-11 3.852E-01 1.689E-02 5.340E-02
  2.155E+01 5.719E+03 1.731E+02 7.763E+02 8.771E+00 6.902E+00 1.285E-03 1.970E+01 2.988E+01 4.373E-05 3.225E-01 8.004E-03 4.519E-02 2.108E-04 3.437E+03 6.251E+02 3.136E-04 7.335E-02 6.677E-03 1.392E-03 2.152E-02 4.173E-05 1.929E-03 1.119E-01 1.009E-01 7.382E-02 7.032E-02 1.133E-01 2.844E-02 6.366E-02 2.316E-02 3.093E-03 1.706E-10 3.852E-01 1.690E-02 5.340E-02
  2.388E+01 1.779E+04 1.736E+02 7.858E+02 8.768E+00 6.902E+00 1.298E-03 1.971E+01 2.989E+01 5.808E-05 3.227E-01 8.005E-03 4.519E-02 2.108E-04 3.437E+03 6.250E+02 3.282E-04 7.336E-02 6.678E-03 1.392E-03 2.152E-02 4.180E-05 1.929E-03 1.119E-01 1.008E-01 7.387E-02 7.033E-02 1.133E-01 2.845E-02 6.366E-02 2.317E-02 3.097E-03 1.107E-09 3.852E-01 1.691E-02 5.341E-02
  1.770E+01 3.166E+04 1.780E+02 9.576E+02 8.763E+00 6.901E+00 1.318E-03 1.972E+01 2.990E+01 7.974E-05 3.232E-01 8.009E-03 4.519E-02 2.110E-04 3.435E+03 6.248E+02 3.508E-04 7.337E-02 6.679E-03 1.393E-03 2.152E-02 4.195E-05 1.929E-03 1.119E-01 1.008E-01 7.395E-02 7.035E-02 1.133E-01 2.847E-02 6.366E-02 2.319E-02 3.106E-03 6.368E-09 3.853E-01 1.694E-02 5.342E-02
  8.677E+00 4.314E+04 1.936E+02 3.372E+03 8.754E+00 6.900E+00 1.368E-03 1.972E+01 2.991E+01 1.078E-04 3.238E-01 8.013E-03 4.519E-02 2.113E-04 3.432E+03 6.243E+02 3.815E-04 7.339E-02 6.681E-03 1.393E-03 2.152E-02 4.220E-05 1.929E-03 1.119E-01 1.008E-01 7.407E-02 7.039E-02 1.133E-01 2.851E-02 6.365E-02 2.322E-02 3.122E-03 3.166E-08 3.854E-01 1.697E-02 5.346E-02
