#
# Initial mass = 6.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.041E+01 2.911E+04 1.860E+02 2.280E+03 9.150E+00 6.911E+00 1.178E-03 1.970E+01 2.986E+01 1.457E-04 3.281E-01 7.996E-03 4.519E-02 2.109E-04 3.436E+03 6.250E+02 6.345E-04 7.582E-02 6.683E-03 1.392E-03 2.152E-02 4.262E-05 1.930E-03 1.120E-01 1.007E-01 7.465E-02 7.042E-02 1.130E-01 2.885E-02 6.358E-02 2.328E-02 3.130E-03 8.713E-14 3.852E-01 1.720E-02 5.342E-02
  5.700E+00 5.293E+04 2.054E+02 2.548E+04 9.150E+00 6.912E+00 1.245E-03 1.970E+01 2.986E+01 1.451E-04 3.281E-01 7.996E-03 4.519E-02 2.109E-04 3.436E+03 6.250E+02 6.345E-04 7.582E-02 6.683E-03 1.392E-03 2.152E-02 4.262E-05 1.930E-03 1.120E-01 1.007E-01 7.465E-02 7.042E-02 1.130E-01 2.885E-02 6.358E-02 2.328E-02 3.130E-03 8.709E-14 3.852E-01 1.720E-02 5.342E-02
  3.555E+00 5.308E+04 2.406E+02 6.480E+05 9.147E+00 6.912E+00 1.415E-03 1.970E+01 2.986E+01 1.445E-04 3.281E-01 7.996E-03 4.519E-02 2.109E-04 3.436E+03 6.250E+02 6.345E-04 7.583E-02 6.683E-03 1.392E-03 2.152E-02 4.262E-05 1.930E-03 1.120E-01 1.007E-01 7.465E-02 7.042E-02 1.130E-01 2.885E-02 6.358E-02 2.328E-02 3.130E-03 8.705E-14 3.852E-01 1.720E-02 5.342E-02
  2.727E+00 4.922E+04 2.846E+02 2.097E+06 9.129E+00 6.914E+00 1.745E-03 1.970E+01 2.986E+01 1.438E-04 3.281E-01 7.996E-03 4.519E-02 2.109E-04 3.436E+03 6.250E+02 6.345E-04 7.583E-02 6.683E-03 1.392E-03 2.152E-02 4.262E-05 1.930E-03 1.120E-01 1.007E-01 7.465E-02 7.042E-02 1.130E-01 2.885E-02 6.358E-02 2.328E-02 3.130E-03 8.706E-14 3.852E-01 1.720E-02 5.342E-02
  2.552E+00 4.544E+04 3.044E+02 1.499E+06 9.042E+00 6.914E+00 2.344E-03 1.970E+01 2.987E+01 1.446E-04 3.281E-01 7.996E-03 4.519E-02 2.109E-04 3.436E+03 6.250E+02 6.353E-04 7.583E-02 6.683E-03 1.392E-03 2.152E-02 4.262E-05 1.930E-03 1.120E-01 1.007E-01 7.465E-02 7.042E-02 1.130E-01 2.885E-02 6.358E-02 2.329E-02 3.131E-03 1.526E-11 3.852E-01 1.720E-02 5.342E-02
  2.751E+00 4.261E+04 2.804E+02 1.301E+06 8.720E+00 6.901E+00 3.397E-03 1.970E+01 2.987E+01 1.471E-04 3.282E-01 7.997E-03 4.519E-02 2.109E-04 3.436E+03 6.249E+02 6.378E-04 7.583E-02 6.683E-03 1.392E-03 2.152E-02 4.263E-05 1.930E-03 1.120E-01 1.007E-01 7.466E-02 7.042E-02 1.130E-01 2.885E-02 6.358E-02 2.329E-02 3.131E-03 1.005E-10 3.852E-01 1.720E-02 5.342E-02
  2.964E+00 4.027E+04 2.544E+02 9.955E+05 8.089E+00 6.867E+00 4.968E-03 1.971E+01 2.988E+01 1.516E-04 3.282E-01 7.997E-03 4.519E-02 2.109E-04 3.435E+03 6.249E+02 6.421E-04 7.583E-02 6.683E-03 1.392E-03 2.152E-02 4.266E-05 1.930E-03 1.120E-01 1.007E-01 7.468E-02 7.042E-02 1.130E-01 2.886E-02 6.358E-02 2.329E-02 3.132E-03 4.493E-10 3.852E-01 1.720E-02 5.342E-02
