#
# Initial mass = 7.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  2.724E+00 1.436E+04 1.506E+02 1.614E+05 8.151E-01 3.648E+00 5.731E-02 2.143E+01 3.247E+01 1.989E-04 3.100E-01 7.989E-03 4.451E-02 2.073E-04 3.438E+03 6.249E+02 8.315E-04 7.694E-02 6.687E-03 1.392E-03 2.153E-02 4.319E-05 1.930E-03 1.120E-01 1.006E-01 7.519E-02 7.048E-02 1.128E-01 2.910E-02 6.353E-02 2.336E-02 3.155E-03 1.344E-13 3.853E-01 1.738E-02 5.344E-02
  2.682E+00 1.351E+04 1.495E+02 1.886E+05 6.409E-01 3.187E+00 6.369E-02 2.143E+01 3.248E+01 1.978E-04 3.100E-01 7.989E-03 4.451E-02 2.073E-04 3.438E+03 6.249E+02 8.315E-04 7.694E-02 6.687E-03 1.392E-03 2.153E-02 4.319E-05 1.930E-03 1.120E-01 1.006E-01 7.519E-02 7.048E-02 1.128E-01 2.910E-02 6.353E-02 2.336E-02 3.155E-03 1.343E-13 3.853E-01 1.738E-02 5.344E-02
  2.655E+00 1.279E+04 1.488E+02 2.005E+05 5.030E-01 2.742E+00 7.080E-02 2.143E+01 3.248E+01 1.967E-04 3.100E-01 7.989E-03 4.451E-02 2.073E-04 3.438E+03 6.249E+02 8.315E-04 7.694E-02 6.687E-03 1.392E-03 2.153E-02 4.319E-05 1.930E-03 1.120E-01 1.006E-01 7.519E-02 7.048E-02 1.128E-01 2.910E-02 6.353E-02 2.336E-02 3.155E-03 1.343E-13 3.853E-01 1.738E-02 5.344E-02
  2.634E+00 1.218E+04 1.481E+02 2.029E+05 3.949E-01 2.330E+00 7.844E-02 2.144E+01 3.249E+01 1.955E-04 3.099E-01 7.989E-03 4.451E-02 2.073E-04 3.438E+03 6.249E+02 8.315E-04 7.694E-02 6.687E-03 1.392E-03 2.153E-02 4.319E-05 1.930E-03 1.120E-01 1.006E-01 7.519E-02 7.048E-02 1.128E-01 2.910E-02 6.353E-02 2.336E-02 3.155E-03 1.343E-13 3.853E-01 1.738E-02 5.344E-02
  2.614E+00 1.152E+04 1.476E+02 2.013E+05 3.078E-01 1.945E+00 8.663E-02 2.144E+01 3.250E+01 1.942E-04 3.099E-01 7.989E-03 4.451E-02 2.073E-04 3.438E+03 6.249E+02 8.315E-04 7.694E-02 6.687E-03 1.392E-03 2.153E-02 4.319E-05 1.930E-03 1.120E-01 1.006E-01 7.519E-02 7.048E-02 1.128E-01 2.910E-02 6.353E-02 2.336E-02 3.155E-03 1.349E-13 3.853E-01 1.738E-02 5.344E-02
  2.596E+00 1.090E+04 1.471E+02 1.985E+05 2.391E-01 1.602E+00 9.513E-02 2.145E+01 3.250E+01 1.931E-04 3.098E-01 7.989E-03 4.451E-02 2.073E-04 3.438E+03 6.249E+02 8.315E-04 7.694E-02 6.687E-03 1.392E-03 2.153E-02 4.319E-05 1.930E-03 1.120E-01 1.006E-01 7.519E-02 7.048E-02 1.128E-01 2.910E-02 6.353E-02 2.336E-02 3.155E-03 1.527E-13 3.853E-01 1.738E-02 5.344E-02
  2.578E+00 1.034E+04 1.466E+02 1.955E+05 1.840E-01 1.296E+00 1.040E-01 2.145E+01 3.251E+01 1.921E-04 3.098E-01 7.989E-03 4.450E-02 2.072E-04 3.438E+03 6.249E+02 8.317E-04 7.694E-02 6.687E-03 1.392E-03 2.153E-02 4.319E-05 1.930E-03 1.120E-01 1.006E-01 7.519E-02 7.048E-02 1.128E-01 2.910E-02 6.353E-02 2.336E-02 3.155E-03 2.933E-13 3.853E-01 1.738E-02 5.344E-02
