# Initial mass = 2.250, Z =  0.0028, Y =  0.250, M_mix = 4.00E-03
# Final mass = 0.664, Mass expelled =   1.5860
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.8057637E-02  1.0968754E+00  1.1849331E+00  6.9159859E-01  7.4716753E-01 -3.3563878E-02
      d      2   7.3838509E-18  7.3838509E-18  0.0000000E+00  4.6556434E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.4494354E-04  2.4494354E-04  0.0000000E+00  1.5444106E-04  0.0000000E+00  0.0000000E+00
    he4      4   6.5844685E-02  4.6230245E-01  3.9645776E-01  2.9148954E-01  2.4998912E-01  6.6701889E-02
    li7      7  -2.6100586E-09  2.7615393E-10  2.8862126E-09  1.7411975E-10  1.8199209E-09 -1.0192045E+00
    be7      7   2.8052023E-18  2.8052023E-18  0.0000000E+00  1.7687278E-18  0.0000000E+00  0.0000000E+00
     b8      8   2.2930771E-25  2.2930771E-25  0.0000000E+00  1.4458241E-25  0.0000000E+00  0.0000000E+00
    c12     12   1.6099565E-02  1.6894218E-02  7.9465355E-04  1.0652091E-02  5.0107419E-04  1.3275329E+00
    c13     13   1.3306029E-05  2.2935672E-05  9.6296426E-06  1.4461331E-05  6.0720358E-06  3.7687397E-01
    c14     14   4.0930486E-09  4.0930486E-09  0.0000000E+00  2.5807367E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.1935462E-04  6.5430120E-04  2.3494658E-04  4.1254802E-04  1.4814714E-04  4.4478124E-01
    n15     15  -2.5561880E-07  3.2308267E-07  5.7870147E-07  2.0370912E-07  3.6490411E-07 -2.5316831E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   7.3075760E-04  2.6496386E-03  1.9188810E-03  1.6706422E-03  1.2099633E-03  1.4011121E-01
    o17     17   1.6801745E-05  1.7576334E-05  7.7458964E-07  1.1082177E-05  4.8842276E-07  1.3558294E+00
    o18     18  -1.6183999E-06  2.6990824E-06  4.3174823E-06  1.7018174E-06  2.7224175E-06 -2.0404176E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   4.3242235E-06  4.4485550E-06  1.2433169E-07  2.8048896E-06  7.8398187E-08  1.5536098E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   6.1555998E-05  4.5517829E-04  3.9362229E-04  2.8699765E-04  2.4820119E-04  6.3074455E-02
   ne21     21   1.8048844E-06  2.7956323E-06  9.9074794E-07  1.7626937E-06  6.2472282E-07  4.5048952E-01
   ne22     22   4.4311886E-03  4.4630263E-03  3.1837651E-05  2.8140140E-03  2.0075448E-05  2.1466613E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.2014330E-24  1.2014330E-24  0.0000000E+00  7.5752395E-25  0.0000000E+00  0.0000000E+00
   na23     23   9.9852019E-05  1.1050756E-04  1.0655547E-05  6.9676898E-05  6.7189276E-06  1.0157889E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   5.1345720E-05  2.3911065E-04  1.8776493E-04  1.5076333E-04  1.1839645E-04  1.0495702E-01
   mg25     25   2.0243324E-05  4.5004490E-05  2.4761166E-05  2.8376096E-05  1.5613321E-05  2.5945738E-01
   mg26     26   1.0048539E-05  3.8401042E-05  2.8352502E-05  2.4212510E-05  1.7877861E-05  1.3172425E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   4.4635723E-08  4.4635723E-08  0.0000000E+00  2.8143582E-08  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   3.0879874E-06  2.1168078E-05  1.8080091E-05  1.3346833E-05  1.1400523E-05  6.8453431E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   6.8498775E-07  2.0858998E-04  2.0790499E-04  1.3151953E-04  1.3109591E-04  1.4011194E-03
   si29     29   1.2748660E-07  1.1061855E-05  1.0934368E-05  6.9746875E-06  6.8947397E-06  5.0068833E-03
   si30     30   3.8813459E-07  7.8444582E-06  7.4563236E-06  4.9460641E-06  4.7016356E-06  2.2010790E-02
    p31     31   8.2902284E-07  2.9048852E-06  2.0758623E-06  1.8315795E-06  1.3089490E-06  1.4590305E-01
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -6.7513611E-07  9.8954639E-05  9.9629775E-05  6.2392581E-05  6.2822226E-05 -2.9803852E-03
    s33     33   6.7141173E-08  8.8969182E-07  8.2255065E-07  5.6096582E-07  5.1866482E-07  3.4049571E-02
    s34     34   1.0170243E-07  4.8854381E-06  4.7837357E-06  3.0803519E-06  3.0164167E-06  9.1090072E-03
    s35     35   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s36     36   3.0954077E-08  5.4567607E-08  2.3613531E-08  3.4405804E-08  1.4889672E-08  3.6374658E-01
   cl35     35  -1.7514594E-08  1.0045044E-06  1.0220190E-06  6.3335710E-07  6.4444100E-07 -7.5345333E-03
   cl36     36   1.3822999E-09  1.3822999E-09  0.0000000E+00  8.7156360E-10  0.0000000E+00  0.0000000E+00
   cl37     37   1.6603207E-07  5.1133884E-07  3.4530677E-07  3.2240783E-07  2.1773552E-07  1.7047632E-01
   ar36     36  -3.4424738E-07  1.8687249E-05  1.9031497E-05  1.1782628E-05  1.2000438E-05 -7.9548955E-03
   ar37     37   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ar38     38   9.8862529E-08  3.7514374E-06  3.6525748E-06  2.3653452E-06  2.3031557E-06  1.1571179E-02
