# Initial mass = 4.000, Z =  0.0028, Y =  0.250, M_mix = 1.00E-04
# Final mass = 0.867, Mass expelled =   3.1330
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.4956737E-01  2.1911590E+00  2.3407264E+00  6.9938052E-01  7.4716753E-01 -2.8704438E-02
      d      2   1.8755429E-17  1.8755429E-17  0.0000000E+00  5.9864120E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.4901915E-04  1.4901915E-04  0.0000000E+00  4.7564365E-05  0.0000000E+00  0.0000000E+00
    he4      4   1.3074440E-01  9.1391027E-01  7.8316587E-01  2.9170454E-01  2.4998912E-01  6.7022078E-02
    li7      7   2.1902853E-08  2.7604301E-08  5.7014478E-09  8.8108205E-09  1.8199209E-09  6.8496388E-01
    be7      7   3.2985702E-12  3.2985702E-12  0.0000000E+00  1.0528472E-12  0.0000000E+00  0.0000000E+00
     b8      8   7.1166825E-25  7.1166825E-25  0.0000000E+00  2.2715235E-25  0.0000000E+00  0.0000000E+00
    c12     12   1.4869595E-02  1.6439360E-02  1.5697652E-03  5.2471627E-03  5.0107419E-04  1.0200225E+00
    c13     13   1.4949578E-03  1.5139803E-03  1.9022473E-05  4.8323662E-04  6.0720358E-06  1.9008255E+00
    c14     14   4.5044864E-08  4.5044864E-08  0.0000000E+00  1.4377551E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.6345195E-03  2.0986348E-03  4.6411535E-04  6.6984835E-04  1.4814714E-04  6.5528327E-01
    n15     15  -1.0744544E-06  6.8717114E-08  1.1431715E-06  2.1933328E-08  3.6490411E-07 -1.2210742E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   3.0998839E-05  3.8215718E-03  3.7905730E-03  1.2197804E-03  1.2099633E-03  3.5094321E-03
    o17     17   1.6310691E-05  1.7840821E-05  1.5301307E-06  5.6944850E-06  4.8842276E-07  1.0666586E+00
    o18     18  -6.8776799E-06  1.6511094E-06  8.5287893E-06  5.2700591E-07  2.7224175E-06 -7.1313930E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
