# Initial mass = 5.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.923, Mass expelled =   4.0770
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.4899654E-01  2.5969815E+00  3.0459781E+00  6.3698345E-01  7.4716753E-01 -6.9289811E-02
      d      2   1.9250237E-17  1.9250237E-17  0.0000000E+00  4.7216669E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.2214797E-08  2.2214797E-08  0.0000000E+00  5.4488098E-09  0.0000000E+00  0.0000000E+00
    he4      4   3.9458513E-01  1.4137158E+00  1.0191307E+00  3.4675395E-01  2.4998912E-01  1.4210030E-01
    li7      7  -7.3877704e-09  3.1500958E-11  7.4192714E-09  7.7265043E-12  1.8199209E-09 -2.3720694E-00
    be7      7   5.0254077E-13  5.0254077E-13  0.0000000E+00  1.2326239E-13  0.0000000E+00  0.0000000E+00
     b8      8   1.6889185E-27  1.6889185E-27  0.0000000E+00  4.1425521E-28  0.0000000E+00  0.0000000E+00
    c12     12   1.3865624E-03  3.4292915E-03  2.0427292E-03  8.4113108E-04  5.0107419E-04  2.2496164E-01
    c13     13   5.9451093E-04  6.1926479E-04  2.4753870E-05  1.5189227E-04  6.0720358E-06  1.3982015E+00
    c14     14   3.4682230E-09  3.4682230E-09  0.0000000E+00  8.5068014E-10  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   5.2744038E-02  5.3347990E-02  6.0395151E-04  1.3085109E-02  1.4814714E-04  1.9460841E+00
    n15     15  -1.3475756E-07  1.3528470E-06  1.4876045E-06  3.3182414E-07  3.6490411E-07 -4.1270763E-02
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -2.7364108E-03  2.1962470E-03  4.9326578E-03  5.3869194E-04  1.2099633E-03 -3.5143176E-01
    o17     17   5.0115227E-06  7.0026758E-06  1.9911531E-06  1.7176051E-06  4.8842276E-07  5.4612744E-01
    o18     18  -1.1096991E-05  1.4889017E-09  1.1098480E-05  3.6519540E-10  2.7224175E-06 -3.8724296E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18  -9.9830400E-36 -9.9830400E-36  0.0000000E+00 -2.4486240E-36  0.0000000E+00  0.0000000E+00
    f19     19  -1.3759114E-07  1.8201476E-07  3.1960590E-07  4.4644288E-08  7.8398187E-08 -2.4454013E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.8175611E-05  1.0500175E-03  1.0118419E-03  2.5754661E-04  2.4820119E-04  1.6051933E-02
   ne21     21  -1.9449285E-06  6.0187915E-07  2.5468078E-06  1.4762794E-07  6.2472282E-07 -6.2651885E-01
   ne22     22   1.7320418E-03  1.8138834E-03  8.1841572E-05  4.4490641E-04  2.0075448E-05  1.3456035E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.5678783E-10  1.5678783E-10  0.0000000E+00  3.8456668E-11  0.0000000E+00  0.0000000E+00
   na23     23   4.3365060E-05  7.0756112E-05  2.7391052E-05  1.7354945E-05  6.7189276E-06  4.1212332E-01
   na24     24  -2.2356310E-33 -2.2356310E-33  0.0000000E+00 -5.4835195E-34  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -2.5320487E-04  2.2946196E-04  4.8266683E-04  5.6282061E-05  1.1839645E-04 -3.2296872E-01
   mg25     25   4.6513783E-04  5.2878866E-04  6.3650827E-05  1.2970043E-04  1.5613321E-05  9.1944611E-01
   mg26     26   2.9017637E-04  3.6305905E-04  7.2882678E-05  8.9050540E-05  1.7877861E-05  6.9732106E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   2.9992954E-05  2.9992954E-05  0.0000000E+00  7.3566234E-06  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   5.5196662E-05  1.0167318E-04  4.6476514E-05  2.4938234E-05  1.1400523E-05  3.3994094E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   2.9363844E-05  5.6380255E-04  5.3443870E-04  1.3828858E-04  1.3109591E-04  2.3197178E-02
   si29     29   6.4123196E-06  3.4520108E-05  2.8107788E-05  8.4670364E-06  6.8947397E-06  8.9213565E-02
   si30     30   1.1701717E-05  3.0868876E-05  1.9167159E-05  7.5714679E-06  4.7016356E-06  2.0693113E-01
    p31     31   3.0794681E-06  8.4156609E-06  5.3361928E-06  2.0641796E-06  1.3089490E-06  1.9782475E-01
    p32     32  -3.2360694E-25 -3.2360694E-25  0.0000000E+00 -7.9373791E-26  0.0000000E+00  0.0000000E+00
    p33     33   1.8388628E-26  1.8388628E-26  0.0000000E+00  4.5103330E-27  0.0000000E+00  0.0000000E+00
    s32     32  -5.4873526E-06  2.5062004E-04  2.5610739E-04  6.1471677E-05  6.2822226E-05 -9.4382670E-03
    s33     33   7.3986484E-08  2.1884275E-06  2.1144410E-06  5.3677400E-07  5.1866482E-07  1.4904670E-02
    s34     34   1.3801036E-06  1.3677130E-05  1.2297027E-05  3.3547046E-06  3.0164167E-06  4.6162978E-02
    s35     35  -1.5846061E-19 -1.5846061E-19  0.0000000E+00 -3.8866965E-20  0.0000000E+00  0.0000000E+00
    s36     36   1.8897407E-07  2.4967480E-07  6.0700728E-08  6.1239831E-08  1.4889672E-08  6.1414886E-01
   cl35     35  -3.6916163E-08  2.5902766E-06  2.6271928E-06  6.3533889E-07  6.4444100E-07 -6.1777481E-03
   cl36     36   3.4193763E-09  3.4193763E-09  0.0000000E+00  8.3869911E-10  0.0000000E+00  0.0000000E+00
   cl37     37   3.9173011E-07  1.2793726E-06  8.8764244E-07  3.1380245E-07  2.1773552E-07  1.5872708E-01
   ar36     36  -1.6464946E-06  4.7275695E-05  4.8922189E-05  1.1595706E-05  1.2000438E-05 -1.4899857E-02
   ar37     37   8.0400262E-23  8.0400262E-23  0.0000000E+00  1.9720447E-23  0.0000000E+00  0.0000000E+00
   ar38     38   6.1557603E-07  1.0004851E-05  9.3892750E-06  2.4539738E-06  2.3031557E-06  2.7546562E-02
   ar39     39   5.2057081E-10  5.2057081E-10  0.0000000E+00  1.2768477E-10  0.0000000E+00  0.0000000E+00
   ar40     40   2.4149531E-07  2.5730276E-07  1.5807451E-08  6.3110804E-08  3.8775112E-09  1.2115507E+00
    k39     39   1.5112300E-07  2.6981484E-06  2.5470254E-06  6.6179746E-07  6.2477625E-07  2.5000574E-02
    k40     40   4.6199187E-09  5.0322337E-09  4.1231507E-10  1.2342982E-09  1.0113942E-10  1.0864997E+00
    k41     41   3.5172661E-08  2.2840693E-07  1.9323427E-07  5.6023286E-08  4.7399677E-08  7.2593182E-02
   ca40     40  -1.2406053E-06  4.2857588E-05  4.4098193E-05  1.0512040E-05  1.0817129E-05 -1.2425037E-02
   ca41     41   2.5066371E-09  2.5066371E-09  0.0000000E+00  6.1482391E-10  0.0000000E+00  0.0000000E+00
   ca42     42   4.7858094E-08  3.5690272E-07  3.0904462E-07  8.7540521E-08  7.5807542E-08  6.2496711E-02
   ca43     43   1.4719312E-08  8.0737209E-08  6.6017897E-08  1.9803092E-08  1.6193955E-08  8.7380126E-02
   ca44     44   3.7023824E-08  1.0808681E-06  1.0438442E-06  2.6511358E-07  2.5605127E-07  1.5105074E-02
   ca45     45  -7.1594269E-17 -7.1594269E-17  0.0000000E+00 -1.7560527E-17  0.0000000E+00  0.0000000E+00
   ca46     46   6.0894088E-08  6.2986700E-08  2.0926112E-09  1.5449276E-08  5.1331006E-10  1.4785284E+00
   ca47     47  -1.5279147E-28 -1.5279147E-28  0.0000000E+00 -3.7476445E-29  0.0000000E+00  0.0000000E+00
   ca48     48   4.0191566E-09  1.0610181E-07  1.0208265E-07  2.6024480E-08  2.5040510E-08  1.6738920E-02
   sc45     45   2.3841872E-08  5.3291529E-08  2.9449657E-08  1.3071261E-08  7.2238957E-09  2.5754604E-01
   sc46     46  -4.4427759E-25 -4.4427759E-25  0.0000000E+00 -1.0897169E-25  0.0000000E+00  0.0000000E+00
   sc47     47  -1.1336825E-27 -1.1336825E-27  0.0000000E+00 -2.7806781E-28  0.0000000E+00  0.0000000E+00
   sc48     48   7.3114319E-31  1.9305197E-29  1.8574054E-29  4.7351474E-30  4.5561488E-30  0.0000000E+00
   ti46     46  -9.0045660E-10  1.7902127E-07  1.7992173E-07  4.3910049E-08  4.4134158E-08 -2.2109475E-03
   ti47     47   7.3080741E-10  1.6651548E-07  1.6578467E-07  4.0842647E-08  4.0666389E-08  1.8782567E-03
   ti48     48  -5.6823296E-08  1.6207995E-06  1.6776228E-06  3.9754710E-07  4.1151486E-07 -1.4996925E-02
   ti49     49   1.8577637E-08  1.4425609E-07  1.2567845E-07  3.5382900E-08  3.0828478E-08  5.9841353E-02
   ti50     50   6.4411026E-08  1.8720405E-07  1.2279303E-07  4.5917108E-08  3.0120688E-08  1.8310964E-01
    v51     51  -6.5177517E-09  2.6409668E-07  2.7061444E-07  6.4777211E-08  6.6380750E-08 -1.0619885E-02
   cr52     52  -3.4263394E-07  1.0750660E-05  1.1093294E-05  2.6369046E-06  2.7211454E-06 -1.3657372E-02
   cr53     53  -3.6290203E-08  1.2457843E-06  1.2820745E-06  3.0556399E-07  3.1448832E-07 -1.2502371E-02
   cr54     54   1.7979119E-07  5.0494850E-07  3.2515732E-07  1.2385296E-07  7.9759928E-08  1.9112162E-01
   mn55     55  -2.6321140E-07  9.4248480E-06  9.6880594E-06  2.3117116E-06  2.3764464E-06 -1.1994393E-02
   fe54     54  -2.7155183E-06  6.1118422E-05  6.3833941E-05  1.4991028E-05  1.5658239E-05 -1.8911514E-02
   fe55     55  -7.1035740E-14 -7.1035740E-14  0.0000000E+00 -1.7423532E-14  0.0000000E+00  0.0000000E+00
   fe56     56  -3.6479672E-05  1.0026749E-03  1.0391546E-03  2.4593450E-04  2.5490089E-04 -1.5551920E-02
   fe57     57   1.5766218E-06  2.6003889E-05  2.4427267E-05  6.3781918E-06  5.9919212E-06  2.7131503E-02
   fe58     58   9.4618554E-06  1.2769722E-05  3.3078666E-06  3.1321370E-06  8.1140786E-07  5.8660156E-01
   fe59     59   2.3094267E-21  2.3094267E-21  0.0000000E+00  5.6645247E-22  0.0000000E+00  0.0000000E+00
   fe60     60   9.8210321E-06  9.8210321E-06  0.0000000E+00  2.4088870E-06  0.0000000E+00  0.0000000E+00
   co59     59   4.0767918E-06  6.6278362E-06  2.5510446E-06  1.6256649E-06  6.2576214E-07  4.1462174E-01
