# Initial mass = 6.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.987, Mass expelled =   5.0130
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.7830629E-01  3.2670205E+00  3.7453268E+00  6.5170968E-01  7.4716753E-01 -5.9363820E-02
      d      2   2.3550841E-17  2.3550841E-17  0.0000000E+00  4.6979537E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.3416598E-06  1.3416598E-06  0.0000000E+00  2.6763610E-07  0.0000000E+00  0.0000000E+00
    he4      4   4.6560955E-01  1.7187301E+00  1.2531205E+00  3.4285462E-01  2.4998912E-01  1.3718891E-01
    li7      7  -3.7637862E-09  5.3589315E-09  9.1227177E-09  1.0690069E-09  1.8199209E-09 -2.3107201E-01
    be7      7   2.4415466E-11  2.4415466E-11  0.0000000E+00  4.8704304E-12  0.0000000E+00  0.0000000E+00
     b8      8   5.3684277E-25  5.3684277E-25  0.0000000E+00  1.0709012E-25  0.0000000E+00  0.0000000E+00
    c12     12  -1.1319441E-03  1.3797905E-03  2.5117346E-03  2.7524246E-04  5.0107419E-04 -2.6018664E-01
    c13     13   2.3975682E-04  2.7019411E-04  3.0437295E-05  5.3898686E-05  6.0720358E-06  9.4824386E-01
    c14     14   5.3545302E-09  5.3545302E-09  0.0000000E+00  1.0681289E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.6548349E-02  1.7290967E-02  7.4261718E-04  3.4492253E-03  1.4814714E-04  1.3670284E+00
    n15     15  -1.3109566E-06  5.1819831E-07  1.8291548E-06  1.0337090E-07  3.6490411E-07 -5.4778045E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -3.1981091E-03  2.8670742E-03  6.0651833E-03  5.7192787E-04  1.2099633E-03 -3.2543099E-01
    o17     17   1.0602172E-05  1.3050489E-05  2.4483168E-06  2.6033292E-06  4.8842276E-07  7.2673321E-01
    o18     18  -1.3608304E-05  3.8358131E-08  1.3646662E-05  7.6517317E-09  2.7224175E-06 -2.5511951E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19  -3.3349542E-07  5.9491157E-08  3.9298658E-07  1.1867376E-08  7.8398187E-08 -8.1995130E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   4.4462504E-06  1.2486045E-03  1.2441583E-03  2.4907332E-04  2.4820119E-04  1.5233032E-03
   ne21     21  -3.0315825E-06  9.9965540E-08  3.1315481E-06  1.9941261E-08  6.2472282E-07 -1.4959348E+00
   ne22     22   1.6405864E-04  2.6469084E-04  1.0063220E-04  5.2800886E-05  2.0075448E-05  4.1997600E-01
