# Initial mass = 0.900, Z =  0.0007, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.702, Mass expelled =   0.1978
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.30152E-01 -5.01126E-03  1.44422E-01
 he   2  10.976654  0.046654  1.855878  2.74784E-01  4.85517E-03  5.43516E-02
  c   6   7.888800 -0.581200  1.228024  6.73492E-04  1.21164E-04  1.33215E-04
  n   7   6.895409 -0.974591  0.834634  7.97457E-05  6.91450E-06  1.57735E-05
  o   8   7.329428 -1.400571  0.408653  2.47442E-04  2.66147E-06  4.89434E-05
  f   9   3.361593 -1.098407  0.710818  3.16413E-08  5.03997E-09  6.25856E-09
 ne  10   6.615810 -1.354190  0.455035  6.03509E-05  3.88810E-06  1.19372E-05
 na  11   4.645056 -1.664944  0.144280  7.35440E-07  9.26307E-08  1.45468E-07
 mg  12   6.124975 -1.515025  0.294199  2.34759E-05  3.11725E-08  4.64348E-06
 al  13   4.647088 -1.822912 -0.013687  8.67191E-07  3.89045E-08  1.71528E-07
 si  14   5.881424 -1.668576  0.140649  1.54834E-05  1.48391E-08  3.06258E-06
  p  15   3.674651 -1.795349  0.013876  1.06072E-07  6.49965E-10  2.09808E-08
  s  16   5.670312 -1.489687  0.319537  1.08717E-05 -4.81123E-10  2.15039E-06
 cl  17   3.428567 -1.801433  0.007792  6.88926E-08  2.35869E-10  1.36268E-08
 ar  18   4.974705 -1.465295  0.343929  2.72994E-06 -3.04397E-10  5.39974E-07
  k  19   3.459449 -1.620551  0.188673  8.15749E-08  4.06981E-11  1.61353E-08
 ca  20   4.808209 -1.481791  0.327434  1.86667E-06 -2.53010E-10  3.69223E-07
 sc  21   1.487711 -1.562289  0.246936  1.00104E-09  2.58506E-12  1.98003E-10
 ti  22   3.480239 -1.429761  0.379464  1.04768E-07  2.22027E-11  2.07228E-08
  v  23   2.396376 -1.563624  0.245600  9.19189E-09 -1.89448E-12  1.81813E-09
 cr  24   3.983805 -1.656195  0.153029  3.62851E-07 -1.61791E-11  7.17709E-08
 mn  25   3.147930 -2.332070 -0.522845  5.59443E-08  6.75087E-11  1.10656E-08
 fe  26   5.730775 -1.809225  0.000000  2.17627E-05 -2.03272E-09  4.30460E-06
 co  27   3.077088 -1.792912  0.016313  5.09800E-08  3.67209E-10  1.00837E-08
 ni  28   4.392468 -1.807531  0.001693  1.04956E-06  7.04972E-10  2.07600E-07
 cu  29   2.072305 -2.177695 -0.368471  5.43684E-09  2.31338E-10  1.07539E-09
 zn  30   3.078779 -1.551221  0.258004  5.68027E-08  1.91339E-10  1.12354E-08
 ga  31   1.329702 -1.750298  0.058927  1.07903E-09  2.69940E-11  2.13428E-10
 ge  32   1.791545 -1.788455  0.020770  3.25592E-09  7.65338E-11  6.44013E-10
 as  33   0.520461 -1.779539  0.029686  1.79897E-10  2.33511E-12  3.55831E-11
 se  34   1.553041 -1.786959  0.022265  2.04362E-09  5.69745E-11  4.04223E-10
 br  35   0.782361 -1.757639  0.051586  3.50657E-10  7.73783E-12  6.93589E-11
 kr  36   1.512632 -1.737368  0.071857  1.97615E-09  6.06442E-11  3.90877E-10
 rb  37   0.629915 -1.730085  0.079140  2.64041E-10  8.67850E-12  5.22266E-11
 sr  38   1.273955 -1.606045  0.203180  1.19264E-09  8.88999E-11  2.35902E-10
  y  39   0.598725 -1.571275  0.237950  2.55629E-10  2.13141E-11  5.05627E-11
 zr  40   0.957866 -1.572134  0.237090  5.99691E-10  4.98687E-11  1.18617E-10
 nb  41  -0.187965 -1.597965  0.211259  4.36548E-11  3.32345E-12  8.63480E-12
 mo  42   0.214643 -1.725358  0.083867  1.13919E-10  8.47325E-12  2.25328E-11
 ru  44  -0.016780 -1.776780  0.032445  7.04362E-11  4.36397E-12  1.39321E-11
 rh  45  -0.694406 -1.754405  0.054819  1.50657E-11  3.52055E-13  2.97995E-12
 pd  46  -0.043126 -1.693126  0.116099  6.97991E-11  4.58069E-12  1.38061E-11
 ag  47  -0.536181 -1.736181  0.073043  2.27334E-11  6.94333E-13  4.49660E-12
 cd  48   0.071406 -1.638594  0.170631  9.59772E-11  7.28278E-12  1.89840E-11
 in  49  -0.928445 -1.688445  0.120780  9.80659E-12  5.33279E-13  1.93972E-12
 sn  50   0.450322 -1.619678  0.189547  2.42528E-10  2.11052E-11  4.79714E-11
 sb  51  -0.896588 -1.906588 -0.097364  1.11910E-11  6.28205E-13  2.21355E-12
 te  52   0.101312 -2.078688 -0.269464  1.16712E-10  8.44237E-12  2.30853E-11
  i  53  -0.237898 -1.787898  0.021327  5.31534E-11  4.99191E-13  1.05136E-11
 xe  54   0.483686 -1.756314  0.052911  2.89655E-10  1.07011E-11  5.72930E-11
 cs  55  -0.653066 -1.733066  0.076159  2.14007E-11  6.79170E-13  4.23301E-12
 ba  56   0.745711 -1.434289  0.374936  5.53886E-10  6.34237E-11  1.09557E-10
 la  57  -0.273273 -1.443273  0.365951  5.36292E-11  6.04233E-12  1.06077E-11
 ce  58   0.189734 -1.390266  0.418959  1.57100E-10  1.92778E-11  3.10739E-11
 pr  59  -0.747050 -1.507050  0.302174  1.82742E-11  1.81120E-12  3.61458E-12
 nd  60  -0.018412 -1.468412  0.340813  1.00145E-10  1.12727E-11  1.98083E-11
 sm  62  -0.737270 -1.677270  0.131954  1.99441E-11  1.78426E-12  3.94489E-12
 eu  63  -1.243003 -1.753003  0.056222  6.29059E-12  1.50558E-13  1.24426E-12
 gd  64  -0.632020 -1.682020  0.127205  2.65781E-11  1.33293E-12  5.25707E-12
 tb  65  -1.417352 -1.737352  0.071873  4.40345E-12  1.32499E-13  8.70991E-13
 dy  66  -0.540296 -1.670296  0.138929  3.39242E-11  1.84210E-12  6.71012E-12
 ho  67  -1.273294 -1.743294  0.065930  6.36735E-12  1.76869E-13  1.25944E-12
 er  68  -0.728917 -1.648917  0.160307  2.26165E-11  1.43317E-12  4.47348E-12
 tm  69  -1.566443 -1.686443  0.122781  3.32068E-12  1.61515E-13  6.56821E-13
 yb  70  -0.622476 -1.542476  0.266749  2.98967E-11  3.13205E-12  5.91349E-12
 lu  71  -1.485177 -1.575177  0.234048  4.14698E-12  3.41498E-13  8.20261E-13
 hf  72  -0.681638 -1.391638  0.417587  2.69109E-11  3.29026E-12  5.32291E-12
 ta  73  -1.550246 -1.430246  0.378978  3.69199E-12  4.25018E-13  7.30266E-13
  w  74  -0.739484 -1.389484  0.419741  2.42610E-11  2.97460E-12  4.79876E-12
 re  75  -1.384871 -1.644871  0.164354  5.56004E-12  3.46138E-13  1.09976E-12
 os  76  -0.343537 -1.693537  0.115687  6.24734E-11  2.88730E-12  1.23571E-11
 ir  77  -0.469447 -1.789447  0.019777  4.72387E-11  4.11752E-13  9.34369E-12
 pt  78  -0.157201 -1.777201  0.032024  9.83922E-11  2.67250E-12  1.94617E-11
 au  79  -0.943294 -1.743294  0.065931  1.62575E-11  4.51608E-13  3.21568E-12
 hg  80  -0.252374 -1.422374  0.386851  8.12623E-11  9.93801E-12  1.60735E-11
 tl  81  -0.522936 -1.292936  0.516289  4.44080E-11  6.10711E-12  8.78379E-12
 pb  82   1.593531 -0.446469  1.362755  5.88672E-09  1.11385E-09  1.16438E-09
