# Initial mass = 6.500, Z =  0.0007, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.071, Mass expelled =   5.4289
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.53581E-01 -5.53241E-01  3.54823E+00
 he   2  11.130383  0.200382  1.961961  3.50435E-01  5.43960E-01  1.90248E+00
  c   6   6.997748 -1.472252  0.289327  7.74758E-05  8.98603E-05  4.20610E-04
  n   7   8.101356  0.231356  1.992934  1.14694E-03  5.98347E-03  6.22662E-03
  o   8   6.457853 -2.272146 -0.510568  2.97704E-05 -1.10867E-03  1.61621E-04
  f   9   1.438798 -3.021202 -1.259624  3.38334E-10 -3.16095E-08  1.83679E-09
 ne  10   6.524912 -1.445087  0.316491  4.38200E-05  1.69715E-05  2.37895E-04
 na  11   4.165331 -2.144669 -0.383090  2.18127E-07 -2.66026E-07  1.18419E-06
 mg  12   6.076868 -1.563132  0.198447  1.88106E-05 -2.44722E-05  1.02121E-04
 al  13   5.483639 -0.986361  0.775218  5.32785E-06  2.52843E-05  2.89245E-05
 si  14   5.973652 -1.576348  0.185230  1.71388E-05  9.39417E-06  9.30452E-05
  p  15   3.731440 -1.738560  0.023018  1.08212E-07  2.94568E-08  5.87475E-07
  s  16   5.718166 -1.441834  0.319745  1.08651E-05 -4.85925E-08  5.89860E-05
 cl  17   3.497341 -1.732659  0.028920  7.22492E-08  2.46966E-08  3.92235E-07
 ar  18   5.022348 -1.417652  0.343927  2.72698E-06 -2.43945E-08  1.48046E-05
  k  19   3.512289 -1.567711  0.193868  8.24676E-08  5.96359E-09  4.47710E-07
 ca  20   4.855851 -1.434149  0.327430  1.86464E-06 -1.79552E-08  1.01230E-05
 sc  21   1.548147 -1.501853  0.259726  1.02985E-09  2.27354E-10  5.59097E-09
 ti  22   3.527976 -1.382024  0.379555  1.04677E-07  1.15790E-10  5.68283E-07
  v  23   2.441766 -1.518234  0.243344  9.13442E-09 -3.64025E-10  4.95900E-08
 cr  24   4.031747 -1.608253  0.153326  3.62708E-07 -1.22077E-09  1.96911E-06
 mn  25   3.225155 -2.254845 -0.493267  5.98228E-08  2.29089E-08  3.24773E-07
 fe  26   5.778421 -1.761579  0.000000  2.17392E-05 -1.82925E-07  1.18021E-04
 co  27   3.152718 -1.717282  0.044296  5.43143E-08  2.81806E-08  2.94868E-07
 ni  28   4.445982 -1.754018  0.007560  1.06269E-06  9.06261E-08  5.76926E-06
 cu  29   2.307586 -1.942414 -0.180836  8.36591E-09  2.22512E-08  4.54178E-08
 zn  30   3.133543 -1.496457  0.265121  5.76792E-08  1.00102E-08  3.13136E-07
