# Initial mass = 1.200, Z =  0.0007, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.673, Mass expelled =   0.5272
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.1009892E-02  3.7402347E-01  3.9503336E-01  7.0949459E-01  7.4949098E-01 -2.3817357E-02
      d      2   2.2735965E-18  2.2735965E-18  0.0000000E+00  4.3128428E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.1615246E-04  1.1615246E-04  0.0000000E+00  2.2033254E-04  0.0000000E+00  0.0000000E+00
    he4      4   1.8652201E-02  1.5044595E-01  1.3179375E-01  2.8538474E-01  2.5005037E-01  5.7403255E-02
    li7      7   3.3649333E-12  7.8752546E-11  7.5387613E-11  1.4938770E-10  1.4303181E-10  1.8882172E-02
    be7      7   1.7224006E-17  1.7224006E-17  0.0000000E+00  3.2672655E-17  0.0000000E+00  0.0000000E+00
     b8      8   7.4394856E-28  7.4394856E-28  0.0000000E+00  1.4112149E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.8897809E-03  1.9216302E-03  3.1849384E-05  3.6451891E-03  6.0427374E-05  1.7804863E+00
    c13     13   8.8332905E-07  1.1348511E-06  2.5152207E-07  2.1527278E-06  4.7720908E-07  6.5428042E-01
    c14     14   3.4279173E-09  3.4279173E-09  0.0000000E+00  6.5025030E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   2.5791784E-05  4.9372324E-05  2.3580540E-05  9.3655610E-05  4.4739012E-05  3.2084739E-01
    n15     15   1.5890045E-08  3.1005470E-08  1.5115425E-08  5.8815061E-08  2.8678276E-08  3.1193551E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.0031716E-04  2.2353273E-04  1.2321556E-04  4.2402488E-04  2.3377509E-04  2.5859311E-01
    o17     17   2.3135877E-07  2.5159042E-07  2.0231658E-08  4.7724825E-07  3.8385231E-08  1.0945803E+00
    o18     18  -8.8703018E-09  1.0389876E-07  1.1276907E-07  1.9708820E-07  2.1395509E-07 -3.5662018E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
