# Initial mass = 2.750, Z =  0.0007, Y =  0.250, M_mix = 5.00E-04
# Final mass = 0.780, Mass expelled =   1.9697
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.0653925E-01  1.3696595E+00  1.4761988E+00  6.9536394E-01  7.4949098E-01 -3.2554284E-02
      d      2   1.1923495E-17  1.1923495E-17  0.0000000E+00  6.0534521E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.3582825E-04  2.3582825E-04  0.0000000E+00  1.1972790E-04  0.0000000E+00  0.0000000E+00
    he4      4   7.8750163E-02  5.7124984E-01  4.9249968E-01  2.9001844E-01  2.5005037E-01  6.4398125E-02
    li7      7   3.3064651E-08  3.3346367E-08  2.8171571E-10  1.6929654E-08  1.4303181E-10  2.0732157E+00
    be7      7   7.5203075E-15  7.5203075E-15  0.0000000E+00  3.8179930E-15  0.0000000E+00  0.0000000E+00
     b8      8   3.4273558E-25  3.4273558E-25  0.0000000E+00  1.7400380E-25  0.0000000E+00  0.0000000E+00
    c12     12   2.4584202E-02  2.4703220E-02  1.1901786E-04  1.2541604E-02  6.0427374E-05  2.3171194E+00
    c13     13   1.0326105E-04  1.0420097E-04  9.3991196E-07  5.2901902E-05  4.7720908E-07  2.0447628E+00
    c14     14   3.7773500E-08  3.7773500E-08  0.0000000E+00  1.9177270E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   8.2603401E-05  1.7072144E-04  8.8118039E-05  8.6673754E-05  4.4739012E-05  2.8720120E-01
    n15     15  -4.5625853E-08  1.0858937E-08  5.6484790E-08  5.5129856E-09  2.8678276E-08 -7.1616620E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   4.9711473E-04  9.5755863E-04  4.6044387E-04  4.8614398E-04  2.3377509E-04  3.1796670E-01
    o17     17   3.0135939E-06  3.0891974E-06  7.5603623E-08  1.5683580E-06  3.8385231E-08  1.6112812E+00
    o18     18  -1.7831687E-07  2.4308949E-07  4.2140636E-07  1.2341437E-07  2.1395509E-07 -2.3895691E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   4.2978550E-06  4.3099903E-06  1.2135547E-08  2.1881438E-06  6.1614212E-09  2.5503950E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.7671067E-05  1.1418976E-04  7.6518692E-05  5.7973124E-05  3.8849827E-05  1.7383763E-01
   ne21     21   3.4280838E-06  3.5247861E-06  9.6702315E-08  1.7895024E-06  4.9097391E-08  1.5616740E+00
   ne22     22   2.0434088E-03  2.0465164E-03  3.1075194E-06  1.0389981E-03  1.5777398E-06  2.8185794E+00
