# Initial mass = 6.500, Z =  0.0007, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.071, Mass expelled =   5.4289
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.4862571E-01  3.5200741E+00  4.0686998E+00  6.4839345E-01  7.4949098E-01 -6.2927812E-02
      d      2   2.4457744E-17  2.4457744E-17  0.0000000E+00  4.5050874E-18  0.0000000E+00  0.0000000E+00
    he3      3   3.3713590E-07  3.3713590E-07  0.0000000E+00  6.2100035E-08  0.0000000E+00  0.0000000E+00
    he4      4   5.4362631E-01  1.9010541E+00  1.3574278E+00  3.5017192E-01  2.5005037E-01  1.4625385E-01
    li7      7   1.5517715E-09  2.3282365E-09  7.7646500E-10  4.2885839E-10  1.4303181E-10  4.7688133E-01
    be7      7   2.5297594E-11  2.5297594E-11  0.0000000E+00  4.6597869E-12  0.0000000E+00  0.0000000E+00
     b8      8   3.2244241E-25  3.2244241E-25  0.0000000E+00  5.9393510E-26  0.0000000E+00  0.0000000E+00
    c12     12   1.8762978E-05  3.4680005E-04  3.2803707E-04  6.3880158E-05  6.0427374E-05  2.4132257E-02
    c13     13   7.6951968E-05  7.9542551E-05  2.5905856E-06  1.4651643E-05  4.7720908E-07  1.4871777E+00
    c14     14   8.6190566E-10  8.6190566E-10  0.0000000E+00  1.5876200E-10  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   5.9802211E-03  6.2230919E-03  2.4287098E-04  1.1462861E-03  4.4739012E-05  1.4086068E+00
    n15     15   2.9463607E-07  4.5031945E-07  1.5568338E-07  8.2948304E-08  2.8678276E-08  4.6125454E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.1084151E-03  1.6066051E-04  1.2690756E-03  2.9593475E-05  2.3377509E-04 -8.9760226E-01
    o17     17   8.1950361E-07  1.0278824E-06  2.0837874E-07  1.8933471E-07  3.8385231E-08  6.9306612E-01
    o18     18  -1.1578267E-06  3.6538095E-09  1.1614804E-06  6.7302736E-10  2.1395509E-07 -2.5022900E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18  -4.2032488E-37 -4.2032488E-37  0.0000000E+00 -7.7423343E-38  0.0000000E+00  0.0000000E+00
    f19     19  -3.1611016E-08  1.8369797E-09  3.3447996E-08  3.3836947E-10  6.1614212E-09 -1.2602898E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -2.2177555E-06  2.0868308E-04  2.1090083E-04  3.8439175E-05  3.8849827E-05 -4.6150261E-03
   ne21     21  -2.5752453E-07  9.0064249E-09  2.6653095E-07  1.6589727E-09  4.9097391E-08 -1.4712192E+00
   ne22     22   2.1224765E-05  2.9789711E-05  8.5649463E-06  5.4872294E-06  1.5777398E-06  5.4131776E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.0401315E-09  1.0401315E-09  0.0000000E+00  1.9159099E-10  0.0000000E+00  0.0000000E+00
   na23     23  -2.6714872E-07  1.1836212E-06  1.4507699E-06  2.1802161E-07  2.6724481E-07 -8.8409759E-02
   na24     24  -1.9910619E-36 -1.9910619E-36  0.0000000E+00 -3.6675124E-37  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -1.1075761E-04  8.0471693E-07  1.1156232E-04  1.4822790E-07  2.0550780E-05 -2.1418986E+00
