# Initial mass = 1.500, Z =  0.0002, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.680, Mass expelled =   0.8205
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.94137E-01 -5.05719E-02  5.69507E-01
 he   2  11.034627  0.104627  1.896713  2.98536E-01  3.96685E-02  2.44935E-01
  c   6   9.109379  0.639379  2.431465  1.06400E-02  8.69695E-03  8.72965E-03
  n   7   6.827482 -1.042518  0.749568  6.48354E-05  4.36171E-05  5.31944E-05
  o   8   7.744137 -0.985862  0.806224  6.11244E-04  4.23314E-04  5.01497E-04
  f   9   5.189857  0.729857  2.521944  2.02558E-06  1.65684E-06  1.66190E-06
 ne  10   8.020185  0.050186  1.842272  1.45576E-03  1.17702E-03  1.19439E-03
 na  11   6.147966 -0.162034  1.630053  2.22582E-05  1.78288E-05  1.82618E-05
 mg  12   6.374997 -1.265003  0.527083  3.96896E-05  2.27779E-05  3.25635E-05
 al  13   4.824482 -1.645518  0.146569  1.24034E-06  2.83176E-07  1.01764E-06
 si  14   5.777454 -1.772546  0.019540  1.15859E-05  3.14140E-07  9.50566E-06
  p  15   3.933949 -1.536050  0.256036  1.83203E-07  6.59963E-08  1.50309E-07
  s  16   5.372128 -1.787872  0.004215  5.20168E-06 -7.17182E-09  4.26774E-06
 cl  17   3.483137 -1.746863  0.045224  7.42635E-08  5.39715E-09  6.09297E-08
 ar  18   4.648135 -1.791865  0.000221  1.22353E-06 -1.09608E-08  1.00385E-06
  k  19   3.305316 -1.774684  0.017403  5.43819E-08  1.31901E-09  4.46178E-08
 ca  20   4.496946 -1.793054 -0.000967  8.66637E-07 -9.71892E-09  7.11035E-07
 sc  21   1.380907 -1.669093  0.122994  7.44184E-10  1.45323E-10  6.10568E-10
 ti  22   3.150301 -1.759699  0.032388  4.65931E-08  2.34084E-09  3.82274E-08
  v  23   2.167616 -1.792384 -0.000298  5.16033E-09 -4.06790E-11  4.23381E-09
 cr  24   3.831178 -1.808822 -0.016736  2.42735E-07 -1.09799E-09  1.99153E-07
 mn  25   3.702564 -1.777436  0.014651  1.90731E-07  3.45702E-09  1.56486E-07
 fe  26   5.747913 -1.792087  0.000000  2.15220E-05 -2.02121E-07  1.76578E-05
 co  27   3.249403 -1.620597  0.171490  7.20686E-08  1.88339E-08  5.91289E-08
