# Initial mass = 2.750, Z =  0.0002, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.803, Mass expelled =   1.9470
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.21126E-01 -6.74626E-02  1.40403E+00
 he   2  10.987766  0.057766  1.866407  2.78422E-01  5.49733E-02  5.42087E-01
  c   6   8.787786  0.317785  2.126426  5.27127E-03  1.01856E-02  1.02632E-02
  n   7   7.147724 -0.722276  1.086365  1.40806E-04  2.51421E-04  2.74148E-04
  o   8   7.202717 -1.527282  0.281359  1.82541E-04  1.69873E-04  3.55408E-04
  f   9   4.746549  0.286549  2.095190  7.58241E-07  1.46430E-06  1.47629E-06
 ne  10   7.611776 -0.358224  1.450417  5.90538E-04  1.10856E-03  1.14978E-03
 na  11   5.547027 -0.762973  1.045668  5.79584E-06  1.02570E-05  1.12845E-05
 mg  12   6.357425 -1.282575  0.526066  3.95979E-05  5.38751E-05  7.70970E-05
 al  13   5.403309 -1.066691  0.741950  4.88578E-06  7.76967E-06  9.51262E-06
 si  14   5.819252 -1.730748  0.077893  1.32523E-05  3.99012E-06  2.58023E-05
  p  15   4.048896 -1.421103  0.387537  2.47996E-07  2.82767E-07  4.82848E-07
  s  16   5.358820 -1.801179  0.007462  5.24086E-06  5.92609E-08  1.02040E-05
 cl  17   3.456491 -1.773509  0.035132  7.25597E-08  9.49066E-09  1.41274E-07
 ar  18   4.632415 -1.807585  0.001056  1.22592E-06 -2.13636E-08  2.38686E-06
  k  19   3.287729 -1.792271  0.016370  5.42544E-08  2.88174E-09  1.05633E-07
 ca  20   4.480706 -1.809294 -0.000653  8.67288E-07 -2.17955E-08  1.68861E-06
 sc  21   1.378535 -1.671465  0.137176  7.68908E-10  3.92998E-10  1.49706E-09
 ti  22   3.114592 -1.795408  0.013233  4.45840E-08  1.64331E-09  8.68050E-08
  v  23   2.152399 -1.807601  0.001040  5.17638E-09 -6.52829E-11  1.00784E-08
 cr  24   3.814507 -1.825492 -0.016851  2.42677E-07 -2.71956E-09  4.72492E-07
 mn  25   3.668252 -1.811748 -0.003107  1.83095E-07 -6.66469E-09  3.56485E-07
 fe  26   5.731359 -1.808641  0.000000  2.15226E-05 -4.78518E-07  4.19044E-05
 co  27   3.372235 -1.497765  0.310876  9.93446E-08  9.78005E-08  1.93424E-07
 ni  28   4.442396 -1.757604  0.051037  1.16288E-06  2.28029E-07  2.26412E-06
 cu  29   2.876356 -1.373644  0.434997  3.41975E-08  4.18485E-08  6.65826E-08
 zn  30   2.942344 -1.687656  0.120985  4.09762E-08  1.87076E-08  7.97807E-08
 ga  31   1.677074 -1.402925  0.405715  2.37139E-09  2.78231E-09  4.61709E-09
 ge  32   2.120510 -1.459490  0.349151  6.85862E-09  7.76893E-09  1.33537E-08
 as  33   0.741358 -1.558642  0.249999  2.95473E-10  2.48086E-10  5.75286E-10
 se  34   1.950165 -1.389835  0.418806  5.03644E-09  6.38861E-09  9.80594E-09
 br  35   1.127343 -1.412657  0.395984  7.66413E-10  8.85770E-10  1.49221E-09
 kr  36   2.375401 -0.874599  0.934042  1.42294E-08  2.44547E-08  2.77046E-08
 rb  37   1.603464 -0.756536  1.052105  2.45369E-09  4.34876E-09  4.77733E-09
 sr  38   2.009306 -0.870694  0.937947  6.40413E-09  1.10221E-08  1.24688E-08
  y  39   1.452115 -0.717885  1.090756  1.80135E-09  3.21938E-09  3.50723E-09
 zr  40   1.897129 -0.632871  1.175770  5.14979E-09  9.35006E-09  1.00266E-08
 nb  41   0.706499 -0.703501  1.105140  3.38138E-10  6.06083E-10  6.58354E-10
 mo  42   1.252991 -0.687009  1.121632  1.22897E-09  2.25444E-09  2.39280E-09
 ru  44   0.850715 -0.909285  0.899356  5.12729E-10  9.04120E-10  9.98283E-10
 rh  45  -0.213583 -1.273583  0.535058  4.50204E-11  6.17935E-11  8.76547E-11
 pd  46   0.706253 -0.943747  0.864894  3.87104E-10  6.62900E-10  7.53692E-10
 ag  47  -0.060832 -1.260832  0.547809  6.70829E-11  9.31908E-11  1.30610E-10
 cd  48   0.800390 -0.909610  0.899031  5.07867E-10  8.73659E-10  9.88817E-10
 in  49  -0.318438 -1.078438  0.730203  3.94570E-11  6.29815E-11  7.68228E-11
 sn  50   1.318590 -0.751410  1.057231  1.76860E-09  3.17906E-09  3.44346E-09
 sb  51  -0.127814 -1.137814  0.670827  6.48996E-11  1.10758E-10  1.26360E-10
 te  52   0.990913 -1.189087  0.619554  8.93953E-10  1.59642E-09  1.74053E-09
  i  53   0.050838 -1.499162  0.309479  1.02062E-10  1.00160E-10  1.98715E-10
 xe  54   1.273150 -0.966850  0.841791  1.76175E-09  2.97159E-09  3.43012E-09
 cs  55  -0.018933 -1.098933  0.709708  9.10248E-11  1.42251E-10  1.77225E-10
 ba  56   1.987380 -0.192620  1.616021  9.54305E-09  1.81263E-08  1.85803E-08
 la  57   0.950688 -0.219312  1.589329  8.87075E-10  1.68221E-09  1.72714E-09
 ce  58   1.493134 -0.086866  1.721775  3.12014E-09  5.95882E-09  6.07491E-09
 pr  59   0.442389 -0.317611  1.491030  2.79174E-10  5.25804E-10  5.43552E-10
 nd  60   1.171086 -0.278914  1.529727  1.53011E-09  2.89513E-09  2.97913E-09
 sm  62   0.419691 -0.520309  1.288332  2.82732E-10  5.29215E-10  5.50478E-10
 eu  63  -0.596407 -1.106407  0.702234  2.75350E-11  4.28471E-11  5.36105E-11
 gd  64   0.285029 -0.764971  1.043670  2.16856E-10  3.83600E-10  4.22219E-10
 tb  65  -0.682679 -1.002679  0.805962  2.36083E-11  3.86975E-11  4.59653E-11
 dy  66   0.415689 -0.714311  1.094329  3.02756E-10  5.41558E-10  5.89466E-10
 ho  67  -0.562472 -1.032472  0.776169  3.23130E-11  5.22596E-11  6.29135E-11
 er  68   0.271109 -0.648891  1.159750  2.23383E-10  4.05005E-10  4.34926E-10
 tm  69  -0.666427 -0.786427  1.022214  2.60520E-11  4.58489E-11  5.07233E-11
 yb  70   0.608404 -0.311596  1.497045  5.02461E-10  9.50918E-10  9.78291E-10
 lu  71  -0.328637 -0.418637  1.390004  5.87315E-11  1.09639E-10  1.14350E-10
 hf  72   0.599805 -0.110195  1.698446  5.08124E-10  9.69314E-10  9.89317E-10
 ta  73  -0.357430 -0.237429  1.571211  5.68429E-11  1.07669E-10  1.10673E-10
  w  74   0.537571 -0.112429  1.696212  4.53484E-10  8.64981E-10  8.82934E-10
 re  75  -0.362040 -0.622040  1.186601  5.78773E-11  1.05270E-10  1.12687E-10
 os  76   0.579677 -0.770323  1.038318  5.17020E-10  9.13440E-10  1.00664E-09
 ir  77  -0.111073 -1.431073  0.377568  1.06481E-10  1.19415E-10  2.07318E-10
 pt  78   0.543203 -1.076797  0.731844  4.87487E-10  7.83911E-10  9.49136E-10
 au  79  -0.252672 -1.052672  0.755969  7.87540E-11  1.26132E-10  1.53334E-10
 hg  80   0.955341 -0.214659  1.593982  1.29480E-09  2.46059E-09  2.52097E-09
 tl  81   0.785032  0.015032  1.823673  8.91308E-10  1.70903E-09  1.73538E-09
 pb  82   2.891382  0.851382  2.660023  1.15431E-07  2.24247E-07  2.24744E-07
 bi  83   1.403477  0.753477  2.562118  3.78559E-09  7.35010E-09  7.37053E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.1237   1.0682   1.6424   0.5742   1.0176
