# Initial mass = 3.000, Z =  0.0002, Y =  0.250, M_mix = 5.00E-04
# Final mass = 0.845, Mass expelled =   2.1547
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.04000E-01 -1.11560E-01  1.51689E+00
 he   2  11.015829  0.085829  1.892923  2.89952E-01  8.56822E-02  6.24751E-01
  c   6   8.914628  0.444628  2.251722  6.89158E-03  1.47632E-02  1.48491E-02
  n   7   8.542789  0.672790  2.479884  3.41387E-03  7.33061E-03  7.35576E-03
  o   8   7.508207 -1.221792  0.585302  3.60091E-04  5.70553E-04  7.75877E-04
  f   9   4.833254  0.373254  2.180348  9.03804E-07  1.93413E-06  1.94740E-06
 ne  10   7.728219 -0.241781  1.565313  7.53794E-04  1.57856E-03  1.62418E-03
 na  11   5.841896 -0.468104  1.338990  1.11570E-05  2.29026E-05  2.40396E-05
 mg  12   6.821228 -0.818772  0.988322  1.12470E-04  2.16636E-04  2.42335E-04
 al  13   5.159132 -1.310868  0.496226  2.71843E-06  3.92846E-06  5.85731E-06
 si  14   5.900792 -1.649209  0.157886  1.56097E-05  9.49499E-06  3.36337E-05
  p  15   4.313690 -1.156310  0.650784  4.45451E-07  7.38376E-07  9.59798E-07
  s  16   5.369483 -1.790516  0.016578  5.24357E-06  7.14163E-08  1.12981E-05
 cl  17   3.481950 -1.748050  0.059044  7.51130E-08  1.60044E-08  1.61844E-07
 ar  18   4.639087 -1.800913  0.006181  1.21533E-06 -4.64529E-08  2.61863E-06
  k  19   3.317556 -1.762444  0.044651  5.67313E-08  8.52598E-09  1.22237E-07
 ca  20   4.484222 -1.805778  0.001317  8.53573E-07 -5.36721E-08  1.83917E-06
 sc  21   1.537082 -1.512918  0.294176  1.08139E-09  1.10821E-09  2.33003E-09
 ti  22   3.128618 -1.781382  0.025712  4.49538E-08  2.61553E-09  9.68606E-08
  v  23   2.159007 -1.800993  0.006101  5.13092E-09 -1.70183E-10  1.10554E-08
 cr  24   3.819268 -1.820732 -0.013638  2.39525E-07 -9.80054E-09  5.16097E-07
 mn  25   3.669113 -1.810887 -0.003793  1.79101E-07 -1.59797E-08  3.85904E-07
 fe  26   5.732906 -1.807094  0.000000  2.10864E-05 -1.46936E-06  4.54342E-05
 co  27   3.494010 -1.375990  0.431104  1.28375E-07  1.70784E-07  2.76606E-07
 ni  28   4.556241 -1.643759  0.163335  1.47550E-06  9.25955E-07  3.17921E-06
 cu  29   3.290796 -0.959204  0.847890  8.66954E-08  1.59428E-07  1.86800E-07
 zn  30   3.201970 -1.428030  0.379064  7.27310E-08  8.91239E-08  1.56711E-07
 ga  31   2.144595 -0.935405  0.871689  6.79334E-09  1.26069E-08  1.46374E-08
 ge  32   2.576454 -1.003546  0.803548  1.91312E-08  3.50409E-08  4.12214E-08
 as  33   1.119611 -1.180389  0.626705  6.89179E-10  1.12285E-09  1.48495E-09
 se  34   2.423623 -0.916377  0.890717  1.46266E-08  2.77336E-08  3.15154E-08
 br  35   1.574324 -0.965676  0.841418  2.09413E-09  3.84105E-09  4.51217E-09
 kr  36   2.695868 -0.554132  1.252962  2.90545E-08  5.90063E-08  6.26029E-08
 rb  37   2.016560 -0.343440  1.463654  6.20120E-09  1.28872E-08  1.33615E-08
 sr  38   2.263260 -0.616740  1.190354  1.12196E-08  2.25734E-08  2.41744E-08
  y  39   1.639650 -0.530350  1.276744  2.70828E-09  5.51690E-09  5.83545E-09
 zr  40   2.072104 -0.457896  1.349198  7.52185E-09  1.54583E-08  1.62071E-08
 nb  41   0.824187 -0.585813  1.221281  4.32855E-10  8.74813E-10  9.32660E-10
 mo  42   1.395362 -0.544638  1.262456  1.66523E-09  3.43490E-09  3.58802E-09
 ru  44   1.029060 -0.730940  1.076154  7.54735E-10  1.52200E-09  1.62620E-09
 rh  45  -0.059203 -1.119203  0.687891  6.27120E-11  1.06504E-10  1.35123E-10
 pd  46   0.902747 -0.747253  1.059841  5.94131E-10  1.17968E-09  1.28016E-09
 ag  47   0.106283 -1.093717  0.713377  9.62251E-11  1.65922E-10  2.07333E-10
 cd  48   0.984859 -0.725141  1.081954  7.58195E-10  1.50622E-09  1.63366E-09
 in  49  -0.163695 -0.923695  0.883399  5.50082E-11  1.03207E-10  1.18524E-10
 sn  50   1.370981 -0.699019  1.108075  1.94797E-09  3.90462E-09  4.19722E-09
 sb  51  -0.139111 -1.149111  0.657984  6.17316E-11  1.15745E-10  1.33011E-10
 te  52   0.948729 -1.231272  0.575823  7.91938E-10  1.54689E-09  1.70636E-09
  i  53   0.020236 -1.529764  0.277330  9.28589E-11  9.10135E-11  2.00080E-10
 xe  54   1.261373 -0.978627  0.828467  1.67389E-09  3.09923E-09  3.60667E-09
 cs  55  -0.081847 -1.161847  0.645247  7.68789E-11  1.26944E-10  1.65648E-10
 ba  56   2.015258 -0.164742  1.642352  9.93405E-09  2.09022E-08  2.14046E-08
 la  57   0.934406 -0.235594  1.571500  8.34142E-10  1.74758E-09  1.79730E-09
 ce  58   1.487479 -0.092521  1.714573  3.00663E-09  6.34981E-09  6.47828E-09
 pr  59   0.430403 -0.329597  1.477497  2.65125E-10  5.51616E-10  5.71256E-10
 nd  60   1.158803 -0.291197  1.515897  1.45211E-09  3.03586E-09  3.12882E-09
 sm  62   0.431302 -0.508698  1.298396  2.83496E-10  5.87308E-10  6.10839E-10
 eu  63  -0.578028 -1.088028  0.719066  2.80430E-11  4.85119E-11  6.04234E-11
 gd  64   0.306891 -0.743109  1.063986  2.22636E-10  4.36968E-10  4.79706E-10
 tb  65  -0.661382 -0.981382  0.825712  2.42060E-11  4.41128E-11  5.21558E-11
 dy  66   0.437765 -0.692235  1.114859  3.10979E-10  6.17038E-10  6.70056E-10
 ho  67  -0.539276 -1.009276  0.797818  3.32764E-11  5.99093E-11  7.16995E-11
 er  68   0.301938 -0.618062  1.189032  2.34121E-10  4.71340E-10  5.04452E-10
 tm  69  -0.635096 -0.755096  1.051998  2.73359E-11  5.35055E-11  5.88999E-11
 yb  70   0.638564 -0.281436  1.525658  5.25803E-10  1.10264E-09  1.13293E-09
