# Initial mass = 6.000, Z =  0.0002, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.017, Mass expelled =   4.9827
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.52724E-01 -5.13474E-01  3.25230E+00
 he   2  11.131611  0.201611  1.963161  3.50966E-01  5.02152E-01  1.74875E+00
  c   6   7.273046 -1.196954  0.564596  1.45846E-04  5.28149E-04  7.26701E-04
  n   7   8.200713  0.330713  2.092263  1.43988E-03  7.11630E-03  7.17446E-03
  o   8   6.330671 -2.399328 -0.637778  2.21837E-05 -3.64278E-04  1.10534E-04
  f   9   1.961230 -2.498770 -0.737220  1.12514E-09 -2.50843E-08  5.60621E-09
 ne  10   6.321402 -1.648598  0.112952  2.73900E-05  3.09824E-05  1.36475E-04
 na  11   4.158109 -2.151891 -0.390341  2.14248E-07 -1.56186E-06  1.06753E-06
 mg  12   5.805511 -1.834489 -0.072939  1.00572E-05 -9.31706E-06  5.01114E-05
 al  13   5.340918 -1.129082  0.632468  3.83055E-06  1.46259E-05  1.90863E-05
 si  14   5.828431 -1.721570  0.039980  1.22515E-05  5.22443E-06  6.10451E-05
  p  15   3.734302 -1.735698  0.025852  1.08785E-07  3.00002E-08  5.42038E-07
  s  16   5.398919 -1.761081  0.000469  5.20259E-06 -3.90446E-08  2.59227E-05
 cl  17   3.487844 -1.742157  0.019393  7.05937E-08  1.44921E-08  3.51745E-07
 ar  18   4.678689 -1.761311  0.000239  1.23439E-06 -1.24378E-08  6.15056E-06
  k  19   3.324555 -1.755445  0.006105  5.34538E-08  3.38565E-09  2.66342E-07
 ca  20   4.528344 -1.761656 -0.000106  8.76030E-07 -1.22186E-08  4.36496E-06
 sc  21   1.323118 -1.726882  0.034668  6.12598E-10  2.26901E-10  3.05237E-09
 ti  22   3.150152 -1.759848  0.001702  4.37983E-08  2.90711E-10  2.18232E-07
