# Initial mass = 0.950, Z =  0.0002, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.736, Mass expelled =   0.2143
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -7.1494877E-03  1.5352224E-01  1.6067173E-01  7.1641415E-01  7.4977738E-01 -1.9768167E-02
      d      2   9.4546940E-19  9.4546940E-19  0.0000000E+00  4.4120495E-18  0.0000000E+00  0.0000000E+00
    he3      3   4.5969733E-05  4.5969733E-05  0.0000000E+00  2.1451856E-04  0.0000000E+00  0.0000000E+00
    he4      4   6.7458861E-03  6.0318850E-02  5.3572964E-02  2.8147894E-01  2.4999915E-01  5.1507421E-02
    li7      7   5.3407796E-11  8.4051530E-11  3.0643734E-11  3.9222792E-10  1.4299950E-10  4.3820399E-01
    be7      7   6.0494320E-16  6.0494320E-16  0.0000000E+00  2.8229779E-15  0.0000000E+00  0.0000000E+00
     b8      8   8.6577764E-28  8.6577764E-28  0.0000000E+00  4.0401661E-27  0.0000000E+00  0.0000000E+00
    c12     12   3.0728296E-04  3.1572001E-04  8.4370613E-06  1.4733128E-03  3.9371691E-05  1.5731111E+00
    c13     13   3.3994786E-07  4.4218848E-07  1.0224063E-07  2.0634802E-06  4.7710762E-07  6.3598394E-01
    c14     14  -1.7918800E-11 -1.7918800E-11  0.0000000E+00 -8.3618390E-11  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   9.1656475E-06  1.1660141E-05  2.4944941E-06  5.4412252E-05  1.1640600E-05  6.6972136E-01
    n15     15   9.8894271E-10  7.1331798E-09  6.1442371E-09  3.3287108E-08  2.8672188E-08  6.4815238E-02
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.4862841E-05  3.5236142E-05  2.0373302E-05  1.6443006E-04  9.5072355E-05  2.3792693E-01
    o17     17   4.3404643E-08  5.1628682E-08  8.2240375E-09  2.4092614E-07  3.8377614E-08  7.9780596E-01
    o18     18  -2.0157671E-09  4.3824162E-08  4.5839929E-08  2.0450621E-07  2.1391281E-07 -1.9530343E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   3.3957502E-08  3.5277566E-08  1.3200647E-09  1.6462337E-07  6.1601044E-09  1.4269035E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.6075728E-07  4.3399564E-06  4.1791991E-06  2.0252481E-05  1.9502304E-05  1.6392272E-02
   ne21     21   3.2377706E-08  4.2896758E-08  1.0519051E-08  2.0017846E-07  4.9087333E-08  6.1044794E-01
   ne22     22   2.5085432E-05  2.5423462E-05  3.3802934E-07  1.1863902E-04  1.5774197E-06  1.8762803E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   4.7957900E-21  4.7957900E-21  0.0000000E+00  2.2379636E-20  0.0000000E+00  0.0000000E+00
   na23     23   3.9166054E-07  5.0479349E-07  1.1313296E-07  2.3556274E-06  5.2793689E-07  6.4952463E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   2.1661072E-07  2.2101642E-06  1.9935535E-06  1.0313769E-05  9.3029503E-06  4.4796694E-02
   mg25     25   3.7446199E-08  3.0034249E-07  2.6289629E-07  1.4015534E-06  1.2268100E-06  5.7832345E-02
   mg26     26   6.2613282E-08  3.6363983E-07  3.0102655E-07  1.6969316E-06  1.4047455E-06  8.2066655E-02
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   4.6814421E-08  2.3877587E-07  1.9196145E-07  1.1142517E-06  8.9579135E-07  9.4776466E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.7522552E-08  2.2249087E-06  2.2073862E-06  1.0382575E-05  1.0300805E-05  3.4338820E-03
   si29     29   8.7005958E-10  1.1696334E-07  1.1609328E-07  5.4581142E-07  5.4175126E-07  3.2426624E-03
   si30     30   1.7540245E-09  8.0919925E-08  7.9165901E-08  3.7761421E-07  3.6942902E-07  9.5173344E-03
    p31     31   2.6943745E-09  2.4734391E-08  2.2040016E-08  1.1542346E-07  1.0285012E-07  5.0089277E-02
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
